Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Yuge Xiao,15,"1,3,7,9,11,14,17,19,20,21,23,26,27,29,31",11,4,10,3,44,14,42,43,1,3,0,2,3,1,2,0,0,0,546.50,220.61,13.66,5.52,551.10,175.84,12.82,4.09
16 Erin Rea,15,"1,3,6,7,13,14,16,17,19,21,23,26,27,29,31",12,3,11,1,15,9,12,15,0,0,0,3,3,2,1,1,0,0,121.82,-10.50,12.18,-1.05,198.97,140.95,13.26,9.40
19 Olivia Hampton,13,"2,4,5,8,9,12,15,18,22,24,25,28,30,32",1,12,1,3,7,5,7,7,0,0,3,0,2,1,1,0,0,0,73.61,18.08,12.27,3.01,112.72,84.26,16.10,12.04
23 Colette Pellegrini,13,"1,3,7,13,14,17,19,21,23,26,27,29,31",12,1,11,1,23,11,21,22,1,3,2,2,0,0,0,1,0,0,281.35,78.30,13.40,3.73,361.50,231.31,16.43,10.51
36 Jaelee Cruz,13,"1,3,7,13,14,17,19,21,23,26,27,29,31",12,1,11,1,39,13,37,38,1,3,3,2,4,3,1,1,0,0,378.02,121.78,11.81,3.81,474.58,203.26,12.49,5.35
17 Kelsey Devlin,13,"1,3,7,13,14,17,19,21,23,26,27,29,31",12,1,11,1,38,15,37,28,10,0,5,1,2,1,1,0,0,0,481.20,171.23,13.75,4.89,348.64,-4.40,12.45,-0.16
71 Shirlee Wohl,13,"1,3,7,13,14,17,19,21,23,26,27,29,31",12,1,11,1,51,14,51,40,11,2,2,0,1,1,0,0,0,0,691.06,272.21,13.82,5.44,504.80,60.15,12.62,1.50
15 Caitlin Fitzgerald,11,"2,5,8,10,12,15,18,22,23,25,30,32",2,9,2,1,4,3,3,4,0,1,0,1,1,0,1,0,0,0,36.57,25.54,12.19,8.51,72.29,59.81,18.07,14.95
24 Annika Chan,10,"2,5,8,10,12,15,18,22,25,30,32",1,9,1,1,3,3,2,2,1,0,0,0,0,0,0,1,0,0,25.00,-1.42,12.50,-0.71,25.79,0.00,12.90,0.00
52 Caitlin Connell,11,"1,10,13,14,17,19,21,26,27,29,31",9,2,8,1,2,2,1,2,0,0,0,1,0,0,0,1,0,0,8.40,7.92,8.40,7.92,44.11,43.15,22.06,21.57
30 Jean Huang,10,"2,5,8,10,12,15,18,22,25,30,32",1,9,1,1,8,5,8,3,5,0,0,0,1,1,0,1,0,0,90.67,47.68,15.11,7.95,31.96,-13.48,10.65,-4.49
51 Tess Johnson,10,"2,5,8,10,12,15,18,22,25,30,32",1,9,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,12.67,0.27,12.67,0.27
45 Sarah Jeung,10,"2,5,8,10,12,15,18,22,25,30,32",1,9,1,1,2,2,1,2,0,0,0,1,1,1,0,0,0,0,0.00,0.00,0.00,0.00,37.01,26.35,18.50,13.17
76 Emma Palacio,9,"2,5,8,10,12,15,18,22,30,32",1,8,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,26.67,26.62,26.67,26.62,13.89,13.89,13.89,13.89
03 Liv Player,10,"3,4,6,7,11,13,16,20,24,28",3,7,3,2,9,7,8,5,4,1,0,1,2,2,0,2,0,0,91.80,63.40,18.36,12.68,75.73,41.39,15.15,8.28
55 Sophie Knowles,9,"4,6,9,11,16,20,24,25,28",0,9,0,3,14,7,14,11,3,3,0,0,2,2,0,1,0,0,210.03,159.04,19.09,14.46,140.08,23.98,12.73,2.18
06 Rowse,8,"4,6,9,11,16,20,24,28",0,8,0,3,5,3,3,3,2,0,0,2,0,0,0,5,0,0,30.49,-14.22,10.16,-4.74,86.65,81.96,28.88,27.32
37 Hannah Henkin,8,"4,6,9,11,16,20,24,28",0,8,0,3,5,4,5,3,2,0,1,0,0,0,0,0,0,0,75.96,40.23,15.19,8.05,34.26,-8.13,11.42,-2.71
08 Nicki Chan,8,"4,6,9,11,16,20,24,28",0,8,0,3,3,2,2,3,0,0,0,1,3,0,3,0,0,0,18.72,6.37,9.36,3.18,62.36,48.36,20.79,16.12
32 Megan Wilson,8,"4,6,9,11,16,20,24,28",0,8,0,3,4,2,4,4,0,0,1,0,0,0,0,0,0,0,56.58,15.78,14.15,3.95,53.64,39.08,13.41,9.77
