Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-04-30 20:32:35,1,0,0,1,1,2,23,1,1,0,0,1,36 Jaelee Cruz,33 Yuge Xiao,36 Jaelee Cruz
2024-04-30 20:37:16,2,1,0,0,0,2,11,2,1,1,0,2,,,
2024-04-30 20:43:24,3,1,1,1,1,2,15,1,1,0,1,0,71 Shirlee Wohl,36 Jaelee Cruz,03 Liv Player
2024-04-30 20:50:29,4,2,1,0,1,1,8,0,0,0,0,1,32 Megan Wilson,55 Sophie Knowles,08 Nicki Chan
2024-04-30 20:52:57,5,3,1,0,1,1,5,0,0,0,1,0,19 Olivia Hampton,15 Caitlin Fitzgerald,45 Sarah Jeung
2024-04-30 20:55:52,6,4,1,0,0,0,0,0,0,0,0,0,,,
2024-04-30 20:57:11,7,4,2,1,1,1,9,0,0,0,0,0,17 Kelsey Devlin,33 Yuge Xiao,23 Colette Pellegrini
2024-04-30 20:59:19,8,5,2,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:00:52,9,5,3,0,1,4,21,3,1,3,3,1,19 Olivia Hampton,55 Sophie Knowles,06 Rowse
2024-04-30 21:08:24,10,6,3,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:10:41,11,6,4,0,1,3,14,2,2,0,2,0,37 Hannah Henkin,55 Sophie Knowles,06 Rowse
2024-04-30 21:15:33,12,7,4,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:16:46,13,7,5,1,1,3,18,2,1,1,1,1,23 Colette Pellegrini,03 Liv Player,16 Erin Rea
2024-04-30 21:21:16,14,8,5,1,0,2,13,2,1,1,1,1,,,
2024-04-30 21:27:27,15,8,6,1,1,1,4,0,0,0,0,0,19 Olivia Hampton,76 Emma Palacio,15 Caitlin Fitzgerald
2024-04-30 21:29:07,16,9,6,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:30:11,17,9,7,1,1,3,22,2,2,1,2,0,17 Kelsey Devlin,23 Colette Pellegrini,33 Yuge Xiao
2024-04-30 21:34:25,18,10,7,0,0,1,1,1,0,1,0,1,,,
2024-04-30 21:35:55,19,10,8,1,1,1,9,0,0,0,0,0,17 Kelsey Devlin,36 Jaelee Cruz,17 Kelsey Devlin
2024-04-30 21:37:34,20,11,8,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:38:26,21,11,9,1,1,1,9,0,0,0,0,0,23 Colette Pellegrini,71 Shirlee Wohl,52 Caitlin Connell
2024-04-30 21:40:34,22,12,9,0,0,0,0,0,0,0,0,0,,,
2024-04-30 21:41:48,23,12,10,1,1,2,15,1,0,1,0,1,17 Kelsey Devlin,71 Shirlee Wohl,36 Jaelee Cruz
2024-04-30 21:44:31,24,13,10,0,0,1,1,1,1,0,0,1,,,
2024-04-30 21:46:55,25,13,11,0,0,1,2,1,0,1,0,0,,,
2024-04-30 21:50:45,26,13,12,1,1,1,9,0,0,0,0,0,17 Kelsey Devlin,23 Colette Pellegrini,16 Erin Rea
2024-04-30 21:52:36,27,14,12,0,1,1,27,0,0,0,0,1,36 Jaelee Cruz,23 Colette Pellegrini,16 Erin Rea
2024-04-30 22:00:30,28,15,12,0,0,3,4,3,3,0,2,1,,,
2024-04-30 22:05:18,29,15,13,1,1,1,10,0,0,0,0,0,36 Jaelee Cruz,33 Yuge Xiao,23 Colette Pellegrini
2024-04-30 22:07:03,30,16,13,0,0,1,1,1,1,1,0,1,,,
2024-04-30 22:09:58,31,16,14,1,1,1,10,0,0,0,0,0,71 Shirlee Wohl,36 Jaelee Cruz,33 Yuge Xiao
2024-04-30 22:11:31,32,17,14,0,0,1,0,0,0,0,1,0,,,
