Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/14/24 4:40,1,1,29 Charlotte Doran,31 María Vargas,0,0,0,0,0,0,0,1,0,1,0,23.508526,5.732565,22.79887,0.961964,0.6591887,0.4944675,0.6069453
5/14/24 4:41,1,1,31 María Vargas,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,0,0,14.590519,7.216284,12.681028,0.4944675,0.6069453,0.23443983,0.5411801
5/14/24 4:41,1,1,08 Dani Ortiz,29 Charlotte Doran,1,1,0,0,0,0,0,0,1,0,0,5.535702,-5.125586,-2.0910213,0.23443983,0.5411801,0.27731675,0.5878918
5/14/24 4:42,1,2,29 Charlotte Doran,06 Willy (Natalie Wilson),1,0,1,0,0,0,0,0,0,0,0,34.838737,29.404678,-18.684282,0.29944676,0.6893055,0.6825726,0.4213276
5/14/24 4:43,1,3,31 María Vargas,08 Dani Ortiz,0,0,0,0,0,1,0,0,0,0,0,19.99053,10.52094,16.997974,0.6839557,0.46435156,0.33540803,0.36846957
5/14/24 4:44,1,3,08 Dani Ortiz,06 Willy (Natalie Wilson),0,0,0,1,1,0,0,0,0,0,1,28.134933,25.897694,10.994723,0.33540803,0.36846957,0.10995851,0.13245237
5/14/24 4:48,3,1,31 María Vargas,20 Soju Hokari,0,0,0,0,0,0,0,0,0,0,0,19.201897,9.306989,16.795618,0.52213,0.68438846,0.17773168,0.59956974
5/14/24 4:49,3,1,20 Soju Hokari,51 Lilli Popovich,0,0,0,0,0,0,0,0,0,0,0,14.188982,12.40931,-6.880133,0.17773168,0.59956974,0.31881052,0.48647818
5/14/24 4:49,3,1,51 Lilli Popovich,31 María Vargas,0,0,0,0,0,0,0,0,0,0,0,13.679332,1.2139546,-13.6253605,0.31881052,0.48647818,0.59820193,0.47541487
5/14/24 4:49,3,1,31 María Vargas,29 Charlotte Doran,0,0,0,0,0,0,0,0,1,0,0,4.9105043,-1.75349,4.5867553,0.59820193,0.47541487,0.5041494,0.4913952
5/14/24 4:50,3,1,29 Charlotte Doran,08 Dani Ortiz,0,0,0,0,0,0,0,0,0,0,0,13.129476,5.462794,11.939054,0.5041494,0.4913952,0.2593361,0.44161034
5/14/24 4:50,3,1,08 Dani Ortiz,20 Soju Hokari,0,0,0,0,0,1,0,0,0,0,1,18.641869,17.602339,6.1381583,0.2593361,0.44161034,0.13347165,0.2811924
5/14/24 4:51,3,1,20 Soju Hokari,31 María Vargas,0,0,0,1,1,0,0,0,0,1,0,17.562572,17.332573,-2.8329957,0.13347165,0.2811924,0.19156294,0.123232946
5/14/24 4:53,4,1,18 Naomi Anderson,72 Annalise Paul,0,0,0,0,0,0,0,1,0,0,0,28.13415,0.6069724,-28.127602,0.19294606,0.83988935,0.7697095,0.83435774
5/14/24 4:53,4,1,72 Annalise Paul,27 Therese Doebler,0,0,0,0,0,0,0,0,0,0,1,13.28276,10.318616,-8.364082,0.7697095,0.83435774,0.9412171,0.7403196
5/14/24 4:54,4,1,27 Therese Doebler,03 Alex Krueger,0,0,0,0,0,0,0,0,1,1,0,11.341211,-10.183728,4.991469,0.9412171,0.7403196,0.8388658,0.83312845
5/14/24 4:54,4,1,03 Alex Krueger,55 Trystan Grzyll,0,0,0,0,0,0,0,0,0,0,1,13.4760065,12.544194,-4.9240165,0.8388658,0.83312845,0.939834,0.71880764
5/14/24 4:54,4,1,55 Trystan Grzyll,03 Alex Krueger,0,0,0,0,0,0,0,0,1,1,0,17.601948,-15.376758,8.56644,0.939834,0.71880764,0.764177,0.85894287
5/14/24 4:55,4,1,03 Alex Krueger,18 Naomi Anderson,1,0,1,0,0,0,0,0,0,0,0,11.9700985,11.46513,-3.4400663,0.764177,0.85894287,0.83471644,0.75445604
5/14/24 4:55,4,2,18 Naomi Anderson,72 Annalise Paul,0,0,0,0,0,0,0,1,0,0,0,17.133013,0.06744356,-17.13288,0.15560167,0.74523664,0.5069156,0.744622
5/14/24 4:55,4,2,72 Annalise Paul,26 Morgan Lally,0,0,0,0,0,0,0,0,0,0,0,14.596048,0.8767466,-14.569693,0.5069156,0.744622,0.8056708,0.7366318
