Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Mia Griner,16,"2,5,7,8,9,11,14,18,19,21,23,24,27,29,31,33,34",7,9,6,3,18,10,16,13,5,0,1,2,0,0,0,2,0,0,170.57,36.42,11.37,2.43,215.05,111.48,16.54,8.58
54 Liv Ford,14,"2,5,7,9,11,14,18,21,23,25,27,28,32,33,34",4,10,4,3,20,10,19,16,4,4,1,1,6,5,1,0,0,0,366.45,303.62,26.17,21.69,176.34,77.36,11.02,4.83
51 Lilli Popovich,14,"1,3,6,7,10,15,17,20,21,26,28,30,32,33,34",7,7,4,2,10,7,7,10,0,0,1,3,2,2,0,1,0,0,83.34,29,16.67,5.8,232.47,199.16,23.25,19.92
26 Morgan Lally,15,"2,4,5,7,9,11,14,19,21,23,25,29,30,32,33",3,12,3,4,18,8,17,17,1,2,3,1,0,0,0,0,0,0,181.59,26.98,10.68,1.59,328.73,189.85,19.34,11.17
13 Hannah Abraham,13,"2,4,5,8,9,12,14,18,21,24,27,29,32,34",4,9,3,4,9,6,8,8,1,1,0,1,0,0,0,0,0,0,88.15,44.24,11.02,5.53,157.14,113.77,19.64,14.22
05 Megan Jarriel,13,"5,8,10,12,14,16,18,21,25,27,28,30,32,34",5,8,2,2,7,6,7,6,1,0,1,0,1,0,1,2,0,0,88.56,12.14,12.65,1.73,64.21,32.98,10.7,5.5
20 Soju Hokari,13,"1,3,6,8,11,15,17,18,20,23,26,28,31",11,2,8,0,18,10,18,11,7,2,0,0,1,1,0,0,0,0,210.65,113.3,13.17,7.08,222.77,107.03,20.25,9.73
03 Alex Krueger,12,"2,4,7,8,12,14,15,21,23,24,30,33,34",2,10,1,4,7,4,6,7,0,0,0,1,0,0,0,0,0,0,53.51,33.38,10.7,6.68,88.26,-7.76,12.61,-1.11
08 Dani Ortiz,12,"1,3,6,10,13,16,17,20,22,26,29,31",12,0,7,0,21,10,21,18,3,3,2,0,3,3,0,1,0,0,306.46,153.23,18.03,9.01,202.76,74.05,11.26,4.11
06 Willy (Natalie Wilson),12,"1,6,10,13,15,17,20,22,26,28,30,33",8,4,4,1,6,4,4,6,0,0,0,2,1,0,1,0,0,0,29.88,-6.68,9.96,-2.23,86.53,63.6,14.42,10.6
55 Trystan Grzyll,12,"2,4,7,12,16,19,23,24,25,28,30,33",2,10,1,3,5,3,5,5,0,0,0,0,0,0,0,1,0,0,58.96,-6.68,11.79,-1.34,73.64,38.44,14.73,7.69
31 María Vargas,11,"1,3,6,10,13,16,17,20,22,26,31",11,0,6,0,26,11,25,19,7,1,2,1,1,1,0,0,0,0,355.35,168.6,14.81,7.03,277.33,91.11,14.6,4.8
12 Emma Jaschke,10,"2,5,9,12,15,19,24,25,29,32,34",1,9,1,2,3,1,3,3,0,0,0,0,0,0,0,0,0,0,20.75,3.98,6.92,1.33,28.05,3.51,9.35,1.17
27 Therese Doebler,10,"4,7,9,11,14,19,24,25,27,29",3,7,3,3,9,4,8,9,0,1,0,1,0,0,0,0,0,0,100.14,22.73,12.52,2.84,129.55,92.19,14.39,10.24
21 Samantha Li,9,"1,6,10,13,16,18,22,26,31",9,0,5,0,12,7,12,11,1,0,1,0,1,1,0,0,0,0,126.99,39.45,11.54,3.59,135.64,15.38,12.33,1.4
18 Naomi Anderson,8,"4,8,9,12,15,19,28,32",1,8,0,3,11,3,11,6,5,0,1,0,2,1,1,1,0,0,182.17,96.51,20.24,10.72,55.57,-16.73,9.26,-2.79
29 Charlotte Doran,8,"1,3,8,10,13,15,17,20",7,1,4,0,19,7,19,11,8,1,1,0,3,3,0,0,0,0,276.05,168.47,18.4,11.23,114.55,-4.05,10.41,-0.37
72 Annalise Paul,7,"4,5,12,19,23,25,30",1,6,1,1,3,2,3,3,0,0,0,0,2,1,1,0,0,0,27.88,11.2,13.94,5.6,62.89,4.52,20.96,1.51
19 Elle Mayer,7,"3,11,16,18,22,27,29",7,0,5,0,4,3,4,4,0,0,1,0,2,1,1,0,0,0,46.71,24.82,15.57,8.27,38.06,14.97,9.52,3.74
75 Sarah Kingsley-Hart,6,"3,11,13,17,27,31",6,0,5,0,2,2,1,2,0,0,0,1,1,0,1,1,0,0,12.5,-2.7,12.5,-2.7,23.16,9.37,11.58,4.69
45 Jennifer Lin,4,"6,16,22,26",4,0,1,0,4,2,4,4,0,0,0,0,1,1,0,0,0,0,30.77,14.9,10.26,4.97,49.39,33.52,12.35,8.38
14 Lindsay Allman,4,"13,20,22,31",4,0,3,0,2,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,55.34,43.16,27.67,21.58
