Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
5/13/24 22:20,1,0,0,1,1,3,6,2,1,1,0,2,31 María Vargas,08 Dani Ortiz,06 Willy (Natalie Wilson)
5/14/24 4:44,2,1,0,0,0,0,0,0,0,0,0,0,,,
5/14/24 4:46,3,1,1,1,1,1,7,0,0,0,0,0,08 Dani Ortiz,20 Soju Hokari,31 María Vargas
5/14/24 4:51,4,2,1,0,1,2,17,1,0,1,0,2,26 Morgan Lally,27 Therese Doebler,03 Alex Krueger
5/14/24 4:59,5,3,1,0,0,2,7,2,2,0,0,2,,,
5/14/24 5:05,6,3,2,1,1,1,9,0,0,0,0,0,21 Samantha Li,08 Dani Ortiz,51 Lilli Popovich
5/14/24 5:09,7,4,2,0,0,1,5,1,0,1,0,1,,,
5/14/24 5:19,8,4,3,1,0,2,7,2,2,0,0,1,,,
5/14/24 5:25,9,4,4,0,0,0,0,0,0,0,0,0,,,
5/14/24 5:28,10,4,5,1,0,4,20,4,4,0,1,2,,,
5/14/24 5:39,11,4,6,1,1,1,5,0,0,0,0,0,26 Morgan Lally,54 Liv Ford,10 Mia Griner
5/14/24 5:46,12,5,6,0,0,0,0,0,0,0,0,0,,,
5/14/24 5:48,13,5,7,1,1,1,3,0,0,0,0,0,29 Charlotte Doran,31 María Vargas,14 Lindsay Allman
5/14/24 5:50,14,6,7,0,1,1,5,0,0,0,1,0,05 Megan Jarriel,54 Liv Ford,10 Mia Griner
5/14/24 5:53,15,7,7,0,0,0,0,0,0,0,0,0,,,
5/14/24 5:55,16,7,8,1,0,1,10,1,1,0,0,0,,,
5/14/24 6:00,17,7,9,1,0,3,12,3,2,1,1,1,,,
5/14/24 6:12,18,7,10,1,1,3,14,2,2,0,0,2,10 Mia Griner,54 Liv Ford,13 Hannah Abraham
5/14/24 6:18,19,8,10,0,0,2,23,2,1,1,2,0,,,
5/14/24 6:28,20,8,11,1,1,1,8,0,0,0,0,0,08 Dani Ortiz,29 Charlotte Doran,51 Lilli Popovich
5/14/24 6:31,21,9,11,0,0,0,0,0,0,0,0,0,,,
5/14/24 6:32,22,9,12,1,0,1,4,1,1,0,0,0,,,
5/14/24 6:34,23,9,13,1,1,1,3,0,0,0,0,0,54 Liv Ford,26 Morgan Lally,54 Liv Ford
5/14/24 6:51,25,11,13,0,0,1,1,1,1,0,0,1,,,
5/14/24 7:16,26,11,14,1,0,1,8,1,1,0,0,0,,,
5/14/24 7:18,27,11,15,1,1,1,11,0,0,0,0,0,19 Elle Mayer,54 Liv Ford,27 Therese Doebler
5/14/24 7:21,28,12,15,0,0,1,1,1,0,1,0,1,,,
5/14/24 7:23,29,12,16,1,1,2,8,1,0,1,0,1,26 Morgan Lally,08 Dani Ortiz,26 Morgan Lally
5/14/24 7:26,30,13,16,0,0,0,0,0,0,0,0,0,,,
5/14/24 7:27,31,13,17,1,1,3,12,2,2,0,2,0,31 María Vargas,20 Soju Hokari,75 Sarah Kingsley-Hart
5/14/24 7:32,32,14,17,0,1,1,2,0,0,0,0,1,18 Naomi Anderson,13 Hannah Abraham,51 Lilli Popovich
5/14/24 7:34,33,15,17,0,1,1,7,0,0,0,0,1,51 Lilli Popovich,26 Morgan Lally,06 Willy (Natalie Wilson)
5/14/24 7:36,34,16,17,0,0,1,4,1,1,0,1,0,,,
