Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
5/14/24 4:40,1,1,1,0,0.961964,0.6591887,29 Charlotte Doran,3,,,,08 Dani Ortiz,,
5/14/24 4:42,1,2,1,0,0.29944676,0.6893055,29 Charlotte Doran,1,,,,,06 Willy (Natalie Wilson),
5/14/24 4:43,1,3,1,1,0.6839557,0.46435156,31 María Vargas,2,31 María Vargas,08 Dani Ortiz,06 Willy (Natalie Wilson),,,
5/14/24 4:48,3,1,1,1,0.52213,0.68438846,31 María Vargas,7,08 Dani Ortiz,20 Soju Hokari,31 María Vargas,,,
5/14/24 4:52,4,1,0,0,0.19294606,0.83988935,18 Naomi Anderson,6,,,,,18 Naomi Anderson,
5/14/24 4:55,4,2,0,1,0.15560167,0.74523664,18 Naomi Anderson,11,26 Morgan Lally,27 Therese Doebler,03 Alex Krueger,,,
5/14/24 5:01,5,1,0,0,0.57745504,0.5522434,10 Mia Griner,6,,,,72 Annalise Paul,,
5/14/24 5:04,5,2,0,0,0.9785615,0.53749233,54 Liv Ford,1,,,,54 Liv Ford,,
5/14/24 5:07,6,1,1,1,0.280083,0.7163491,20 Soju Hokari,9,21 Samantha Li,08 Dani Ortiz,51 Lilli Popovich,,,
5/14/24 5:16,7,1,0,0,0.8928077,0.83927476,54 Liv Ford,5,,,,,54 Liv Ford,
5/14/24 5:20,8,1,1,0,0.7669433,0.6284573,29 Charlotte Doran,2,,,,20 Soju Hokari,,
5/14/24 5:24,8,2,1,0,0.5414938,0.6800861,20 Soju Hokari,5,,,,29 Charlotte Doran,,
5/14/24 5:29,10,1,1,0,0.8817427,0.69545174,31 María Vargas,5,,,,45 Jennifer Lin,,
5/14/24 5:32,10,2,1,0,0.01175657,0.39612785,29 Charlotte Doran,9,,,,51 Lilli Popovich,,
5/14/24 5:35,10,3,1,0,0.8969571,0.83743083,29 Charlotte Doran,5,,,,08 Dani Ortiz,,
5/14/24 5:38,10,4,1,0,0.8112033,0.665335,29 Charlotte Doran,1,,,,29 Charlotte Doran,,
5/14/24 5:44,11,1,1,1,0.090594746,0.59035033,20 Soju Hokari,5,26 Morgan Lally,54 Liv Ford,10 Mia Griner,,,
5/14/24 5:49,13,1,1,1,0.49585062,0.5725261,31 María Vargas,3,29 Charlotte Doran,31 María Vargas,14 Lindsay Allman,,,
5/14/24 5:51,14,1,0,1,0.97441214,0.84234786,54 Liv Ford,5,05 Megan Jarriel,54 Liv Ford,10 Mia Griner,,,
5/14/24 5:56,16,1,1,0,0.6120332,0.7009834,31 María Vargas,10,,,,19 Elle Mayer,,
5/14/24 6:08,17,1,1,0,0.6272476,0.71081746,29 Charlotte Doran,7,,,,,75 Sarah Kingsley-Hart,
5/14/24 6:09,17,2,1,0,0.97026277,0.840504,20 Soju Hokari,4,,,,08 Dani Ortiz,,
5/14/24 6:11,17,3,1,0,0.5857538,0.696681,29 Charlotte Doran,1,,,,29 Charlotte Doran,,
5/14/24 6:13,18,1,1,0,0.22060858,0.6899201,21 Samantha Li,4,,,,54 Liv Ford,,
5/14/24 6:14,18,2,1,0,0.50829875,0.83743083,10 Mia Griner,8,,,,54 Liv Ford,,
5/14/24 6:18,18,3,1,1,0.31881052,0.22464658,10 Mia Griner,2,10 Mia Griner,54 Liv Ford,13 Hannah Abraham,,,
5/14/24 6:19,19,1,0,0,0.5,0.8386601,18 Naomi Anderson,16,,,,18 Naomi Anderson,,
5/14/24 6:25,19,2,0,0,0.57330567,0.4452981,18 Naomi Anderson,7,,,,,72 Annalise Paul,
5/14/24 6:29,20,1,1,1,0.74896264,0.6395206,31 María Vargas,8,08 Dani Ortiz,29 Charlotte Doran,51 Lilli Popovich,,,
5/14/24 6:33,22,1,1,0,0.17634855,0.5940381,31 María Vargas,4,,,,21 Samantha Li,,
5/14/24 6:36,23,1,1,1,0.15145229,0.6395206,20 Soju Hokari,3,54 Liv Ford,26 Morgan Lally,54 Liv Ford,,,
5/14/24 7:14,25,1,0,0,0.5746888,0.7028273,54 Liv Ford,1,,,,54 Liv Ford,,
5/14/24 7:16,26,1,1,0,0.7697095,0.65181315,08 Dani Ortiz,8,,,,51 Lilli Popovich,,
5/14/24 7:19,27,1,1,1,0.9080221,0.72802705,13 Hannah Abraham,11,19 Elle Mayer,54 Liv Ford,27 Therese Doebler,,,
5/14/24 7:22,28,1,0,0,0.05878285,0.8337431,20 Soju Hokari,1,,,,,05 Megan Jarriel,
5/14/24 7:24,29,1,1,0,0.3713693,0.6659496,08 Dani Ortiz,3,,,,,19 Elle Mayer,
5/14/24 7:25,29,2,1,1,0.39626557,0.73478794,10 Mia Griner,5,26 Morgan Lally,08 Dani Ortiz,26 Morgan Lally,,,
5/14/24 7:28,31,1,1,0,0.92047024,0.6432084,20 Soju Hokari,6,,,,14 Lindsay Allman,,
5/14/24 7:30,31,2,1,0,0.48063624,0.8362016,10 Mia Griner,3,,,,31 María Vargas,,
5/14/24 7:31,31,3,1,1,0.6300138,0.7034419,08 Dani Ortiz,3,31 María Vargas,20 Soju Hokari,75 Sarah Kingsley-Hart,,,
5/14/24 7:34,32,1,0,1,0.21369295,0.37891826,18 Naomi Anderson,2,18 Naomi Anderson,13 Hannah Abraham,51 Lilli Popovich,,,
5/14/24 7:35,33,1,0,1,0.269018,0.84603566,26 Morgan Lally,7,51 Lilli Popovich,26 Morgan Lally,06 Willy (Natalie Wilson),,,
5/14/24 7:37,34,1,0,0,0.708852,0.46681008,05 Megan Jarriel,4,,,,54 Liv Ford,,
