Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/12/24 12:16,1,24 Mia Letterie,0,0,0,0,0.8,0.42283952
5/12/24 12:36,5,25 Nadine Rowen,0,0,0,0,0.4055556,0.57901233
5/6/24 17:15,8,77 Melissa Gronske,0,0,0,0,0.3194444,0.7722222
5/6/24 17:31,10,10 Tori Taylor,0,0,0,0,0.41388887,0.7185185
5/6/24 17:35,10,22 Rebecca Henley,0,0,0,0,0.66111106,0.45679012
5/6/24 22:21,16,45 Sylvia Brown,0,0,0,0,0.0972222,0.5938271
5/6/24 22:28,17,12 Meaghan Creamer,0,0,0,0,0.53055555,0.6006173
5/6/24 22:30,17,06 Micah Roberts,0,0,0,0,0.29861107,0.68580246
5/6/24 22:42,19,27 Katharine Gilbert,1,0,0,0,0.3569444,0.83950615
5/6/24 23:04,25,28 Margie Quinn,0,0,0,0,0.29861107,0.62098765
5/6/24 23:20,29,21 Elena Rubino,0,0,0,0,0.44583333,0.44259256
5/6/24 23:24,31,45 Sylvia Brown,0,0,0,0,0.15555553,0.42777777
5/6/24 23:26,31,71 Mattea Swegles,0,0,0,0,0.3125,0.5802469
5/6/24 23:34,34,10 Tori Taylor,1,0,0,0,0.37777779,0.85617286
