Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/12/24 12:17,1,1,24 Mia Letterie,02 Sierra Rimmer,0,0,0,0,0,0,0,0,1,0,0,13.882854,-4.6735992,13.072534,0.8041667,0.42160493,0.5361111,0.46419752
5/12/24 12:17,1,1,02 Sierra Rimmer,45 Sylvia Brown,0,0,0,0,0,0,0,1,0,0,0,16.025911,2.370662,15.8496,0.5361111,0.46419752,0.21111113,0.44259262
5/12/24 12:17,1,1,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,0,8.763813,8.737599,0.6773322,0.21111113,0.44259262,0.19722226,0.362963
5/12/24 12:17,1,1,06 Micah Roberts,45 Sylvia Brown,0,0,0,0,0,0,0,0,1,0,0,8.945928,-4.74133,-7.586133,0.19722226,0.362963,0.3527778,0.40617284
5/12/24 12:17,1,1,45 Sylvia Brown,24 Mia Letterie,0,0,0,0,0,0,0,0,1,0,0,12.772177,-2.0997334,-12.598398,0.3527778,0.40617284,0.6111111,0.42530864
5/12/24 12:17,1,1,24 Mia Letterie,45 Sylvia Brown,0,0,0,0,0,0,0,0,0,0,0,8.842765,-0.81279886,8.80533,0.6111111,0.42530864,0.4305556,0.43271604
5/12/24 12:17,1,1,45 Sylvia Brown,21 Elena Rubino,0,0,0,0,0,0,0,0,0,0,0,17.263628,11.582397,-12.801599,0.4305556,0.43271604,0.69305557,0.3271605
5/12/24 12:18,1,1,21 Elena Rubino,24 Mia Letterie,0,0,0,0,0,0,0,0,0,0,1,7.938972,-0.4741324,-7.9248013,0.69305557,0.3271605,0.8555556,0.3314815
5/12/24 12:18,1,1,24 Mia Letterie,45 Sylvia Brown,1,1,0,0,0,0,0,0,0,1,0,8.754384,4.809065,7.315199,0.8555556,0.3314815,0.7055556,0.28765434
5/12/24 12:18,1,2,45 Sylvia Brown,06 Micah Roberts,0,0,0,0,0,0,0,0,0,0,0,19.289616,9.482667,-16.797867,0.22916667,0.6771605,0.57361114,0.59074074
