Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 Grace Robinson,18,"1,3,5,6,10,12,14,15,17,19,21,24,25,26,28,30,32,33,34",12,6,8,3,24,13,22,22,2,1,1,1,1,1,0,0,0,0,278.33,47.34,14.65,2.49,305.22,121.71,13.87,5.53
10 Tori Taylor,18,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,33,34",14,4,9,4,38,14,34,36,2,6,0,4,1,1,0,2,0,0,422.48,164.93,12.8,5,522.63,265.44,14.52,7.37
16 Emily Branson,17,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,34",13,4,9,4,18,10,16,17,1,0,0,2,2,2,0,0,0,0,185.52,103.64,13.25,7.4,262.5,37.59,15.44,2.21
22 Rebecca Henley,17,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,34",13,4,9,4,31,15,27,30,1,1,1,4,1,1,0,1,0,0,299.04,69.09,11.5,2.66,451.52,271.41,15.05,9.05
27 Katharine Gilbert,17,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,34",13,4,9,4,48,17,48,41,7,1,2,0,4,3,1,1,0,0,589.97,13.95,13.11,0.31,476.08,207.67,11.61,5.07
28 Margie Quinn,17,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,34",13,4,9,4,66,18,65,51,15,4,5,1,4,4,0,1,0,0,890.91,525.82,14.61,8.62,570.09,-99.7,11.18,-1.95
72 Grace Castro,17,"2,4,7,8,9,10,12,14,17,19,21,24,25,26,28,30,32,34",13,4,9,4,22,12,21,22,0,1,4,1,1,1,0,0,0,0,220.57,89.95,11.03,4.5,324.15,165,14.73,7.5
45 Sylvia Brown,15,"1,3,5,6,11,13,15,16,18,20,22,23,27,31,33",3,12,2,2,30,9,30,26,4,0,0,0,5,4,1,2,0,0,361.81,120.5,13.92,4.63,347.52,41.18,13.37,1.58
24 Mia Letterie,15,"1,3,5,6,11,13,15,16,20,22,23,27,29,31,33",3,12,2,2,14,4,13,12,2,0,2,1,3,3,0,1,0,0,134.56,56.08,13.46,5.61,139.36,-19.37,11.61,-1.61
09 Emma Patterson,10,"3,6,11,13,16,18,22,27,29,31",0,10,0,2,13,5,13,6,7,1,0,0,1,1,0,0,0,0,212.09,83.85,17.67,6.99,60.99,-27.43,10.17,-4.57
02 Sierra Rimmer,9,"1,5,13,15,18,20,23,29,33",3,6,2,0,10,7,10,6,4,0,0,0,2,2,0,0,0,0,148.98,58.25,18.62,7.28,58.6,0.88,9.77,0.15
06 Micah Roberts,8,"1,5,11,15,20,27,31,33",3,5,2,0,8,5,8,8,0,0,0,0,2,2,0,1,0,0,56.45,-5.42,9.41,-0.9,109.21,73.22,13.65,9.15
12 Meaghan Creamer,7,"3,18,20,22,27,31,33",1,6,0,1,2,2,2,2,0,0,0,0,0,0,0,1,0,0,31.78,16.8,15.89,8.4,33.47,18.36,16.74,9.18
21 Elena Rubino,6,"1,6,13,16,22,29",0,6,0,2,4,3,3,4,0,0,0,1,1,1,0,1,0,0,16.57,4,8.29,2,81.53,54.18,20.38,13.55
04 Ashley West,6,"6,11,20,23,29,31",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 Leah Shorb,5,"16,18,22,23,29",0,5,0,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,43.88,29.87,14.63,9.96,57.29,42.88,19.1,14.29
77 Melissa Gronske,5,"2,4,7,8,9",4,1,3,1,2,1,2,2,0,0,0,0,0,0,0,1,0,0,21.73,-5.35,10.87,-2.68,36.55,31.63,18.28,15.82
11 Jamie Ferrie,5,"3,13,16,18,27",0,5,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,42.29,-31.5,10.57,-7.88,76.55,52.15,19.14,13.04
25 Nadine Rowen,5,"3,5,11,15,20",2,3,2,0,5,2,5,4,1,1,0,0,0,0,0,1,0,0,50.08,10.57,10.02,2.11,51.04,30.76,12.76,7.69
19 Bethany Bailey,5,"6,11,15,23,27",1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71 Mattea Swegles,4,"13,18,23,31",0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,14.27,-9.28,14.27,-9.28,13.99,13.41,13.99,13.41
23 Breanna Snipes,3,"16,22,29",0,3,0,2,4,3,3,4,0,0,1,1,0,0,0,0,0,0,26.42,-21.2,8.81,-7.07,57.68,33.6,14.42,8.4
82 Mary Turner,2,"1,5",1,1,1,0,3,1,2,3,0,0,1,1,0,0,0,0,0,0,23.49,22.01,11.75,11.01,35.23,29.33,11.74,9.78
