Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
5/12/24 12:15,1,0,0,0,0,2,13,2,1,1,1,1,,,
5/12/24 12:19,2,0,1,1,1,1,15,0,0,0,0,0,72 Grace Castro,28 Margie Quinn,10 Tori Taylor
5/12/24 12:24,3,1,1,0,0,0,0,0,0,0,0,0,,,
5/12/24 12:26,4,1,2,1,0,2,4,2,2,0,0,1,,,
5/12/24 12:32,5,1,3,1,1,3,19,2,2,0,1,1,82 Mary Turner,25 Nadine Rowen,82 Mary Turner
5/12/24 12:37,6,2,3,0,0,0,0,0,0,0,0,0,,,
5/6/24 17:02,7,2,4,1,1,2,24,1,1,0,0,1,27 Katharine Gilbert,10 Tori Taylor,28 Margie Quinn
5/6/24 17:09,8,3,4,0,1,2,19,1,1,0,1,1,28 Margie Quinn,10 Tori Taylor,16 Emily Branson
5/6/24 17:18,9,4,4,1,1,1,19,0,0,0,0,0,27 Katharine Gilbert,28 Margie Quinn,22 Rebecca Henley
5/6/24 17:25,10,5,4,0,1,4,36,3,3,0,2,2,28 Margie Quinn,10 Tori Taylor,16 Emily Branson
5/6/24 17:37,11,6,4,0,0,0,0,0,0,0,0,0,,,
5/6/24 22:04,12,6,5,1,1,1,8,0,0,0,0,0,22 Rebecca Henley,10 Tori Taylor,22 Rebecca Henley
5/6/24 22:09,13,7,5,0,0,0,0,0,0,0,0,0,,,
5/6/24 22:11,14,7,6,1,0,1,2,1,1,0,0,0,,,
5/6/24 22:14,15,7,7,1,1,1,15,0,0,0,0,0,24 Mia Letterie,08 Grace Robinson,24 Mia Letterie
5/6/24 22:19,16,8,7,0,1,2,15,1,1,0,1,1,24 Mia Letterie,26 Leah Shorb,23 Breanna Snipes
5/6/24 22:25,17,9,7,0,1,3,13,2,2,0,2,1,72 Grace Castro,28 Margie Quinn,10 Tori Taylor
5/6/24 22:33,18,10,7,0,0,2,11,2,2,0,0,2,,,
5/6/24 22:39,19,10,8,1,1,3,15,2,2,0,1,1,28 Margie Quinn,22 Rebecca Henley,72 Grace Castro
5/6/24 22:45,20,11,8,0,0,0,0,0,0,0,0,0,,,
5/6/24 22:47,21,11,9,1,1,1,10,0,0,0,0,0,72 Grace Castro,28 Margie Quinn,08 Grace Robinson
5/6/24 22:53,22,12,9,0,1,1,4,0,0,0,0,1,23 Breanna Snipes,09 Emma Patterson,21 Elena Rubino
5/6/24 22:56,23,13,9,0,0,0,0,0,0,0,0,0,,,
5/6/24 22:58,24,13,10,1,0,1,9,1,1,0,0,0,,,
5/6/24 23:00,25,13,11,1,1,2,19,1,0,1,1,0,72 Grace Castro,10 Tori Taylor,22 Rebecca Henley
5/6/24 23:06,26,14,11,0,1,1,12,0,0,0,0,1,28 Margie Quinn,10 Tori Taylor,22 Rebecca Henley
5/6/24 23:11,27,15,11,0,0,0,0,0,0,0,0,0,,,
5/6/24 23:13,28,15,12,1,1,2,16,1,1,0,0,1,08 Grace Robinson,27 Katharine Gilbert,10 Tori Taylor
5/6/24 23:18,29,16,12,0,0,1,3,1,1,0,1,0,,,
5/6/24 23:21,30,16,13,1,1,1,8,0,0,0,0,0,28 Margie Quinn,72 Grace Castro,10 Tori Taylor
5/6/24 23:22,31,17,13,0,0,2,11,2,2,0,2,0,,,
5/6/24 23:28,32,17,14,1,0,1,3,1,1,0,0,0,,,
5/6/24 23:29,33,17,15,1,0,1,2,1,1,0,0,0,,,
5/6/24 23:33,34,17,16,1,0,2,7,1,1,0,1,0,,,
