Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
5/12/24 12:16,1,1,0,0,0.8041667,0.42160493,24 Mia Letterie,9,,,,24 Mia Letterie,,
5/12/24 12:18,1,2,0,0,0.22916667,0.6771605,45 Sylvia Brown,4,,,,,45 Sylvia Brown,
5/12/24 12:21,2,1,1,1,0.5208333,0.69382715,28 Margie Quinn,15,72 Grace Castro,28 Margie Quinn,10 Tori Taylor,,,
5/12/24 12:28,4,1,1,0,0.64166665,0.6135802,28 Margie Quinn,3,,,,72 Grace Castro,,
5/12/24 12:29,4,2,1,0,0.16111107,0.2654321,16 Emily Branson,1,,,,16 Emily Branson,,
5/12/24 12:33,5,1,1,0,0.31944448,0.7191358,08 Grace Robinson,6,,,,06 Micah Roberts,,
5/12/24 12:35,5,2,1,0,0.81111115,0.5882716,45 Sylvia Brown,6,,,,24 Mia Letterie,,
5/12/24 12:36,5,3,1,1,0.4055556,0.57901233,25 Nadine Rowen,7,82 Mary Turner,25 Nadine Rowen,82 Mary Turner,,,
5/6/24 17:04,7,1,1,0,0.51111114,0.7092593,28 Margie Quinn,18,,,,28 Margie Quinn,,
5/6/24 17:09,7,2,1,1,0.14583333,0.24259262,27 Katharine Gilbert,6,27 Katharine Gilbert,10 Tori Taylor,28 Margie Quinn,,,
5/6/24 17:13,8,1,0,0,0.21805553,0.58148146,27 Katharine Gilbert,5,,,,28 Margie Quinn,,
5/6/24 17:16,8,2,0,1,0.26805553,0.7641975,28 Margie Quinn,14,28 Margie Quinn,10 Tori Taylor,16 Emily Branson,,,
5/6/24 17:21,9,1,1,1,0.6277778,0.69012344,28 Margie Quinn,19,27 Katharine Gilbert,28 Margie Quinn,22 Rebecca Henley,,,
5/6/24 17:27,10,1,0,0,0.2069444,0.72037035,02 Sierra Rimmer,3,,,,21 Elena Rubino,,
5/6/24 17:29,10,2,0,0,0.8944444,0.8320988,02 Sierra Rimmer,2,,,,10 Tori Taylor,,
5/6/24 17:31,10,3,0,0,0.43888888,0.7425926,10 Tori Taylor,17,,,,16 Emily Branson,,
5/6/24 17:35,10,4,0,1,0.66111106,0.45679012,22 Rebecca Henley,14,28 Margie Quinn,10 Tori Taylor,16 Emily Branson,,,
5/6/24 22:04,12,1,1,1,0.4125,0.6191358,28 Margie Quinn,8,22 Rebecca Henley,10 Tori Taylor,22 Rebecca Henley,,,
