Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-04 18:18:18,3,05 Steph Rupp,0,0,0,0,0.1125,0.6623457
2024-05-04 18:21:23,3,28 Emma Peaslee,0,0,0,0,0.52916664,0.6111111
2024-05-04 18:25:43,4,10 Jane Koch,1,0,0,0,0.2819444,0.8537037
2024-05-04 18:26:16,4,14 Jessica Hendrickson,1,0,0,0,0.7291667,0.8716049
2024-05-04 18:30:47,4,44 Sarah Meckstroth,0,0,0,0,0.7902777,0.6154321
2024-05-04 18:41:00,8,02 Steph Wood,0,0,0,0,0.05,0.7129629
2024-05-04 18:52:38,11,02 Steph Wood,0,0,0,0,0.99861115,0.5814815
2024-05-04 18:58:44,14,14 Jessica Hendrickson,0,0,0,0,0.55138886,0.5574074
2024-05-06 16:00:29,15,47 Tori Gray,0,0,0,0,0.5930556,0.54567903
2024-05-06 16:06:11,15,47 Tori Gray,0,0,0,0,0.04861113,0.6827161
2024-05-07 15:02:46,26,21 Sarah Mondschein,0,0,0,0,0.4444444,0.49876544
2024-05-07 15:12:33,29,47 Tori Gray,1,0,0,0,0.49444446,0.8518519
2024-05-07 15:16:36,31,55 Courtney Walbe,0,0,0,0,0.3027778,0.6469136
2024-05-07 15:17:23,31,47 Tori Gray,0,0,0,0,0.9527778,0.68580246
