Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-04 18:12:46,1,1,11 Rachel Johnson,14 Jessica Hendrickson,0,0,0,0,0,0,0,0,0,1,0,35.600677,21.403728,-28.448,0.019444466,0.7623457,0.6027778,0.567284
2024-05-04 18:12:52,1,1,14 Jessica Hendrickson,55 Courtney Walbe,0,0,0,0,0,0,0,0,0,0,0,12.26441,4.4026737,11.446931,0.6027778,0.567284,0.3680556,0.52716047
2024-05-04 18:13:09,1,1,55 Courtney Walbe,11 Rachel Johnson,0,0,0,0,0,0,0,0,1,0,0,10.024768,-5.147738,8.602137,0.3680556,0.52716047,0.19166666,0.5740741
2024-05-04 18:13:19,1,1,11 Rachel Johnson,10 Jane Koch,0,0,0,0,0,0,0,0,0,0,0,21.991646,21.945599,-1.4224001,0.19166666,0.5740741,0.22083333,0.3740741
2024-05-04 18:13:24,1,1,10 Jane Koch,14 Jessica Hendrickson,0,0,0,0,0,0,0,0,0,0,0,12.982558,8.331202,-9.956801,0.22083333,0.3740741,0.425,0.29814816
2024-05-04 18:13:27,1,1,14 Jessica Hendrickson,11 Rachel Johnson,0,0,0,0,0,0,0,0,1,0,0,11.618983,-5.757333,-10.092268,0.425,0.29814816,0.6319445,0.3506173
2024-05-04 18:13:34,1,1,11 Rachel Johnson,10 Jane Koch,1,1,0,0,0,0,0,0,0,0,1,14.27744,7.857066,-11.921066,0.6319445,0.3506173,0.8763889,0.27901235
2024-05-04 18:14:15,1,2,55 Courtney Walbe,21 Sarah Mondschein,0,0,0,0,0,1,1,0,0,0,1,49.10162,42.062397,-25.332268,0.34861115,0.57962966,0.8680556,0.19629632
2024-05-04 18:14:21,1,2,21 Sarah Mondschein,14 Jessica Hendrickson,0,0,0,1,1,0,0,1,0,1,0,19.676271,6.9088,18.423468,0.8680556,0.19629632,0.4902778,0.13333336
2024-05-04 18:17:38,3,1,03 Makella Daley,04 Erica Baken,0,0,0,0,0,0,0,0,0,0,0,8.240114,3.7930655,-7.315199,0.33333334,0.7604938,0.48333332,0.7259259
2024-05-04 18:17:42,3,1,04 Erica Baken,07 Danielle Byers,1,1,0,0,0,0,0,0,0,0,0,20.469587,17.407461,10.7696,0.48333332,0.7259259,0.2625,0.567284
2024-05-04 18:18:40,3,2,05 Steph Rupp,44 Sarah Meckstroth,0,0,0,0,0,0,0,0,0,1,0,12.905822,6.570135,-11.108266,0.047222264,0.71851856,0.275,0.658642
2024-05-04 18:18:48,3,2,44 Sarah Meckstroth,53 Emma Piorier,0,0,0,0,0,0,0,0,0,0,0,15.810327,15.781864,0.94826484,0.275,0.658642,0.2555556,0.51481485
2024-05-04 18:18:52,3,2,53 Emma Piorier,05 Steph Rupp,0,0,0,0,0,0,0,0,1,0,0,12.471946,-7.8570633,-9.685865,0.2555556,0.51481485,0.45416668,0.58641976
2024-05-04 18:18:56,3,2,05 Steph Rupp,03 Makella Daley,0,0,0,0,0,0,0,1,0,0,0,15.130177,3.589865,-14.698133,0.45416668,0.58641976,0.75555557,0.5537037
2024-05-04 18:18:58,3,2,03 Makella Daley,04 Erica Baken,0,0,0,0,0,0,0,0,0,0,1,16.4028,15.3077345,-5.8928003,0.75555557,0.5537037,0.8763889,0.41419753
2024-05-04 18:19:03,3,2,04 Erica Baken,44 Sarah Meckstroth,0,0,0,0,0,0,0,0,0,1,1,12.607319,12.5984,-0.47413388,0.8763889,0.41419753,0.88611114,0.29938272
