Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
21 Sarah Mondschein,14,"1,5,7,10,12,14,15,17,20,22,24,26,28,31",1,13,0,8,13,9,12,11,2,3,2,1,3,1,2,1,0,0,186.42,107.36,16.95,9.76,210.67,159.44,19.15,14.49
49 Elly Fireside-Ostergaard,13,"1,5,7,10,12,14,15,17,20,22,26,28,31",0,13,0,8,5,4,1,5,0,0,0,4,0,0,0,0,0,0,11.19,-7.32,11.19,-7.32,105.91,88.73,21.18,17.75
02 Steph Wood,12,"2,6,8,9,11,15,18,21,24,25,27,30,32",5,7,4,4,16,8,15,15,1,3,0,1,2,2,0,2,0,0,231.94,104.11,17.84,8.01,260.82,134.59,17.39,8.97
45 Emery Otapalik,11,"2,6,8,9,11,15,18,21,24,27,30,32",4,7,3,4,4,3,4,4,0,0,1,0,0,0,0,0,0,0,50.69,45.65,12.67,11.41,79.84,46.19,19.96,11.55
47 Tori Gray,11,"2,5,8,10,12,18,20,24,27,29,31",1,10,0,4,12,7,11,10,2,0,0,1,3,3,0,4,0,0,93.34,42.40,13.33,6.06,159.88,102.01,15.99,10.20
04 Erica Baken,11,"3,4,6,9,13,16,19,21,23,25,30",9,2,8,2,23,10,22,15,8,3,1,1,2,2,0,0,0,0,403.73,309.81,20.19,15.49,214.40,72.34,14.29,4.82
05 Steph Rupp,11,"3,4,6,9,13,16,19,21,23,25,30",9,2,8,2,18,8,18,13,5,1,1,0,1,1,0,1,0,0,268.75,137.77,15.81,8.10,176.96,46.74,13.61,3.60
03 Makella Daley,11,"3,4,6,9,13,16,19,21,23,25,30",9,2,8,2,23,9,23,18,5,1,4,0,0,0,0,0,0,0,356.82,219.52,16.22,9.98,246.22,-7.99,13.68,-0.44
00 Alicia Carr,10,"2,5,8,10,12,17,20,24,27,29,32",1,9,0,4,14,7,14,14,0,1,2,0,2,2,0,0,0,0,208.76,135.94,17.40,11.33,188.11,23.16,13.44,1.65
11 Rachel Johnson,11,"1,7,11,14,15,18,22,24,26,28,31",1,10,0,7,18,9,18,8,10,1,2,0,2,2,0,0,0,0,278.58,145.63,18.57,9.71,93.59,-8.94,11.70,-1.12
15 Chelsea Semper,9,"2,5,8,10,17,20,24,27,29,32",1,8,0,4,14,7,14,6,8,0,1,0,0,0,0,0,0,0,196.97,37.80,14.07,2.70,76.47,-11.65,12.75,-1.94
19 Megan Randall,10,"2,5,8,10,12,18,20,27,29,31",0,10,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,52.27,-20.59,13.07,-5.15,70.99,30.95,17.75,7.74
53 Emma Piorier,10,"3,4,6,13,16,19,21,23,25,29",8,2,7,1,10,6,8,10,0,0,3,2,1,1,0,0,0,0,63.01,-10.77,9.00,-1.54,176.06,153.96,17.61,15.40
33 Julia Hill,9,"2,5,8,10,12,17,20,27,29,32",0,9,0,4,7,5,6,7,0,1,0,1,0,0,0,0,0,0,72.35,6.77,12.06,1.13,108.99,41.39,15.57,5.91
07 Danielle Byers,10,"3,4,6,13,16,19,21,23,25,29",8,2,7,1,13,8,11,13,0,1,0,2,1,1,0,0,0,0,146.07,14.29,14.61,1.43,242.33,192.09,18.64,14.78
55 Courtney Walbe,10,"1,7,11,14,15,18,22,26,28,31",0,10,0,7,13,5,13,11,2,1,1,0,3,1,2,1,0,0,238.28,122.53,19.86,10.21,129.33,-17.68,11.76,-1.61
01 Amelia Zdechlik,10,"1,7,11,14,15,18,22,26,28,31",0,10,0,7,4,3,4,4,0,0,1,0,1,1,0,0,0,0,38.90,8.26,12.97,2.75,71.55,20.93,17.89,5.23
14 Jessica Hendrickson,8,"1,7,11,14,17,22,26,28,32",0,8,0,7,13,8,11,13,0,0,1,2,0,0,0,2,0,0,123.38,24.99,11.22,2.27,247.38,134.11,19.03,10.32
44 Sarah Meckstroth,9,"3,4,9,13,16,19,23,25,30",7,2,6,2,16,8,13,16,0,2,0,3,5,3,2,1,0,0,160.43,72.20,16.04,7.22,278.66,219.73,17.42,13.73
10 Jane Koch,8,"1,7,11,14,17,22,26,28,32",0,8,0,7,13,8,12,12,1,3,0,1,2,0,2,1,0,0,180.67,64.14,15.06,5.35,178.73,97.33,14.89,8.11
28 Emma Peaslee,8,"3,4,9,13,16,19,23,30",6,2,5,2,4,3,2,4,0,0,1,2,0,0,0,1,0,0,22.51,22.35,11.26,11.18,68.19,65.43,17.05,16.36
