Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-04 18:11:16,1,0,0,0,1,2,9,1,1,0,0,2,55 Courtney Walbe,21 Sarah Mondschein,14 Jessica Hendrickson
2024-05-04 18:14:23,2,1,0,0,0,0,0,0,0,0,0,0,,,
2024-05-04 18:15:58,3,1,1,1,1,4,28,3,2,1,2,1,53 Emma Piorier,04 Erica Baken,28 Emma Peaslee
2024-05-04 18:23:36,4,2,1,0,1,4,9,3,1,3,3,1,05 Steph Rupp,44 Sarah Meckstroth,07 Danielle Byers
2024-05-04 18:31:10,5,3,1,0,0,1,4,1,1,1,0,1,,,
2024-05-04 18:33:35,6,3,2,1,1,1,4,0,0,0,0,0,03 Makella Daley,02 Steph Wood,07 Danielle Byers
2024-05-04 18:36:20,7,4,2,0,1,1,9,0,0,0,0,1,01 Amelia Zdechlik,55 Courtney Walbe,10 Jane Koch
2024-05-04 18:39:12,8,5,2,0,1,1,5,0,0,0,1,0,45 Emery Otapalik,00 Alicia Carr,33 Julia Hill
2024-05-04 18:41:36,9,6,2,0,1,4,24,3,3,1,0,4,28 Emma Peaslee,02 Steph Wood,04 Erica Baken
2024-05-04 18:49:06,10,7,2,0,1,1,3,0,0,0,0,1,00 Alicia Carr,21 Sarah Mondschein,49 Elly Fireside-Ostergaard
2024-05-04 18:51:03,11,8,2,0,1,1,6,0,0,0,1,0,11 Rachel Johnson,10 Jane Koch,02 Steph Wood
2024-05-04 18:53:16,12,9,2,0,0,0,0,0,0,0,0,0,,,
2024-05-04 18:54:49,13,9,3,1,1,1,14,0,0,0,0,0,03 Makella Daley,05 Steph Rupp,44 Sarah Meckstroth
2024-05-04 18:57:16,14,10,3,0,1,1,2,0,0,0,1,0,11 Rachel Johnson,21 Sarah Mondschein,14 Jessica Hendrickson
2024-05-06 15:59:24,15,11,3,0,0,2,16,2,2,0,2,0,,,
2024-05-06 16:08:26,16,11,4,1,1,1,7,0,0,0,0,0,53 Emma Piorier,03 Makella Daley,28 Emma Peaslee
2024-05-06 16:10:28,17,12,4,0,1,1,5,0,0,0,0,1,00 Alicia Carr,33 Julia Hill,49 Elly Fireside-Ostergaard
2024-05-06 16:13:56,18,13,4,0,0,0,0,0,0,0,0,0,,,
2024-05-06 16:15:41,19,13,5,1,1,1,5,0,0,0,0,0,53 Emma Piorier,44 Sarah Meckstroth,53 Emma Piorier
2024-05-06 16:16:50,20,14,5,0,0,0,0,0,0,0,0,0,,,
2024-05-06 16:18:32,21,14,6,1,1,3,15,2,2,0,0,2,04 Erica Baken,07 Danielle Byers,53 Emma Piorier
2024-05-06 16:22:13,22,15,6,0,0,0,0,0,0,0,0,0,,,
2024-05-06 16:23:34,23,15,7,1,0,1,2,1,1,0,0,0,,,
2024-05-06 16:25:53,24,15,8,1,0,1,8,1,1,0,0,0,,,
2024-05-06 16:28:20,25,15,9,1,1,1,9,0,0,0,0,0,03 Makella Daley,04 Erica Baken,44 Sarah Meckstroth
2024-05-06 16:30:41,26,16,9,0,1,1,11,0,0,0,1,0,14 Jessica Hendrickson,10 Jane Koch,21 Sarah Mondschein
2024-05-07 15:04:10,27,17,9,0,1,1,4,0,0,0,0,1,15 Chelsea Semper,02 Steph Wood,47 Tori Gray
2024-05-07 15:07:23,28,18,9,0,1,1,2,0,0,0,0,1,21 Sarah Mondschein,10 Jane Koch,49 Elly Fireside-Ostergaard
2024-05-07 15:10:26,29,19,9,0,0,2,8,2,2,0,1,1,,,
2024-05-07 15:13:25,30,19,10,1,1,1,2,0,0,0,0,0,03 Makella Daley,04 Erica Baken,44 Sarah Meckstroth
2024-05-07 15:14:55,31,20,10,0,1,3,17,2,2,1,2,1,21 Sarah Mondschein,11 Rachel Johnson,49 Elly Fireside-Ostergaard
2024-05-07 15:19:25,32,21,10,0,0,2,8,2,2,1,0,2,,,
