Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-04 18:12:40,1,1,0,0,0.019444466,0.7623457,11 Rachel Johnson,7,,,,11 Rachel Johnson,,
2024-05-04 18:14:06,1,2,0,1,0.34861115,0.57962966,55 Courtney Walbe,2,55 Courtney Walbe,21 Sarah Mondschein,14 Jessica Hendrickson,,,
2024-05-04 18:17:34,3,1,1,0,0.33333334,0.7604938,03 Makella Daley,2,,,,04 Erica Baken,,
2024-05-04 18:18:29,3,2,1,0,0.047222264,0.71851856,05 Steph Rupp,7,,,,44 Sarah Meckstroth,,
2024-05-04 18:19:55,3,3,1,0,0.85,0.7345679,04 Erica Baken,6,,,,,44 Sarah Meckstroth,
2024-05-04 18:21:35,3,4,1,1,0.51111114,0.6148148,04 Erica Baken,13,53 Emma Piorier,04 Erica Baken,28 Emma Peaslee,,,
2024-05-04 18:25:46,4,1,0,0,0.2819444,0.8537037,10 Jane Koch,2,,,,,55 Courtney Walbe,
2024-05-04 18:26:22,4,2,0,0,0.7611111,0.85493827,11 Rachel Johnson,2,,,,,10 Jane Koch,
2024-05-04 18:28:18,4,3,0,0,0.7902777,0.70555556,04 Erica Baken,1,,,,04 Erica Baken,44 Sarah Meckstroth,
2024-05-04 18:30:50,4,4,0,1,0.81527776,0.6018518,04 Erica Baken,4,05 Steph Rupp,44 Sarah Meckstroth,07 Danielle Byers,,,
2024-05-04 18:32:23,5,1,0,0,0.90972227,0.8271605,15 Chelsea Semper,4,,,,00 Alicia Carr,21 Sarah Mondschein,
2024-05-04 18:35:09,6,1,1,1,0.15833333,0.7691358,05 Steph Rupp,4,03 Makella Daley,02 Steph Wood,07 Danielle Byers,,,
2024-05-04 18:38:29,7,1,0,1,0.53333336,0.83271605,11 Rachel Johnson,9,01 Amelia Zdechlik,55 Courtney Walbe,10 Jane Koch,,,
2024-05-04 18:41:05,8,1,0,1,0.05,0.7129629,02 Steph Wood,5,45 Emery Otapalik,00 Alicia Carr,33 Julia Hill,,,
2024-05-04 18:43:14,9,1,0,0,0.34166667,0.8271605,11 Rachel Johnson,1,,,,11 Rachel Johnson,,
2024-05-04 18:43:49,9,2,0,0,0.9680556,0.7302469,11 Rachel Johnson,7,,,,01 Amelia Zdechlik,21 Sarah Mondschein,
2024-05-04 18:46:39,9,3,0,0,0.6277778,0.74506176,03 Makella Daley,10,,,,44 Sarah Meckstroth,,
2024-05-04 18:48:41,9,4,0,1,0.2027778,0.8037037,04 Erica Baken,6,28 Emma Peaslee,02 Steph Wood,04 Erica Baken,,,
2024-05-04 18:50:31,10,1,0,1,0.7694444,0.66358024,47 Tori Gray,3,00 Alicia Carr,21 Sarah Mondschein,49 Elly Fireside-Ostergaard,,,
2024-05-04 18:52:44,11,1,0,1,0.9652778,0.5635803,11 Rachel Johnson,6,11 Rachel Johnson,10 Jane Koch,02 Steph Wood,,,
2024-05-04 18:56:03,13,1,1,1,0.28194445,0.8351852,05 Steph Rupp,14,03 Makella Daley,05 Steph Rupp,44 Sarah Meckstroth,,,
2024-05-04 18:59:00,14,1,0,1,0.65,0.65,11 Rachel Johnson,2,11 Rachel Johnson,21 Sarah Mondschein,14 Jessica Hendrickson,,,
2024-05-06 16:00:33,15,1,0,0,0.5930556,0.54567903,47 Tori Gray,5,,,,47 Tori Gray,,
2024-05-06 16:06:48,15,2,0,0,0.0125,0.4993827,15 Chelsea Semper,11,,,,47 Tori Gray,,
2024-05-06 16:09:46,16,1,1,1,0.5375,0.7993827,03 Makella Daley,7,53 Emma Piorier,03 Makella Daley,28 Emma Peaslee,,,
2024-05-06 16:13:41,17,1,0,1,0.93888885,0.41728395,15 Chelsea Semper,5,00 Alicia Carr,33 Julia Hill,49 Elly Fireside-Ostergaard,,,
2024-05-06 16:16:30,19,1,1,1,0.24305554,0.654321,03 Makella Daley,5,53 Emma Piorier,44 Sarah Meckstroth,53 Emma Piorier,,,
2024-05-06 16:19:22,21,1,1,0,0.48888886,0.517284,04 Erica Baken,7,,,,05 Steph Rupp,,
2024-05-06 16:20:41,21,2,1,0,0.44583333,0.5611111,05 Steph Rupp,3,,,,07 Danielle Byers,,
2024-05-06 16:21:48,21,3,1,1,0.83055556,0.7425926,04 Erica Baken,5,04 Erica Baken,07 Danielle Byers,53 Emma Piorier,,,
2024-05-06 16:24:37,23,1,1,0,0.5111111,0.50617284,04 Erica Baken,2,,,,44 Sarah Meckstroth,,
2024-05-06 16:26:41,24,1,1,0,0.33333334,0.7074074,11 Rachel Johnson,8,,,,02 Steph Wood,,
