Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-05 10:26:13,1,1,08 ManHua Zhu,21 Annie Shriver,0,0,0,0,0,0,0,0,0,1,0,11.610246,5.4757595,-10.2378645,0.116504855,0.56463194,0.39320388,0.50987434
2024-05-05 10:26:21,1,1,21 Annie Shriver,17 Caitlin Duffner,1,1,0,0,0,0,0,0,0,0,0,20.979591,12.9263935,-16.524273,0.39320388,0.50987434,0.83980584,0.3806104
2024-05-05 10:27:18,1,2,52 Erynn Schroeder,21 Annie Shriver,0,0,0,0,0,0,0,0,0,1,0,10.856994,9.425497,-5.3883495,0.016990291,0.8078995,0.16262136,0.7136445
2024-05-05 10:27:30,1,2,21 Annie Shriver,27 Steph Bugasch,0,0,0,0,0,0,0,0,0,0,0,11.311586,3.1418264,-10.866505,0.16262136,0.7136445,0.4563107,0.68222624
2024-05-05 10:27:43,1,2,27 Steph Bugasch,21 Annie Shriver,1,1,0,0,0,0,0,0,0,0,0,13.973791,12.3877945,-6.4660177,0.4563107,0.68222624,0.63106793,0.5583483
2024-05-05 10:32:08,2,1,52 Erynn Schroeder,27 Steph Bugasch,0,0,0,0,0,0,0,0,0,0,0,9.606706,9.605026,0.179611,0.41262135,0.7333932,0.407767,0.63734293
2024-05-05 10:32:25,2,1,27 Steph Bugasch,21 Annie Shriver,0,0,0,0,0,0,0,0,0,0,0,9.255945,4.667866,-7.9927177,0.407767,0.63734293,0.6237864,0.59066427
2024-05-05 10:32:34,2,1,21 Annie Shriver,52 Erynn Schroeder,0,0,0,0,0,0,0,0,0,0,0,10.197971,9.156195,-4.4902916,0.6237864,0.59066427,0.7451456,0.49910232
2024-05-05 10:32:56,2,1,52 Erynn Schroeder,27 Steph Bugasch,0,0,0,0,0,1,0,0,0,0,0,31.14321,29.443445,10.148058,0.7451456,0.49910232,0.47087377,0.20466787
2024-05-05 10:33:07,2,1,27 Steph Bugasch,07 Sydney Stelzer,0,0,0,1,1,0,0,0,0,0,0,14.514139,13.913825,4.1310673,0.47087377,0.20466787,0.3592233,0.06552962
2024-05-05 10:37:50,3,1,47 Penny Wu,00 Donna Johnston,1,1,0,0,0,0,0,0,0,0,1,12.861377,11.759424,-5.208738,0.7451456,0.41651705,0.8859223,0.2989228
2024-05-05 10:38:57,3,2,47 Penny Wu,97 Eileen Bequette,1,0,1,0,0,0,1,0,0,0,0,50.209335,50.0,4.5800977,0.30097088,0.8195691,0.17718446,0.3195691
2024-05-05 10:40:27,3,3,99 Dana Demmert,72 Jacqueline Jarik,1,1,0,0,0,0,0,0,0,0,0,27.306921,27.289047,0.9878644,0.37135923,0.5583483,0.3446602,0.28545782
2024-05-05 10:42:39,4,1,52 Erynn Schroeder,08 ManHua Zhu,0,0,0,0,0,0,0,0,0,0,0,6.437988,4.129261,4.9393206,0.8446602,0.7486535,0.7111651,0.70736086
2024-05-05 10:42:54,4,1,08 ManHua Zhu,21 Annie Shriver,0,0,0,0,0,0,0,0,0,0,0,10.602578,9.874326,-3.8616502,0.7111651,0.70736086,0.815534,0.6086176
2024-05-05 10:43:04,4,1,21 Annie Shriver,17 Caitlin Duffner,0,0,0,0,0,0,0,0,0,0,1,8.245077,6.7324934,-4.7597084,0.815534,0.6086176,0.94417477,0.54129267
