Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
12 Sydney French,17,"3,5,6,8,9,12,13,16,19,21,23,24,25,27,29,30,32",7,10,3,1,7,5,6,7,0,1,0,1,1,1,0,1,0,0,55.76,39.59,11.15,7.92,92.57,49.73,13.22,7.10
22 Alex Ballinger,16,"3,5,6,8,9,12,13,15,16,19,21,23,24,27,29,32",8,8,4,1,15,9,15,8,7,1,3,0,0,0,0,0,0,0,133.38,58.62,10.26,4.51,74.89,8.26,9.36,1.03
72 Jacqueline Jarik,16,"3,5,6,8,9,12,13,16,19,21,23,24,25,27,29,32",7,9,3,1,6,6,5,6,0,1,0,1,2,1,1,0,0,0,87.24,56.82,21.81,14.21,93.92,86.27,15.65,14.38
47 Penny Wu,16,"3,5,6,8,9,12,13,16,19,22,23,24,25,27,30,32",7,9,3,1,15,8,15,10,5,1,0,0,5,4,1,0,0,0,152.90,121.45,15.29,12.15,92.88,7.81,9.29,0.78
17 Caitlin Duffner,14,"1,2,4,7,10,11,14,15,17,18,20,21,26,31",13,1,4,0,12,6,12,12,0,0,0,0,0,0,0,1,0,0,133.06,-16.70,11.09,-1.39,157.90,123.16,13.16,10.26
52 Erynn Schroeder,14,"1,2,4,7,10,11,14,15,17,20,21,26,28,31",13,1,3,0,38,14,38,20,18,2,1,0,7,7,0,1,0,0,386.62,223.61,12.47,7.21,184.53,20.29,9.23,1.01
21 Annie Shriver,13,"1,2,5,7,10,11,17,18,20,22,26,28,31",13,0,5,0,14,8,13,14,0,0,1,1,3,3,0,1,0,0,117.85,38.87,11.78,3.89,165.28,104.31,11.81,7.45
00 Donna Johnston,12,"3,6,8,9,13,16,19,23,24,27,30,32",4,8,0,1,3,2,3,2,1,0,0,0,1,1,0,0,0,0,7.23,0.81,7.23,0.81,18.77,14.54,9.39,7.27
27 Steph Bugasch,12,"1,2,4,7,11,14,15,17,20,26,28,31",12,0,3,0,15,10,14,14,1,1,1,1,3,3,0,0,0,0,117.43,50.81,10.68,4.62,181.31,103.50,12.95,7.39
99 Dana Demmert,11,"3,6,8,12,16,21,24,25,27,29,32",5,6,2,0,4,3,4,3,1,0,0,0,3,1,2,0,0,0,22.80,-8.08,7.60,-2.69,26.95,17.95,8.98,5.98
08 ManHua Zhu,9,"1,4,7,11,14,17,20,26,31",9,0,1,0,11,8,11,7,4,0,0,0,0,0,0,0,0,0,146.94,80.07,13.36,7.28,66.42,-22.80,9.49,-3.26
10 Chelsea Twohig,9,"5,9,12,13,19,23,25,29,30",4,5,3,1,4,4,2,4,0,0,1,2,0,0,0,1,0,0,18.20,3.23,9.10,1.62,79.19,73.97,19.80,18.49
13 Erin Newman,8,"2,7,10,14,17,22,26,31",8,0,2,0,5,4,5,5,0,0,1,0,2,2,0,0,0,0,32.98,22.62,10.99,7.54,66.55,36.09,13.31,7.22
07 Sydney Stelzer,7,"2,4,11,15,18,26,31",7,0,3,0,7,5,5,7,0,0,0,2,2,1,1,0,0,0,35.15,4.49,8.79,1.12,105.05,62.84,15.01,8.98
05 Rose Glinka,7,"1,10,14,17,20,22,28",7,0,2,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,24.52,12.39,8.17,4.13,35.20,31.87,11.73,10.62
20 Madison Lang,7,"2,4,10,15,18,22,28",7,0,4,0,12,5,12,11,1,2,0,0,2,2,0,0,0,0,104.05,68.04,11.56,7.56,104.84,-21.81,9.53,-1.98
97 Eileen Bequette,7,"3,8,13,15,23,27,32",4,3,1,1,2,2,2,1,1,0,0,0,1,0,1,2,0,0,23.78,8.80,11.89,4.40,13.30,5.66,13.30,5.66
25 Anna Wozniak,6,"6,12,19,21,25,30",1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23 Allie Mueting,5,"5,9,16,24,29",3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88 Claire Kelley,4,"1,11,18,28",4,0,1,0,6,4,6,6,0,0,0,0,0,0,0,0,0,0,56.43,23.07,11.29,4.61,78.39,64.09,13.07,10.68
24 Heidi Umhoefer,4,"4,18,22,30",3,1,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,19.97,19.12,9.99,9.56,24.67,12.39,12.34,6.19
32 Mickela Heilicher,4,"10,18,22,29",4,0,3,0,7,4,6,4,3,0,1,1,2,1,1,0,0,0,48.81,15.71,9.76,3.14,55.66,49.82,13.92,12.46
64 Rachel Hildedrand,3,"14,20,28",3,0,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,16.80,9.07,8.40,4.53,8.92,-3.14,8.92,-3.14
55 Mia Weben,3,"7,25,30",1,2,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,14.71,7.63,14.71,7.63
