Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-05 10:22:48,1,0,0,1,0,2,5,2,2,0,0,1,,,
2024-05-05 10:28:00,2,0,1,1,1,1,5,0,0,0,0,0,52 Erynn Schroeder,27 Steph Bugasch,07 Sydney Stelzer
2024-05-05 10:33:12,3,1,1,0,0,3,3,3,2,1,1,2,,,
2024-05-05 10:41:16,4,1,2,1,0,4,27,4,4,0,1,2,,,
2024-05-05 10:50:49,5,1,3,1,1,2,7,1,1,0,1,0,10 Chelsea Twohig,22 Alex Ballinger,72 Jacqueline Jarik
2024-05-05 10:54:03,6,2,3,0,0,0,0,0,0,0,0,0,,,
2024-05-05 11:22:55,7,2,4,1,0,1,4,1,1,0,0,0,,,
2024-05-05 11:25:41,8,2,5,1,0,1,8,1,1,0,0,0,,,
2024-05-05 11:28:26,9,2,6,1,0,4,10,4,3,1,2,1,,,
2024-05-05 11:34:12,10,2,7,1,0,1,7,1,0,1,0,0,,,
2024-05-05 11:36:58,11,2,8,1,0,1,4,1,1,0,0,0,,,
2024-05-05 11:38:29,12,2,9,1,1,1,7,0,0,0,0,0,22 Alex Ballinger,72 Jacqueline Jarik,12 Sydney French
2024-05-05 11:40:55,13,3,9,0,0,0,0,0,0,0,0,0,,,
2024-05-05 11:42:07,14,3,10,1,0,1,5,1,1,0,0,0,,,
2024-05-05 11:58:15,15,3,11,1,1,3,19,2,2,0,0,2,27 Steph Bugasch,52 Erynn Schroeder,07 Sydney Stelzer
2024-05-05 12:03:19,16,4,11,0,0,0,0,0,0,0,0,0,,,
2024-05-05 12:05:53,17,4,12,1,0,1,2,1,1,0,0,0,,,
2024-05-05 12:06:57,18,4,13,1,1,1,10,0,0,0,0,0,32 Mickela Heilicher,20 Madison Lang,21 Annie Shriver
2024-05-05 12:09:04,19,5,13,0,0,0,0,0,0,0,0,0,,,
2024-05-05 12:11:20,20,5,14,1,1,1,7,0,0,0,0,0,21 Annie Shriver,52 Erynn Schroeder,27 Steph Bugasch
2024-05-05 12:13:18,21,6,14,0,0,2,7,2,1,1,1,1,,,
2024-05-05 12:17:05,22,6,15,1,1,1,5,0,0,0,0,0,13 Erin Newman,20 Madison Lang,32 Mickela Heilicher
2024-05-05 12:18:45,23,7,15,0,1,1,7,0,0,0,1,0,22 Alex Ballinger,47 Penny Wu,10 Chelsea Twohig
2024-05-05 12:22:32,24,8,15,0,0,0,0,0,0,0,0,0,,,
2024-05-05 12:26:08,25,8,16,0,0,0,0,0,0,0,0,0,,,
2024-05-05 12:27:44,26,8,17,1,0,1,4,1,1,0,0,0,,,
2024-05-05 12:29:23,27,8,18,1,0,1,1,1,0,1,0,0,,,
2024-05-05 12:31:32,28,8,19,1,0,1,1,1,1,0,0,0,,,
2024-05-05 12:33:49,29,8,20,1,1,3,8,2,2,0,0,2,22 Alex Ballinger,12 Sydney French,10 Chelsea Twohig
2024-05-05 12:36:56,30,9,20,0,0,0,0,0,0,0,0,0,,,
2024-05-05 12:38:40,31,9,21,1,0,3,14,3,3,0,1,1,,,
2024-05-05 12:42:53,32,9,22,1,0,2,5,2,1,2,0,1,,,
2024-05-05 12:45:36,33,9,23,1,0,1,0,0,0,0,0,0,,,
