Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-05 10:25:07,1,1,1,0,0.116504855,0.56463194,08 ManHua Zhu,2,,,,21 Annie Shriver,,
2024-05-05 10:27:08,1,2,1,0,0.016990291,0.8078995,52 Erynn Schroeder,3,,,,27 Steph Bugasch,,
2024-05-05 10:30:44,2,1,1,1,0.41262135,0.7333932,52 Erynn Schroeder,5,52 Erynn Schroeder,27 Steph Bugasch,07 Sydney Stelzer,,,
2024-05-05 10:37:32,3,1,0,0,0.7451456,0.41651705,47 Penny Wu,1,,,,47 Penny Wu,,
2024-05-05 10:38:26,3,2,0,0,0.30097088,0.8195691,47 Penny Wu,1,,,,,97 Eileen Bequette,
2024-05-05 10:40:24,3,3,0,0,0.37135923,0.5583483,99 Dana Demmert,1,,,,99 Dana Demmert,,
2024-05-05 10:42:36,4,1,1,0,0.8446602,0.7486535,52 Erynn Schroeder,12,,,,52 Erynn Schroeder,,
2024-05-05 10:45:02,4,2,1,0,0.48058254,0.29443446,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-05-05 10:45:37,4,3,1,0,0.54126215,0.7172352,52 Erynn Schroeder,7,,,,52 Erynn Schroeder,,
2024-05-05 10:49:28,4,4,1,0,0.30582523,0.6633752,52 Erynn Schroeder,7,,,,20 Madison Lang,,
2024-05-05 10:51:57,5,1,1,0,0.08737864,0.35816875,47 Penny Wu,1,,,,47 Penny Wu,,
2024-05-05 10:53:01,5,2,1,1,0.30097088,0.22621185,22 Alex Ballinger,6,10 Chelsea Twohig,22 Alex Ballinger,72 Jacqueline Jarik,,,
2024-05-05 11:24:41,7,1,1,0,0.26941746,0.57001793,08 ManHua Zhu,4,,,,55 Mia Weben,,
2024-05-05 11:26:47,8,1,1,0,0.59951454,0.7324955,22 Alex Ballinger,8,,,,47 Penny Wu,,
2024-05-05 11:29:19,9,1,1,0,0.22815534,0.5502693,52 Erynn Schroeder,3,,,,,07 Sydney Stelzer,
2024-05-05 11:30:06,9,2,1,0,0.50242716,0.34111312,52 Erynn Schroeder,4,,,,21 Annie Shriver,,
2024-05-05 11:31:29,9,3,1,0,0.050970875,0.79802513,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-05-05 11:33:31,9,4,1,0,0.42718446,0.81597847,22 Alex Ballinger,2,,,,47 Penny Wu,,
2024-05-05 11:35:24,10,1,1,0,0.56796116,0.7190305,52 Erynn Schroeder,7,,,,,32 Mickela Heilicher,
2024-05-05 11:37:32,11,1,1,0,0.4563107,0.51705563,52 Erynn Schroeder,4,,,,27 Steph Bugasch,,
2024-05-05 11:39:44,12,1,1,1,0.19174758,0.7163375,22 Alex Ballinger,7,22 Alex Ballinger,72 Jacqueline Jarik,12 Sydney French,,,
2024-05-05 11:43:56,14,1,1,0,0.5048544,0.67953324,64 Rachel Hildedrand,5,,,,27 Steph Bugasch,,
2024-05-05 11:59:53,15,1,1,0,0.32524273,0.6768402,20 Madison Lang,5,,,,20 Madison Lang,,
2024-05-05 12:00:33,15,2,1,0,0.06067961,0.6938959,52 Erynn Schroeder,1,,,,52 Erynn Schroeder,,
2024-05-05 12:01:01,15,3,1,1,0.15291262,0.8258528,52 Erynn Schroeder,13,27 Steph Bugasch,52 Erynn Schroeder,07 Sydney Stelzer,,,
