Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/5/24 19:00,1,1,06 Risa Umeno,03 Mary Timmons,0,0,0,0,0,0,0,0,1,1,0,14.867816,-3.666125,-14.408729,0.049825177,0.82944834,0.34527972,0.86285937
5/5/24 19:00,1,1,03 Mary Timmons,02 Maketa Mattimore,0,0,0,0,0,0,0,0,1,0,0,11.72145,-4.6892304,-10.742602,0.34527972,0.86285937,0.56555945,0.9055944
5/5/24 19:00,1,1,02 Maketa Mattimore,06 Risa Umeno,0,0,0,0,0,0,0,1,0,0,0,18.79293,2.1314702,18.671665,0.56555945,0.9055944,0.1826923,0.8861694
5/5/24 19:01,1,1,06 Risa Umeno,23 Lili Hobday,0,0,0,0,0,0,0,0,0,0,0,16.072344,15.687605,-3.4956088,0.1826923,0.8861694,0.25437063,0.74320126
5/5/24 19:01,1,1,23 Lili Hobday,22 Emily Wycoff,0,0,0,0,0,0,0,0,0,0,1,11.478312,7.0764785,9.037427,0.25437063,0.74320126,0.069055945,0.67871016
5/5/24 19:05,1,1,22 Emily Wycoff,23 Lili Hobday,0,0,0,0,0,0,0,0,0,1,0,8.440616,0,-8.440616,0.069055945,0.67871016,0.24213287,0.67871016
5/5/24 19:05,1,1,23 Lili Hobday,06 Risa Umeno,0,0,0,0,0,0,0,0,0,0,0,8.002522,1.9609514,-7.7585454,0.24213287,0.67871016,0.40122378,0.66083914
5/5/24 19:05,1,1,06 Risa Umeno,22 Emily Wycoff,0,0,0,0,0,0,0,0,0,0,0,8.916369,0.93784606,-8.86691,0.40122378,0.66083914,0.58304197,0.65229213
5/5/24 19:06,1,1,22 Emily Wycoff,06 Risa Umeno,0,0,0,0,0,0,0,0,0,0,0,12.951474,2.0462108,12.788812,0.58304197,0.65229213,0.3208042,0.6336441
5/5/24 19:06,1,1,06 Risa Umeno,22 Emily Wycoff,0,0,0,0,0,0,0,0,1,0,0,11.214039,-5.2860456,-9.890015,0.3208042,0.6336441,0.5236014,0.6818182
