Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
77 Katrina Mcguire,16,"2,4,6,8,10,12,16,17,18,20,21,23,24,25,28,32",14,2,6,1,18,11,16,18,0,2,1,2,3,2,1,1,0,0,188.97,59.34,13.5,4.24,275.44,159.43,15.3,8.86
40 Claire Milton,15,"2,4,7,8,10,14,16,17,18,21,23,24,25,30,32",14,1,6,1,13,8,11,12,1,2,0,2,3,3,0,1,0,0,134.41,86.79,16.8,10.85,210.7,165.15,17.56,13.76
11 Tracey Lo,15,"2,4,5,7,8,10,14,16,17,18,21,24,25,28,32",14,1,5,1,20,12,19,13,7,2,1,1,2,2,0,1,0,0,279.58,135.48,16.45,7.97,167.03,66.59,12.85,5.12
18 Laura Gerencser,15,"2,4,6,8,10,12,16,17,18,21,23,24,25,30,32",14,1,7,1,27,10,27,22,5,1,2,0,1,1,0,0,0,0,336.06,161.05,13.44,6.44,239.43,12.87,10.88,0.59
04 Rachel Mast,15,"2,4,6,7,8,12,14,16,17,18,23,24,28,30,32",14,1,6,1,14,8,14,14,0,1,1,0,3,3,0,2,0,0,149.53,67.52,13.59,6.14,189.98,111.26,13.57,7.95
23 Lili Hobday,13,"1,3,5,9,11,15,19,20,22,26,27,29,31",3,10,1,1,10,6,10,7,3,1,0,0,0,0,0,0,0,0,129.13,36.58,12.91,3.66,84.92,40.75,12.13,5.82
02 Maketa Mattimore,12,"1,3,5,9,15,19,20,22,26,27,29,31",3,9,1,1,16,7,16,15,1,0,1,0,2,2,0,0,0,0,230.14,85.17,16.44,6.08,200.32,-3.84,13.35,-0.26
29 Emily Schloneger,13,"4,6,8,10,12,16,17,18,21,24,25,28,32",12,1,5,1,8,6,8,8,0,0,1,0,2,2,0,0,0,0,65.28,3.41,10.88,0.57,125.07,79.12,15.63,9.89
92 Charlotte Wilson,13,"2,6,7,8,12,14,16,18,23,24,28,30,32",12,1,6,1,18,9,18,11,7,0,1,0,1,1,0,0,0,0,206.28,91.9,12.31,5.41,122.51,-16.88,11.14,-1.53
34 Lauren Kitten,12,"4,6,7,10,12,14,17,21,23,25,28,30",12,0,6,0,18,10,17,12,6,0,1,1,2,2,0,0,0,0,194.95,106.31,13,7.09,145.5,43.99,12.13,3.67
21 Elizabeth Burkhardt,9,"3,9,11,13,15,19,22,27,31",0,9,0,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,26.78,-1.62,13.39,-0.81,17.46,-9.29,8.73,-4.65
14 Briana Burriss,9,"3,11,13,15,19,22,27,29,31",1,8,0,1,4,3,4,4,0,0,1,0,0,0,0,0,0,0,38.87,24.98,12.96,8.33,46.51,27.2,11.63,6.8
33 Jalyn Baumgartner,9,"3,9,13,15,19,22,26,27,31",1,8,1,1,4,2,3,4,0,0,0,1,1,0,1,0,0,0,41.53,2.56,13.84,0.85,90.58,59,22.64,14.75
59 Maple Adkins-Threat,8,"1,3,9,15,19,22,27,31",0,8,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.9,-1.88,9.9,-1.88,14.12,11.51,14.12,11.51
03 Mary Timmons,8,"1,3,5,11,13,20,26,29",3,5,1,0,4,4,3,4,0,0,0,1,1,1,0,0,0,0,19.83,-0.17,9.92,-0.09,50.95,28.14,12.74,7.03
22 Emily Wycoff,8,"1,5,9,11,13,20,26,29",3,5,1,0,7,3,7,6,1,0,0,0,0,0,0,0,0,0,87.73,17.48,12.53,2.5,70.02,24.55,11.67,4.09
42 Kelly Kerker,7,"1,5,11,13,20,26,29",3,4,1,0,2,1,2,2,0,0,0,0,1,0,1,0,0,0,26.7,5.03,13.35,2.52,25.07,14.49,12.53,7.25
06 Risa Umeno,7,"1,5,11,13,20,26,29",3,4,1,0,10,3,10,8,2,1,0,0,1,1,0,0,0,0,125.02,29.67,13.89,3.3,113.58,8.7,14.2,1.09
24 Abby Swensen,7,"2,7,10,14,21,25,30",7,0,5,0,3,3,2,3,0,1,0,1,0,0,0,0,0,0,30.43,27.54,15.22,13.77,48.34,47.92,16.11,15.97
10 Ariel Choi,6,"9,15,19,22,27,31",0,6,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,17.43,9.29,8.72,4.65,39.54,5.88,19.77,2.94
20 Shirley Saunders,7,"6,7,12,14,23,28,30",7,0,4,0,5,5,3,5,0,0,0,2,0,0,0,0,0,0,33.1,11.6,11.03,3.87,94.59,81.51,18.92,16.3
