Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
5/5/24 13:22,1,0,0,0,0,1,12,1,1,0,0,1,,,
5/5/24 19:07,2,0,1,1,1,4,23,3,2,1,2,1,92 Charlotte Wilson,77 Katrina Mcguire,40 Claire Milton
5/5/24 19:25,3,1,1,0,0,1,2,1,0,1,0,1,,,
5/5/24 19:31,4,1,2,1,0,1,3,1,1,0,0,0,,,
5/5/24 19:39,5,1,3,1,0,1,3,1,1,0,0,0,,,
5/6/24 22:11,6,1,4,1,1,1,12,0,0,0,0,0,29 Emily Schloneger,04 Rachel Mast,20 Shirley Saunders
5/6/24 22:21,7,1,4,2,0,1,1,1,1,0,0,0,,,
5/5/24 19:53,8,2,5,1,1,1,16,0,0,0,0,0,77 Katrina Mcguire,11 Tracey Lo,40 Claire Milton
5/5/24 20:02,9,3,5,0,0,1,9,1,1,0,0,1,,,
5/5/24 20:13,10,3,6,1,1,1,4,0,0,0,0,0,18 Laura Gerencser,40 Claire Milton,77 Katrina Mcguire
5/5/24 20:16,11,4,6,0,0,0,0,0,0,0,0,0,,,
5/5/24 20:21,12,4,7,1,1,1,19,0,0,0,0,0,18 Laura Gerencser,77 Katrina Mcguire,34 Lauren Kitten
5/5/24 20:28,13,5,7,0,0,0,0,0,0,0,0,0,,,
5/5/24 20:33,14,5,8,1,1,1,7,0,0,0,0,0,34 Lauren Kitten,11 Tracey Lo,24 Abby Swensen
5/5/24 20:37,15,6,8,0,0,0,0,0,0,0,0,0,,,
5/5/24 20:41,16,6,9,1,0,1,7,1,1,0,0,0,,,
5/5/24 20:45,17,6,10,1,0,1,1,1,1,0,0,0,,,
5/5/24 20:48,18,6,11,0,1,5,15,4,4,0,3,2,,18 Laura Gerencser,11 Tracey Lo
5/5/24 21:10,19,7,11,0,1,1,10,0,0,0,0,1,14 Briana Burriss,23 Lili Hobday,33 Jalyn Baumgartner
5/5/24 21:16,20,8,11,0,0,0,0,0,0,0,0,0,,,
5/5/24 21:19,21,8,12,1,1,1,4,0,0,0,0,0,11 Tracey Lo,40 Claire Milton,77 Katrina Mcguire
5/5/24 21:23,22,9,12,0,0,0,0,0,0,0,0,0,,,
5/5/24 21:25,23,9,13,1,0,2,8,2,2,0,0,1,,,
5/5/24 21:31,24,9,14,1,0,1,4,1,1,0,0,0,,,
5/5/24 21:36,25,9,15,1,0,2,6,2,2,0,0,1,,,
5/5/24 21:42,26,9,16,1,1,1,15,0,0,0,0,0,02 Maketa Mattimore,06 Risa Umeno,03 Mary Timmons
5/5/24 21:50,27,10,16,0,0,0,0,0,0,0,0,0,,,
5/5/24 21:53,28,10,17,1,0,1,3,1,1,0,0,0,,,
5/5/24 21:55,29,10,18,1,0,1,3,1,0,1,0,0,,,
5/5/24 22:00,30,10,19,1,1,1,5,0,0,0,0,0,04 Rachel Mast,24 Abby Swensen,20 Shirley Saunders
5/5/24 22:03,31,11,19,0,0,0,0,0,0,0,0,0,,,
5/5/24 22:06,32,11,20,1,0,1,4,1,1,0,0,0,,,
5/5/24 22:09,33,11,21,1,0,0,0,0,0,0,0,0,,,
