Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
5/5/24 19:00,1,1,0,0,0.049825177,0.82944834,06 Risa Umeno,12,,,,06 Risa Umeno,,
5/5/24 19:14,2,1,1,0,0.7054196,0.71756023,18 Laura Gerencser,6,,,,11 Tracey Lo,,
5/5/24 19:18,2,2,1,0,0.28234264,0.21406372,11 Tracey Lo,5,,,,,77 Katrina Mcguire,
5/5/24 19:20,2,3,1,0,0.21241258,0.74009323,92 Charlotte Wilson,3,,,,04 Rachel Mast,,
5/5/24 19:23,2,4,1,1,0.46765736,0.8162393,11 Tracey Lo,9,92 Charlotte Wilson,77 Katrina Mcguire,40 Claire Milton,,,
5/5/24 19:27,3,1,0,0,0.36625874,0.497669,23 Lili Hobday,2,,,,,33 Jalyn Baumgartner,
5/5/24 19:33,4,1,1,0,0.50786716,0.6095571,34 Lauren Kitten,3,,,,29 Emily Schloneger,,
5/5/24 19:41,5,1,1,0,0.7945804,0.6989122,23 Lili Hobday,3,,,,03 Mary Timmons,,
5/6/24 22:19,6,1,1,1,0.88024473,0.72766125,18 Laura Gerencser,12,29 Emily Schloneger,04 Rachel Mast,20 Shirley Saunders,,,
5/6/24 22:25,7,1,1,0,0.2229021,0.63752913,11 Tracey Lo,1,,,,11 Tracey Lo,,
5/5/24 19:57,8,1,1,1,0.9956294,0.44871795,11 Tracey Lo,16,77 Katrina Mcguire,11 Tracey Lo,40 Claire Milton,,,
5/5/24 20:08,9,1,0,0,0.7229021,0.73698527,21 Elizabeth Burkhardt,9,,,,02 Maketa Mattimore,,
5/5/24 20:14,10,1,1,1,0.7770979,0.7043512,11 Tracey Lo,4,18 Laura Gerencser,40 Claire Milton,77 Katrina Mcguire,,,
5/5/24 20:23,12,1,1,1,0.74737763,0.7152292,92 Charlotte Wilson,19,18 Laura Gerencser,77 Katrina Mcguire,34 Lauren Kitten,,,
5/5/24 20:35,14,1,1,1,0.6809441,0.7198912,11 Tracey Lo,7,34 Lauren Kitten,11 Tracey Lo,24 Abby Swensen,,,
5/5/24 20:42,16,1,1,0,0.76486015,0.7097902,92 Charlotte Wilson,7,,,,04 Rachel Mast,,
5/5/24 20:47,17,1,1,0,0.45017484,0.50388503,34 Lauren Kitten,1,,,,34 Lauren Kitten,,
5/5/24 20:56,18,1,0,0,0.96590906,0.84032637,06 Risa Umeno,7,,,,02 Maketa Mattimore,,
5/5/24 20:59,18,2,0,0,0.5253497,0.72610724,18 Laura Gerencser,5,,,,18 Laura Gerencser,,
5/5/24 21:07,18,3,0,0,0.5253497,0.530303,92 Charlotte Wilson,1,,,,92 Charlotte Wilson,,
5/5/24 21:08,18,4,0,0,0.15472028,0.29176378,40 Claire Milton,1,,,,40 Claire Milton,,
5/5/24 21:09,18,5,0,1,0.94667834,0.17210567,18 Laura Gerencser,1,,18 Laura Gerencser,11 Tracey Lo,,,
5/5/24 21:13,19,1,0,1,0.16346154,0.82867134,02 Maketa Mattimore,10,14 Briana Burriss,23 Lili Hobday,33 Jalyn Baumgartner,,,
5/5/24 21:21,21,1,1,1,0.51486015,0.69425017,34 Lauren Kitten,4,11 Tracey Lo,40 Claire Milton,77 Katrina Mcguire,,,
5/5/24 21:26,23,1,1,0,0.21765734,0.72610724,34 Lauren Kitten,4,,,,77 Katrina Mcguire,,
5/5/24 21:28,23,2,1,0,0.05506993,0.524087,18 Laura Gerencser,4,,,,04 Rachel Mast,,
5/5/24 21:34,24,1,1,0,0.7945804,0.6344211,92 Charlotte Wilson,4,,,,77 Katrina Mcguire,,
5/5/24 21:38,25,1,1,0,0.5236014,0.6064491,34 Lauren Kitten,1,,,,34 Lauren Kitten,,
5/5/24 21:40,25,2,1,0,0.7368881,0.83177936,11 Tracey Lo,5,,,,40 Claire Milton,,
5/5/24 21:45,26,1,1,1,0.77185315,0.7214452,22 Emily Wycoff,15,02 Maketa Mattimore,06 Risa Umeno,03 Mary Timmons,,,
5/5/24 21:54,28,1,1,0,0.8924825,0.7074592,92 Charlotte Wilson,3,,,,29 Emily Schloneger,,
5/5/24 21:58,29,1,1,0,0.38723776,0.69425017,23 Lili Hobday,3,,,,,42 Kelly Kerker,
5/5/24 22:01,30,1,1,1,0.52185315,0.483683,34 Lauren Kitten,5,04 Rachel Mast,24 Abby Swensen,20 Shirley Saunders,,,
5/5/24 22:07,32,1,1,0,0.5568182,0.7066822,92 Charlotte Wilson,4,,,,40 Claire Milton,,
