Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/9/2024 11:46,1,1,96 Nina Finley,20 Yina Cartagena,0,0,0,0,0,0,0,0,0,0,0,11.902954,5.7827682,10.403841,0.5659259,0.6778656,0.35259256,0.6251647
5/9/2024 11:46,1,1,20 Yina Cartagena,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,0,1,16.352468,11.63782,11.487574,0.35259256,0.6251647,0.11703701,0.51910406
5/9/2024 11:46,1,1,02 Jolene Zheng,20 Yina Cartagena,0,0,0,0,0,0,0,1,0,1,0,17.196676,-1.5902604,-17.122988,0.11703701,0.51910406,0.4681481,0.5335968
5/9/2024 11:46,1,1,20 Yina Cartagena,24 Jolie Krebs,0,0,0,0,0,0,0,1,0,0,1,22.78056,7.0116053,-21.67467,0.4681481,0.5335968,0.9125926,0.46969694
5/9/2024 11:46,1,1,24 Jolie Krebs,02 Jolene Zheng,0,0,0,0,0,0,0,0,0,1,1,13.261379,13.228077,-0.9392334,0.9125926,0.46969694,0.9318518,0.3491436
5/9/2024 11:46,1,1,02 Jolene Zheng,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,1,10.714136,10.625833,-1.3727303,0.9318518,0.3491436,0.96,0.25230566
5/9/2024 11:46,1,1,00 Genny De Jesus,20 Yina Cartagena,0,0,0,0,0,0,0,0,1,1,0,14.441388,-12.28838,7.586133,0.96,0.25230566,0.80444443,0.36429513
5/9/2024 11:46,1,1,20 Yina Cartagena,00 Genny De Jesus,0,0,0,0,0,0,0,1,0,0,0,15.689024,-3.3973744,15.316766,0.80444443,0.36429513,0.49037033,0.3952569
5/9/2024 11:46,1,1,00 Genny De Jesus,20 Yina Cartagena,0,0,0,0,0,0,0,0,1,0,0,9.638703,-2.4576774,-9.320108,0.49037033,0.3952569,0.6814815,0.4176548
5/9/2024 11:46,1,1,20 Yina Cartagena,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,15.072528,13.22808,-7.224888,0.6814815,0.4176548,0.8296296,0.29710144
5/9/2024 11:46,1,1,24 Jolie Krebs,00 Genny De Jesus,1,1,0,1,0,0,0,0,0,0,1,22.95605,22.40822,-4.9851727,0.8296296,0.29710144,0.9318518,0.092885375
5/9/2024 11:49,1,2,20 Yina Cartagena,96 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,17.330605,-2.6745307,17.122988,0.9274074,0.5,0.57629627,0.5243742
5/9/2024 11:49,1,2,96 Nina Finley,31 Eli Presberg,0,0,0,0,0,0,0,0,0,0,0,14.673873,11.565534,-9.031112,0.57629627,0.5243742,0.76148146,0.41897234
5/9/2024 11:49,1,2,31 Eli Presberg,20 Yina Cartagena,0,0,0,0,0,1,0,0,0,0,1,14.031721,11.710103,-7.7306333,0.76148146,0.41897234,0.92,0.31225297
5/9/2024 11:49,1,2,20 Yina Cartagena,00 Genny De Jesus,0,0,0,1,1,0,0,0,0,1,0,32.300232,28.118704,15.89476,0.92,0.31225297,0.594074,0.05599472
5/9/2024 11:52,2,1,96 Nina Finley,26 Mariabelen Restrepo,0,0,0,0,0,0,0,1,0,1,0,15.502046,-3.1805208,-15.172268,0.0740741,0.7602108,0.3851852,0.7891963
5/9/2024 11:52,2,1,26 Mariabelen Restrepo,97 Hannah Glick,1,1,0,0,0,0,0,0,0,0,0,23.454847,17.637438,-15.461262,0.3851852,0.7891963,0.7022222,0.6284585
5/9/2024 11:53,2,2,09 Cassandra Brown,18 Kylie Sterling,0,0,0,0,0,0,0,0,0,1,0,21.978592,9.396996,-19.868443,0.01481486,0.8392622,0.42222223,0.7536232
5/9/2024 11:53,2,2,18 Kylie Sterling,96 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,11.569292,9.469279,-6.6468983,0.42222223,0.7536232,0.5585185,0.66732544
