Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
96 Nina Finley,22,"1,2,3,5,8,9,11,13,14,15,17,18,19,20,21,22,25,26,27,29,31,32",12,10,10,5,37,13,36,24,13,1,1,1,2,2,0,0,0,0,536.02,208.9,15.77,6.14,369.71,21.45,15.4,0.89
00 Genny De Jesus,18,"1,3,4,7,9,11,13,15,16,17,19,20,22,23,25,27,28,31",12,6,11,6,31,17,24,31,0,1,2,7,1,1,0,1,0,0,320.04,-61.23,13.91,-2.66,592.43,430.53,19.11,13.89
31 Eli Presberg,18,"1,3,4,7,9,11,13,15,16,17,19,20,22,23,25,27,28,31",12,6,11,6,38,18,36,30,8,1,4,2,1,1,0,2,0,0,470.4,155.34,13.84,4.57,437.27,55.08,14.58,1.84
24 Jolie Krebs,17,"1,3,4,9,11,13,15,16,17,19,20,22,23,25,27,28,31",11,6,10,6,31,15,26,31,0,2,4,5,2,2,0,1,0,0,398.43,273.85,16.6,11.41,468.6,311.13,15.12,10.04
19 Estelle Ding,17,"2,4,9,10,11,13,14,16,17,18,20,21,23,25,28,29,32",5,12,4,8,7,7,6,7,0,1,1,1,0,0,0,0,0,0,84.772666,30.09,16.16,5.01,99.722666,52,15.99,7.43
20 Yina Cartagena,16,"1,3,5,8,9,11,12,13,15,19,20,22,24,27,30,31",11,5,10,2,46,14,46,38,8,6,4,0,1,1,0,1,0,0,793.68,409.77,17.64,9.11,461.83,50.17,12.15,1.32
09 Cassandra Brown,16,"2,4,5,8,10,12,14,16,18,21,23,24,26,28,29,30",1,15,0,7,18,9,18,12,6,3,1,0,1,1,0,0,0,0,332.07,200.08,19.53,11.77,227.88,1.59,18.99,0.13
18 Kylie Sterling,15,"2,5,8,10,12,14,15,17,18,21,24,26,29,30,32",2,13,1,5,7,3,7,7,0,0,0,0,2,2,0,0,0,0,64.25292,17.35,20.05,3.47,133.85,55.23,19.12,7.89
88 Nikki Hair,14,"2,5,10,12,14,17,18,21,24,25,26,29,30,32",1,13,0,6,5,4,4,5,0,0,0,1,0,0,0,1,0,0,63.23,37.52,15.81,9.38,144.68,68.02,28.94,13.6
97 Hannah Glick,13,"2,5,8,10,12,14,18,21,24,26,29,30,32",1,12,0,4,4,2,3,4,0,0,0,1,0,0,0,0,0,0,44.05,-29.85,14.68,-9.95,82.68,75.97,20.67,18.99
02 Jolene Zheng,13,"1,3,9,11,13,15,19,20,22,26,27,28,31",11,2,10,1,8,7,8,8,0,1,1,0,1,0,1,1,0,0,117.58,42.72,14.7,5.34,116.89,52.98,14.61,6.62
65 Anna Lieberman,9,"4,8,12,16,23,24,28,30,32",0,9,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26 Mariabelen Restrepo,9,"2,5,10,14,18,21,26,29,32",1,8,0,3,4,3,4,4,0,0,0,0,2,2,0,0,0,0,23.59,-0.36,11.79,-0.18,55.92,8.24,13.98,2.06
05 Emily Wang,8,"4,8,10,12,16,23,24,30",0,8,0,4,7,4,6,7,0,0,0,1,1,1,0,0,0,0,65.47,27.47,13.09,5.49,116.88,65.49,16.7,9.36
21 Montana Roberts,7,"1,3,19,22,25,27,31",6,1,5,1,6,5,6,6,0,3,0,0,1,1,0,1,0,0,107.8,56.96,21.56,11.39,113.07,84.93,18.84,14.16
