Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
5/9/2024 11:19,1,0,0,1,1,2,15,1,1,0,0,1,31 Eli Presberg,20 Yina Cartagena,00 Genny De Jesus
5/9/2024 11:49,2,1,0,0,0,3,13,3,3,0,0,3,,,
5/9/2024 11:56,3,1,1,1,1,2,7,1,0,1,0,1,24 Jolie Krebs,20 Yina Cartagena,31 Eli Presberg
5/9/2024 11:59,4,2,1,0,1,1,11,0,0,0,0,1,31 Eli Presberg,09 Cassandra Brown,05 Emily Wang
5/9/2024 12:02,5,3,1,0,1,1,13,0,0,0,1,0,09 Cassandra Brown,20 Yina Cartagena,96 Nina Finley
5/9/2024 12:06,6,4,1,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:06,7,4,2,1,1,1,1,0,0,0,0,0,,31 Eli Presberg,00 Genny De Jesus
5/9/2024 12:06,8,5,2,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:08,9,5,3,1,1,2,10,1,1,0,1,0,24 Jolie Krebs,19 Estelle Ding,24 Jolie Krebs
5/9/2024 12:15,10,6,3,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:16,11,6,4,1,1,1,9,0,0,0,0,0,00 Genny De Jesus,20 Yina Cartagena,24 Jolie Krebs
5/9/2024 12:18,12,7,4,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:20,13,7,5,1,1,1,12,0,0,0,0,0,31 Eli Presberg,20 Yina Cartagena,00 Genny De Jesus
5/9/2024 12:22,14,8,5,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:24,15,8,6,1,1,1,7,0,0,0,0,0,20 Yina Cartagena,02 Jolene Zheng,24 Jolie Krebs
5/9/2024 12:25,16,9,6,0,1,1,7,0,0,0,1,0,19 Estelle Ding,24 Jolie Krebs,00 Genny De Jesus
5/9/2024 12:27,17,10,6,0,0,1,11,0,0,0,0,1,,,
5/9/2024 12:31,18,11,6,1,0,5,30,5,5,0,1,3,,,
5/9/2024 12:40,19,11,7,1,0,1,4,1,1,0,0,0,,,
5/9/2024 12:42,20,11,8,1,1,1,10,0,0,0,0,0,24 Jolie Krebs,20 Yina Cartagena,31 Eli Presberg
5/9/2024 12:43,21,12,8,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:45,22,12,9,1,1,1,7,0,0,0,0,0,20 Yina Cartagena,21 Montana Roberts,00 Genny De Jesus
5/9/2024 12:46,23,13,9,0,1,2,16,2,2,1,2,1,,,
5/9/2024 12:51,24,14,9,0,1,1,9,0,0,0,1,0,20 Yina Cartagena,09 Cassandra Brown,97 Hannah Glick
5/9/2024 12:52,25,15,9,0,1,2,12,1,1,0,1,1,24 Jolie Krebs,00 Genny De Jesus,19 Estelle Ding
5/9/2024 12:56,26,16,9,0,0,0,0,0,0,0,0,0,,,
5/9/2024 12:58,27,16,10,1,1,1,6,0,0,0,0,0,20 Yina Cartagena,21 Montana Roberts,24 Jolie Krebs
5/9/2024 12:59,28,17,10,0,1,1,5,0,0,0,1,0,31 Eli Presberg,24 Jolie Krebs,00 Genny De Jesus
5/9/2024 13:00,29,18,10,0,1,1,2,0,0,0,0,1,96 Nina Finley,09 Cassandra Brown,88 Nikki Hair
5/9/2024 13:02,30,19,10,0,0,0,0,0,0,0,0,0,,,
5/9/2024 13:03,31,19,11,1,1,1,9,0,0,0,0,0,02 Jolene Zheng,21 Montana Roberts,00 Genny De Jesus
5/9/2024 13:05,32,20,11,0,0,1,3,0,0,0,0,1,,,
5/9/2024 13:07,33,21,11,0,0,0,0,0,0,0,0,0,,,
