Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
5/9/2024 11:46,1,1,1,0,0.5659259,0.6778656,96 Nina Finley,11,,,,24 Jolie Krebs,,
5/9/2024 11:48,1,2,1,1,0.9274074,0.5,20 Yina Cartagena,4,31 Eli Presberg,20 Yina Cartagena,00 Genny De Jesus,,,
5/9/2024 11:52,2,1,0,0,0.0740741,0.7602108,96 Nina Finley,2,,,,26 Mariabelen Restrepo,,
5/9/2024 11:53,2,2,0,0,0.01481486,0.8392622,09 Cassandra Brown,4,,,,18 Kylie Sterling,,
5/9/2024 11:54,2,3,0,0,0.845926,0.5731225,96 Nina Finley,7,,,,18 Kylie Sterling,,
5/9/2024 11:57,3,1,1,0,0.7837037,0.6936759,20 Yina Cartagena,4,,,,,02 Jolene Zheng,
5/9/2024 11:58,3,2,1,1,0.53333336,0.68774706,20 Yina Cartagena,3,24 Jolie Krebs,20 Yina Cartagena,31 Eli Presberg,,,
5/9/2024 12:01,4,1,0,1,0.9614815,0.5843215,31 Eli Presberg,11,31 Eli Presberg,09 Cassandra Brown,05 Emily Wang,,,
5/9/2024 12:04,5,1,0,1,0.7022222,0.4828722,09 Cassandra Brown,13,09 Cassandra Brown,20 Yina Cartagena,96 Nina Finley,,,
5/9/2024 12:06,7,1,1,1,0.677037,0.16666667,31 Eli Presberg,1,,31 Eli Presberg,00 Genny De Jesus,,,
5/9/2024 12:13,9,1,1,0,0.86518514,0.5059289,20 Yina Cartagena,6,,,,20 Yina Cartagena,,
5/9/2024 12:14,9,2,1,1,0.25667655,0.45685005,20 Yina Cartagena,4,24 Jolie Krebs,19 Estelle Ding,24 Jolie Krebs,,,
5/9/2024 12:17,11,1,1,1,0.8977778,0.59881425,31 Eli Presberg,9,00 Genny De Jesus,20 Yina Cartagena,24 Jolie Krebs,,,
5/9/2024 12:21,13,1,1,1,0.035555556,0.5368906,20 Yina Cartagena,12,31 Eli Presberg,20 Yina Cartagena,00 Genny De Jesus,,,
5/9/2024 12:24,15,1,1,1,0.87407404,0.5349143,96 Nina Finley,7,20 Yina Cartagena,02 Jolene Zheng,24 Jolie Krebs,,,
5/9/2024 12:26,16,1,0,1,0.58666664,0.78722006,09 Cassandra Brown,7,19 Estelle Ding,24 Jolie Krebs,00 Genny De Jesus,,,
5/9/2024 12:28,17,1,0,1,0.47259256,0.41304347,31 Eli Presberg,11,00 Genny De Jesus,96 Nina Finley,24 Jolie Krebs,,,
5/9/2024 12:32,18,1,1,0,0.6711111,0.7312253,96 Nina Finley,8,,,,21 Montana Roberts,,
5/9/2024 12:34,18,2,1,0,0.41481486,0.8353096,96 Nina Finley,9,,,,00 Genny De Jesus,,
5/9/2024 12:36,18,3,1,0,0.07703708,0.756917,96 Nina Finley,10,,,,26 Mariabelen Restrepo,,
5/9/2024 12:38,18,4,1,0,0.15555556,0.870224,96 Nina Finley,1,,,,96 Nina Finley,,
5/9/2024 12:39,18,5,1,0,0.8933333,0.8550725,09 Cassandra Brown,2,,,,96 Nina Finley,,
5/9/2024 12:41,19,1,1,0,0.54962957,0.67391306,96 Nina Finley,4,,,,24 Jolie Krebs,,
5/9/2024 12:43,20,1,1,1,0.69629633,0.61594206,31 Eli Presberg,10,24 Jolie Krebs,20 Yina Cartagena,31 Eli Presberg,,,
5/9/2024 12:45,22,1,1,1,0.7362963,0.6152833,31 Eli Presberg,7,20 Yina Cartagena,21 Montana Roberts,00 Genny De Jesus,,,
5/9/2024 12:48,23,1,0,0,0.050370347,0.8438735,09 Cassandra Brown,8,,,,05 Emily Wang,,
5/9/2024 12:49,23,2,0,0,0.6622222,0.657444,31 Eli Presberg,8,,,,09 Cassandra Brown,65 Anna Lieberman,
5/9/2024 12:52,24,1,0,1,0.1540741,0.5790514,20 Yina Cartagena,9,20 Yina Cartagena,09 Cassandra Brown,97 Hannah Glick,,,
5/9/2024 12:54,25,1,0,0,0.06518514,0.82938075,96 Nina Finley,6,,,,31 Eli Presberg,,
5/9/2024 12:55,25,2,0,1,0.8103703,0.8458498,31 Eli Presberg,6,24 Jolie Krebs,00 Genny De Jesus,19 Estelle Ding,,,
5/9/2024 12:58,27,1,1,1,0.5703704,0.6541502,20 Yina Cartagena,6,20 Yina Cartagena,21 Montana Roberts,24 Jolie Krebs,,,
5/9/2024 13:00,28,1,0,1,0.9140741,0.5355731,09 Cassandra Brown,5,31 Eli Presberg,24 Jolie Krebs,00 Genny De Jesus,,,
5/9/2024 13:01,29,1,0,1,0.24,0.4571805,96 Nina Finley,2,96 Nina Finley,09 Cassandra Brown,88 Nikki Hair,,,
5/9/2024 13:04,31,1,1,1,0.5511111,0.6469038,96 Nina Finley,9,02 Jolene Zheng,21 Montana Roberts,00 Genny De Jesus,,,
5/9/2024 13:06,32,1,0,0,0.9481482,0.8339921,96 Nina Finley,3,,,,,,
