Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-12 09:56:39,2,1,09 Summer Wilson,02 Elisa Bjork,0,0,0,0,0,0,0,1,0,0,0,18.459417,7.653869,16.797867,0.8236111,0.74012345,0.47916666,0.67037034
2024-05-12 09:56:48,2,1,02 Elisa Bjork,69 Jaime Estes,0,0,0,0,0,0,0,0,0,0,0,9.377822,7.6538625,-5.418665,0.47916666,0.67037034,0.59027773,0.6006173
2024-05-12 09:56:53,2,1,69 Jaime Estes,09 Summer Wilson,0,0,0,0,0,0,0,0,1,0,0,13.407951,-8.669866,-10.227736,0.59027773,0.6006173,0.8,0.6796296
2024-05-12 09:57:06,2,1,09 Summer Wilson,10 Gaby Cuina,0,0,0,0,0,0,0,0,0,0,0,19.880863,19.371737,4.470402,0.8,0.6796296,0.7083333,0.5030864
2024-05-12 09:57:11,2,1,10 Gaby Cuina,00 Maggie Rowell,0,0,0,0,0,0,0,0,0,0,0,9.952189,9.143997,-3.9285336,0.7083333,0.5030864,0.7888889,0.41975307
2024-05-12 09:57:23,2,1,00 Maggie Rowell,02 Elisa Bjork,0,0,0,0,0,0,0,1,0,0,0,15.326305,-2.1674678,15.172268,0.7888889,0.41975307,0.47777775,0.43950617
2024-05-12 09:57:27,2,1,02 Elisa Bjork,09 Summer Wilson,0,0,0,0,0,0,0,1,0,0,0,15.852783,3.8608003,15.375466,0.47777775,0.43950617,0.1625,0.40432099
2024-05-12 09:57:32,2,1,09 Summer Wilson,22 Sydney Loughran,0,0,0,0,0,0,0,0,0,0,1,8.168537,8.127998,0.8128,0.1625,0.40432099,0.14583333,0.33024693
2024-05-12 09:57:43,2,1,22 Sydney Loughran,02 Elisa Bjork,0,0,0,0,0,0,0,0,1,1,0,15.561868,-5.4863977,-14.562664,0.14583333,0.33024693,0.4444444,0.3802469
2024-05-12 09:57:47,2,1,02 Elisa Bjork,22 Sydney Loughran,0,0,0,0,0,0,0,0,0,0,0,14.614241,5.9605336,13.343465,0.4444444,0.3802469,0.17083333,0.32592592
