Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
26 Amy Broome,11,"3,6,9,11,15,17,18,20,24,27,28,30",7,4,2,0,20,9,19,12,8,0,0,1,1,1,0,1,0,0,267.75,70.10,15.75,4.12,180.22,20.18,15.02,1.68
31 Nikki Gilbert,11,"3,6,9,11,15,17,18,20,23,25,29,30",9,2,4,0,15,10,14,15,0,2,1,1,2,1,1,0,0,0,181.93,52.29,13.99,4.02,219.95,97.87,14.66,6.52
02 Elisa Bjork,10,"2,8,12,13,16,19,21,23,25,29,30",10,0,2,0,36,14,36,33,3,0,0,0,3,3,0,0,0,0,469.87,188.16,14.24,5.70,465.17,96.99,14.10,2.94
15 Elise Franke,10,"1,4,5,7,10,14,20,22,23,25,30",4,6,2,2,7,5,7,7,0,0,1,0,0,0,0,0,0,0,77.74,12.67,11.11,1.81,107.17,59.33,15.31,8.48
71 Wren Vogel,10,"3,6,9,11,15,17,18,24,27,29,30",6,4,2,0,5,3,5,5,0,0,1,0,4,1,3,1,0,0,49.87,-6.98,12.47,-1.74,78.83,63.47,15.77,12.69
12 Annie Ortiz,11,"1,4,5,7,10,14,20,22,23,25,27",4,7,2,2,12,8,11,7,5,0,0,1,0,0,0,1,0,0,146.14,-5.22,13.29,-0.47,129.73,47.48,18.53,6.78
16 Kinsey Neas,10,"4,5,7,10,14,20,22,24,27,28",3,7,0,2,6,4,6,6,0,0,0,0,1,1,0,0,0,0,68.32,16.46,13.66,3.29,104.62,91.71,17.44,15.29
10 Gaby Cuina,10,"2,8,12,13,16,19,21,24,27,28",8,2,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,58.07,52.76,14.52,13.19,67.77,54.66,16.94,13.67
03 Madi Cannon,10,"3,6,9,11,15,17,18,20,23,25",8,2,4,0,23,11,22,23,0,2,0,1,3,2,1,0,0,0,275.12,90.09,13.76,4.50,372.18,201.51,16.18,8.76
09 Summer Wilson,10,"2,8,12,13,16,19,21,24,26,29",8,2,0,1,27,11,27,20,7,0,0,0,2,2,0,0,0,0,358.92,233.75,14.95,9.74,266.39,-22.08,13.32,-1.10
73 Clara Stewart,10,"3,6,9,11,15,17,18,20,23,25",8,2,4,0,29,12,29,25,4,0,0,0,2,2,0,1,0,0,420.29,161.00,16.17,6.19,329.90,34.14,13.20,1.37
88 Maddy Easton,10,"3,6,9,11,15,17,18,24,27,29",6,4,2,0,5,5,5,5,0,0,0,0,1,1,0,0,0,0,64.71,40.57,16.18,10.14,92.51,71.59,18.50,14.32
07 Shiru Liu,9,"1,4,5,7,10,14,22,26,29",2,7,0,3,23,8,23,16,7,1,0,0,3,3,0,1,0,0,385.05,207.13,19.25,10.36,166.71,-26.89,10.42,-1.68
22 Sydney Loughran,8,"2,8,12,13,16,19,21,26,30",7,1,0,1,11,6,10,11,0,0,0,1,3,3,0,0,0,0,97.10,-34.07,16.18,-5.68,168.89,117.52,15.35,10.68
08 Mindy Radike,9,"4,5,7,10,14,22,24,27,28",2,7,0,2,13,7,13,11,2,0,2,0,3,3,0,0,0,0,165.34,82.36,16.53,8.24,134.42,-66.58,12.22,-6.05
81 Mackenzie Bailey,9,"3,6,9,11,15,17,18,26,28",6,3,2,1,8,6,8,8,0,1,0,0,0,0,0,0,0,0,121.41,54.46,15.18,6.81,112.84,59.94,14.11,7.49
19 Vanessa Bacorn,9,"1,4,5,7,10,14,22,26,29",2,7,0,3,7,5,6,7,0,1,0,1,1,1,0,1,0,0,55.11,8.81,11.02,1.76,200.29,175.56,28.61,25.08
42 Meg Duffy,9,"2,8,12,13,16,19,21,25,28",9,0,1,0,5,5,5,2,3,0,0,0,4,2,2,0,0,0,54.62,26.28,18.21,8.76,34.87,6.98,17.43,3.49
69 Jaime Estes,8,"2,8,12,13,16,19,21,23,30",8,0,1,0,8,5,7,8,0,0,1,1,2,0,2,0,0,0,88.90,-14.29,12.70,-2.04,120.82,61.57,15.10,7.70
27 Jocelyn Jessop,9,"1,4,5,7,10,14,22,26,28",2,7,0,3,7,6,7,7,0,0,1,0,2,1,1,0,0,0,74.09,26.82,12.35,4.47,85.83,32.24,12.26,4.61
00 Maggie Rowell,8,"2,8,12,13,16,19,21,26",7,1,0,1,10,8,10,10,0,0,0,0,1,1,0,1,0,0,115.05,14.36,12.78,1.60,156.28,100.31,15.63,10.03
