Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-12 09:49:52,1,0,0,0,0,0,0,0,0,0,0,0,,,
2024-05-12 09:54:31,2,0,1,1,0,1,13,1,1,1,0,0,,,
2024-05-12 09:58:41,3,0,2,1,1,1,9,0,0,0,0,0,71 Wren Vogel,31 Nikki Gilbert,26 Amy Broome
2024-05-12 10:04:15,4,1,2,0,0,2,7,2,2,1,0,2,,,
2024-05-12 10:10:36,5,1,3,0,0,5,28,5,5,2,2,2,,,
2024-05-12 10:28:36,6,1,4,1,1,2,17,1,1,0,0,1,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert
2024-05-12 10:44:00,7,2,4,0,1,1,12,0,0,0,0,1,08 Mindy Radike,19 Vanessa Bacorn,12 Annie Ortiz
2024-05-12 10:47:21,8,3,4,1,0,1,13,1,1,0,1,0,,,
2024-05-12 10:56:51,9,3,5,1,0,1,7,1,1,0,0,0,,,
2024-05-12 10:59:15,10,3,6,0,0,1,6,1,1,0,0,0,,,
2024-05-12 11:04:43,11,3,7,1,0,2,17,2,2,1,1,0,,,
2024-05-12 11:10:43,12,3,8,1,0,1,1,1,1,0,0,0,,,
2024-05-12 11:13:21,13,3,9,1,0,1,3,1,0,1,0,0,,,
2024-05-12 11:15:22,14,3,10,0,1,1,5,0,0,0,1,0,08 Mindy Radike,07 Shiru Liu,19 Vanessa Bacorn
2024-05-12 11:23:23,15,4,10,0,0,1,1,1,0,1,0,1,,,
2024-05-12 11:26:08,16,4,11,1,0,1,8,1,1,0,0,0,,,
2024-05-12 11:28:45,17,4,12,1,0,1,5,1,1,1,0,0,,,
2024-05-12 11:31:33,18,4,13,0,0,2,16,2,2,0,0,1,,,
2024-05-12 11:41:35,19,4,14,1,0,1,11,1,0,1,0,0,,,
2024-05-12 11:43:29,20,4,15,1,0,1,7,1,0,1,0,0,,,
2024-05-12 11:46:04,21,4,16,1,0,1,8,1,1,0,0,0,,,
2024-05-12 11:49:24,22,4,17,1,0,1,9,1,1,0,0,0,,,
2024-05-12 11:51:35,23,4,18,1,1,1,17,0,0,0,0,0,69 Jaime Estes,03 Madi Cannon,69 Jaime Estes
2024-05-12 12:02:22,24,5,18,0,0,2,8,2,2,0,1,1,,,
2024-05-12 12:09:35,25,5,19,1,1,1,5,0,0,0,0,0,15 Elise Franke,31 Nikki Gilbert,03 Madi Cannon
2024-05-12 12:11:16,26,6,19,0,1,1,8,0,0,0,0,1,27 Jocelyn Jessop,81 Mackenzie Bailey,22 Sydney Loughran
2024-05-12 12:13:53,27,7,19,0,0,0,0,0,0,0,0,0,,,
2024-05-12 12:16:42,28,7,20,1,0,2,18,2,2,0,0,1,,,
2024-05-12 12:25:14,29,7,21,1,0,2,8,2,2,0,1,0,,,
2024-05-12 12:30:54,30,7,22,1,0,1,7,1,1,0,0,0,,,
