Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-12 09:56:37,2,1,1,0,0.8236111,0.74012345,09 Summer Wilson,13,,,,22 Sydney Loughran,69 Jaime Estes,
2024-05-12 10:01:59,3,1,1,1,0.7722223,0.66851854,26 Amy Broome,9,71 Wren Vogel,31 Nikki Gilbert,26 Amy Broome,,,
2024-05-12 10:06:35,4,1,0,0,0.8444444,0.837037,07 Shiru Liu,3,,,,07 Shiru Liu,27 Jocelyn Jessop,
2024-05-12 10:07:40,4,2,0,0,0.025,0.6919753,07 Shiru Liu,4,,,,07 Shiru Liu,,
2024-05-12 10:13:49,5,1,0,0,0.36666667,0.8265432,09 Summer Wilson,7,,,,02 Elisa Bjork,69 Jaime Estes,
2024-05-12 10:16:18,5,2,0,0,0.9319445,0.84876543,02 Elisa Bjork,2,,,,42 Meg Duffy,,
2024-05-12 10:17:21,5,3,0,0,0.5208333,0.68333334,09 Summer Wilson,7,,,,03 Madi Cannon,,
2024-05-12 10:20:24,5,4,0,0,0.55972224,0.8358025,73 Clara Stewart,6,,,,73 Clara Stewart,71 Wren Vogel,
2024-05-12 10:25:08,5,5,0,0,0.62222224,0.45987657,07 Shiru Liu,6,,,,08 Mindy Radike,,
2024-05-12 10:32:53,6,1,1,0,0.6125,0.82098764,42 Meg Duffy,6,,,,22 Sydney Loughran,,
2024-05-12 10:42:09,6,2,1,1,0.75416666,0.6932099,26 Amy Broome,11,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert,,,
2024-05-12 10:45:57,7,1,0,1,0.08611107,0.67530864,12 Annie Ortiz,12,08 Mindy Radike,19 Vanessa Bacorn,12 Annie Ortiz,,,
2024-05-12 10:50:03,8,1,1,0,0.7402778,0.8617284,26 Amy Broome,13,,,,00 Maggie Rowell,,
2024-05-12 10:58:14,9,1,1,0,0.64027774,0.8518518,26 Amy Broome,7,,,,26 Amy Broome,,
2024-05-12 11:00:41,10,1,0,0,0.6625,0.7882716,09 Summer Wilson,6,,,,02 Elisa Bjork,,
2024-05-12 11:05:24,11,1,1,0,0.7819444,0.73888886,26 Amy Broome,13,,,,71 Wren Vogel,03 Madi Cannon,
2024-05-12 11:09:53,11,2,1,0,0.26527774,0.70987654,73 Clara Stewart,4,,,,73 Clara Stewart,,
2024-05-12 11:12:02,12,1,1,0,0.51944447,0.8728395,42 Meg Duffy,1,,,,42 Meg Duffy,,
2024-05-12 11:13:56,13,1,1,0,0.4847222,0.79012346,09 Summer Wilson,3,,,,,42 Meg Duffy,
2024-05-12 11:20:11,14,1,0,1,0.27361107,0.51358026,12 Annie Ortiz,5,08 Mindy Radike,07 Shiru Liu,19 Vanessa Bacorn,,,
2024-05-12 11:25:32,15,1,0,0,0.19444446,0.71728396,73 Clara Stewart,1,,,,,71 Wren Vogel,
2024-05-12 11:27:17,16,1,1,0,0.7847222,0.7648148,09 Summer Wilson,8,,,,09 Summer Wilson,,
2024-05-12 11:29:49,17,1,1,0,0.1027778,0.69382715,26 Amy Broome,5,,,,03 Madi Cannon,71 Wren Vogel,
2024-05-12 11:32:56,18,1,0,0,0.29583332,0.66728395,07 Shiru Liu,8,,,,08 Mindy Radike,,
2024-05-12 11:36:10,18,2,0,0,0.6847222,0.64876544,08 Mindy Radike,8,,,,07 Shiru Liu,,
2024-05-12 11:42:02,19,1,1,0,0.13472226,0.8728395,42 Meg Duffy,11,,,,,42 Meg Duffy,
2024-05-12 11:44:27,20,1,1,0,0.19583334,0.7796296,26 Amy Broome,7,,,,,31 Nikki Gilbert,
2024-05-12 11:47:14,21,1,1,0,0.76388896,0.72160494,02 Elisa Bjork,8,,,,22 Sydney Loughran,,
2024-05-12 11:50:24,22,1,1,0,0.78333336,0.75987655,12 Annie Ortiz,9,,,,27 Jocelyn Jessop,,
2024-05-12 12:00:03,23,1,1,1,0.7902777,0.81419754,12 Annie Ortiz,17,69 Jaime Estes,03 Madi Cannon,69 Jaime Estes,,,
2024-05-12 12:05:22,24,1,0,0,0.4930556,0.8308642,08 Mindy Radike,4,,,,09 Summer Wilson,,
2024-05-12 12:06:59,24,2,0,0,0.2652778,0.7197531,26 Amy Broome,4,,,,16 Kinsey Neas,,
2024-05-12 12:10:38,25,1,1,1,0.83611107,0.77716047,12 Annie Ortiz,5,15 Elise Franke,31 Nikki Gilbert,03 Madi Cannon,,,
2024-05-12 12:12:59,26,1,0,1,0.23472227,0.5265432,07 Shiru Liu,8,27 Jocelyn Jessop,81 Mackenzie Bailey,22 Sydney Loughran,,,
2024-05-12 12:18:36,28,1,1,0,0.68611115,0.79814816,09 Summer Wilson,9,,,,31 Nikki Gilbert,,
2024-05-12 12:20:23,28,2,1,0,0.63888896,0.6925926,02 Elisa Bjork,9,,,,08 Mindy Radike,,
2024-05-12 12:26:49,29,1,1,0,0.34861106,0.76666665,07 Shiru Liu,6,,,,88 Maddy Easton,,
2024-05-12 12:29:29,29,2,1,0,0.2625,0.7796296,07 Shiru Liu,2,,,,19 Vanessa Bacorn,,
2024-05-12 12:34:12,30,1,1,0,0.51111114,0.6796296,73 Clara Stewart,7,,,,02 Elisa Bjork,,
