Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-04 18:28:09,5,21 Linda Morse,1,0,0,0,0.8254593,0.93203884
2024-05-04 18:30:34,5,00 Emilie Mohler,0,0,0,0,0.7230971,0.5436893
2024-05-04 18:33:23,5,15 Layne Dodge,1,0,0,0,0.022309711,0.87718445
2024-05-04 18:49:57,6,33 Jana Graham,0,0,0,0,0.6784777,0.8101942
2024-05-04 19:37:18,12,08 Emma Soiles,0,0,0,0,0.88845146,0.48640776
2024-05-04 19:50:06,16,22 Liz Hart,0,0,0,0,0.29002625,0.29417476
2024-05-04 19:57:02,18,00 Emilie Mohler,0,0,0,0,0.30052492,0.4538835
2024-05-04 19:59:25,19,18 Sumi Onoe,0,0,0,0,0.2296588,0.71990293
2024-05-04 20:00:59,19,24 Casey Gorman,1,0,0,0,0.6587927,0.85631067
2024-05-04 20:08:06,20,21 Linda Morse,0,0,0,0,0.3727034,0.62572813
2024-05-04 20:09:31,21,00 Emilie Mohler,1,0,0,0,0.7992126,0.86650485
2024-05-04 20:15:01,23,05 Lindsay McKenna,0,0,0,0,0.18897638,0.28592232
2024-05-04 20:20:07,25,01 Emily Shields,0,0,0,0,0.20734908,0.6393204
2024-05-04 20:20:44,25,23 Natalie Bova,0,0,0,0,0.16535433,0.43640777
2024-05-04 20:26:42,29,08 Emma Soiles,0,0,0,0,0.060367454,0.7228155
2024-05-04 20:30:16,29,11 Sara Liang,0,0,0,0,0.25721785,0.57378644
2024-05-04 20:38:03,31,11 Sara Liang,0,0,0,0,0.7296588,0.49951455
