Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Sara Liang,16,"2,3,6,9,10,12,17,18,20,22,23,24,26,29,30,31",1,15,1,12,27,13,27,16,11,3,1,0,0,0,0,2,0,0,345.68,234.56,12.80,8.69,141.22,-15.53,8.83,-0.97
04 Raha Mozaffari,15,"2,3,7,9,10,13,14,17,18,21,22,24,26,29,30",1,14,1,10,23,12,23,18,5,2,3,0,1,1,0,0,0,0,287.71,152.52,14.39,7.63,156.70,33.54,8.71,1.86
05 Lindsay McKenna,15,"2,3,7,9,10,13,14,18,20,21,22,23,26,30,31",1,14,1,11,11,6,8,11,0,0,2,3,0,0,0,1,0,0,60.62,-3.20,7.58,-0.40,188.80,154.51,17.16,14.05
21 Linda Morse,15,"2,3,6,7,10,12,14,18,20,22,24,26,29,30,31",0,15,0,11,14,6,13,14,0,2,0,1,2,2,0,2,0,0,130.18,66.80,11.83,6.07,219.69,164.71,15.69,11.76
08 Emma Soiles,13,"2,7,10,12,13,17,20,21,23,24,26,29,31",0,13,0,10,8,6,8,6,2,4,0,0,2,1,1,2,0,0,138.22,129.56,19.75,18.51,120.17,105.00,20.03,17.50
33 Jana Graham,12,"3,6,7,9,13,14,18,20,22,23,29,31",1,11,1,9,4,2,2,4,0,0,1,2,0,0,0,1,0,0,14.52,3.25,7.26,1.63,52.04,40.00,13.01,10.00
15 Layne Dodge,12,"2,3,7,9,12,13,14,18,21,23,26,30",1,11,1,8,4,3,3,3,1,0,1,1,0,0,0,1,0,0,32.77,0.78,10.92,0.26,31.57,23.74,10.52,7.91
18 Sumi Onoe,12,"2,6,9,13,14,17,21,24,26,29,30,31",1,11,1,9,11,7,11,10,1,0,2,0,1,0,1,1,0,0,101.59,39.03,9.24,3.55,114.22,70.68,11.42,7.07
23 Natalie Bova,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,12,6,11,11,1,3,0,1,1,1,0,1,0,0,155.02,79.32,15.50,7.93,122.84,78.54,11.17,7.14
01 Emily Shields,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,15,9,12,14,1,2,0,3,1,1,0,1,0,0,89.45,53.01,8.13,4.82,195.50,138.45,13.96,9.89
10 Andrea DeSabato,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,21,10,21,16,5,1,2,0,0,0,0,0,0,0,189.82,101.17,9.99,5.32,153.78,16.12,9.61,1.01
09 Sarah Hirannet,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,9,6,7,9,0,0,1,2,2,1,1,0,0,0,53.12,43.06,8.85,7.18,125.19,88.30,13.91,9.81
00 Emilie Mohler,11,"6,10,12,13,14,17,18,20,21,23,24",0,11,0,10,13,8,9,10,3,2,1,4,0,0,0,3,0,0,145.90,111.21,16.21,12.36,126.69,83.93,12.67,8.39
22 Liz Hart,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,13,7,13,13,0,0,1,0,2,1,1,1,0,0,99.16,56.46,9.01,5.13,140.96,75.24,10.84,5.79
03 Rachel Alfano,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,12,8,10,12,0,0,1,2,2,1,1,0,0,0,86.27,46.60,9.59,5.18,151.64,118.45,12.64,9.87
20 Danielle Walsh,11,"1,4,5,8,11,15,16,19,25,27,28",8,3,5,3,24,11,24,15,9,2,3,0,2,2,0,0,0,0,324.01,187.52,14.73,8.52,135.93,55.00,9.06,3.67
24 Casey Gorman,10,"3,6,7,9,12,17,21,22,24,30",1,9,1,6,2,2,2,2,0,1,0,0,1,0,1,1,0,0,32.33,32.04,16.17,16.02,20.84,17.48,10.42,8.74
13 Kat Harper,9,"6,10,12,17,20,22,23,29,31",0,9,0,9,11,5,8,11,0,0,0,3,1,1,0,0,0,0,73.17,44.37,10.45,6.34,161.76,129.90,14.71,11.81
