Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-04 18:04:23,1,0,0,1,1,1,2,0,0,0,0,0,10 Andrea DeSabato,20 Danielle Walsh,01 Emily Shields
2024-05-04 18:17:18,2,1,0,0,1,1,8,0,0,0,0,1,05 Lindsay McKenna,04 Raha Mozaffari,05 Lindsay McKenna
2024-05-04 18:20:26,3,2,0,0,0,0,0,0,0,0,0,0,,,
2024-05-04 18:21:48,4,2,1,1,1,3,23,2,1,1,0,2,03 Rachel Alfano,23 Natalie Bova,01 Emily Shields
2024-05-04 18:26:51,5,3,1,0,1,5,28,4,3,2,3,2,20 Danielle Walsh,23 Natalie Bova,03 Rachel Alfano
2024-05-04 18:46:41,6,4,1,0,1,1,1,0,0,0,1,0,,,
2024-05-04 18:50:33,7,5,1,0,0,0,0,0,0,0,0,0,,,
2024-05-04 19:18:08,8,5,2,1,0,1,5,1,1,0,0,0,,,
2024-05-04 19:20:24,9,5,3,1,1,2,29,1,1,0,0,1,18 Sumi Onoe,11 Sara Liang,15 Layne Dodge
2024-05-04 19:28:37,10,6,3,0,1,1,1,0,0,0,0,1,,00 Emilie Mohler,05 Lindsay McKenna
2024-05-04 19:30:21,11,7,3,0,1,1,8,0,0,0,0,1,22 Liz Hart,23 Natalie Bova,03 Rachel Alfano
2024-05-04 19:34:16,12,8,3,0,1,2,4,1,1,0,1,1,,08 Emma Soiles,13 Kat Harper
2024-05-04 19:37:30,13,9,3,0,1,1,2,0,0,0,0,1,04 Raha Mozaffari,08 Emma Soiles,00 Emilie Mohler
2024-05-04 19:39:30,14,10,3,0,1,1,5,0,0,0,0,1,05 Lindsay McKenna,04 Raha Mozaffari,00 Emilie Mohler
2024-05-04 19:41:54,15,11,3,1,0,1,2,1,0,1,0,0,,,
2024-05-04 19:48:28,16,11,4,1,1,2,8,1,1,0,1,0,20 Danielle Walsh,01 Emily Shields,09 Sarah Hirannet
2024-05-04 19:50:34,17,12,4,0,1,1,4,0,0,0,0,1,00 Emilie Mohler,08 Emma Soiles,13 Kat Harper
2024-05-04 19:55:24,18,13,4,0,1,1,7,0,0,0,1,0,04 Raha Mozaffari,00 Emilie Mohler,33 Jana Graham
2024-05-04 19:57:53,19,14,4,0,1,2,15,1,0,1,2,0,09 Sarah Hirannet,10 Andrea DeSabato,01 Emily Shields
2024-05-04 20:06:12,20,15,4,0,1,1,1,0,0,0,1,0,,11 Sara Liang,21 Linda Morse
2024-05-04 20:08:19,21,16,4,0,1,1,5,0,0,0,1,0,04 Raha Mozaffari,08 Emma Soiles,00 Emilie Mohler
2024-05-04 20:10:35,22,17,4,0,1,1,15,0,0,0,0,1,33 Jana Graham,24 Casey Gorman,33 Jana Graham
2024-05-04 20:13:34,23,18,4,0,1,1,3,0,0,0,1,0,15 Layne Dodge,11 Sara Liang,00 Emilie Mohler
2024-05-04 20:15:40,24,19,4,0,0,0,0,0,0,0,0,0,,,
2024-05-04 20:17:46,25,19,5,1,1,3,5,2,2,0,2,0,20 Danielle Walsh,01 Emily Shields,23 Natalie Bova
2024-05-04 20:21:06,26,20,5,0,0,0,0,0,0,0,0,0,,,
2024-05-04 20:21:53,27,20,6,1,0,1,3,1,1,0,0,0,,,
2024-05-04 20:23:11,28,20,7,1,1,1,5,0,0,0,0,0,10 Andrea DeSabato,20 Danielle Walsh,09 Sarah Hirannet
2024-05-04 20:25:09,29,21,7,0,1,2,16,1,1,0,2,0,11 Sara Liang,21 Linda Morse,13 Kat Harper
2024-05-04 20:32:05,30,22,7,0,1,2,8,1,0,1,0,2,18 Sumi Onoe,21 Linda Morse,05 Lindsay McKenna
2024-05-04 20:35:47,31,23,7,0,1,1,1,0,0,0,1,0,,,
2024-05-04 20:38:19,32,24,7,0,0,0,0,0,0,0,0,0,,,
