Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-04 18:16:53,1,1,1,1,0.9212598,0.65582526,10 Andrea DeSabato,2,10 Andrea DeSabato,20 Danielle Walsh,01 Emily Shields,,,
2024-05-04 18:18:47,2,1,0,1,0.42913386,0.82961166,11 Sara Liang,8,05 Lindsay McKenna,04 Raha Mozaffari,05 Lindsay McKenna,,,
2024-05-04 18:22:43,4,1,1,0,0.5091863,0.75,10 Andrea DeSabato,13,,,,20 Danielle Walsh,,
2024-05-04 18:24:51,4,2,1,0,0.7598425,0.392233,10 Andrea DeSabato,1,,,,,22 Liz Hart,
2024-05-04 18:25:32,4,3,1,1,0.017060367,0.8145631,20 Danielle Walsh,9,03 Rachel Alfano,23 Natalie Bova,01 Emily Shields,,,
2024-05-04 18:28:20,5,1,0,0,0.96850395,0.81650484,00 Emilie Mohler,9,,,,04 Raha Mozaffari,18 Sumi Onoe,
2024-05-04 18:31:00,5,2,0,0,0.5616798,0.69368935,11 Sara Liang,4,,,,21 Linda Morse,,
2024-05-04 18:33:33,5,3,0,0,0.022309711,0.87718445,15 Layne Dodge,3,,,,21 Linda Morse,,
2024-05-04 18:42:57,5,4,0,0,0.6889764,0.81747574,20 Danielle Walsh,7,,,,,03 Rachel Alfano,
2024-05-04 18:44:52,5,5,0,1,0.8254593,0.5325243,10 Andrea DeSabato,5,20 Danielle Walsh,23 Natalie Bova,03 Rachel Alfano,,,
2024-05-04 18:50:31,6,1,0,1,0.6023622,0.73495144,,1,,,,,,
2024-05-04 19:18:57,8,1,1,0,0.34514436,0.7019417,01 Emily Shields,5,,,,09 Sarah Hirannet,,
2024-05-04 19:21:29,9,1,1,0,0.87007874,0.7024272,23 Natalie Bova,14,,,,23 Natalie Bova,,
2024-05-04 19:26:34,9,2,1,1,0.25853017,0.70970875,11 Sara Liang,15,18 Sumi Onoe,11 Sara Liang,15 Layne Dodge,,,
2024-05-04 19:30:10,10,1,0,1,0.8307087,0.40485436,00 Emilie Mohler,1,,00 Emilie Mohler,05 Lindsay McKenna,,,
2024-05-04 19:32:13,11,1,0,1,0.851706,0.57184464,11 Sara Liang,8,22 Liz Hart,23 Natalie Bova,03 Rachel Alfano,,,
2024-05-04 19:36:25,12,1,0,0,0.843832,0.8262136,11 Sara Liang,3,,,,13 Kat Harper,,
