Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-05 15:22:03,2,01 Ashleigh Jentilet,0,0,0,0,0.31527779,0.5814815
2024-05-05 15:38:14,5,22 Erin McCann,0,0,0,0,0.2069444,0.6919753
2024-05-05 15:43:00,5,01 Ashleigh Jentilet,0,0,0,0,0.80833334,0.65555555
2024-05-05 15:46:52,6,06 Laureen Johnson,0,0,0,0,0.51666665,0.49074075
2024-05-05 15:51:22,6,07 Kami Groom,0,0,0,0,0.39166668,0.5555556
2024-05-05 15:56:22,7,42 Lisi Lohre,0,0,0,0,0.4694444,0.5919753
2024-05-05 16:06:56,8,23 Lisa Dang,0,0,0,0,0.26388893,0.59444445
2024-05-05 16:09:46,9,36 Carolyn Normile,0,0,0,0,0.3569444,0.43765432
2024-05-05 16:15:40,10,66 Jackie Wang,0,0,0,0,0.78333336,0.4728395
2024-05-05 16:20:03,10,37 Claire Trop,0,0,0,0,0.6680556,0.48024693
2024-05-05 16:57:27,19,07 Kami Groom,0,0,0,0,0.1027778,0.79691356
2024-05-05 17:01:04,19,46 Graham Cunningham,0,0,0,0,0.34722227,0.5407408
2024-05-05 18:58:36,20,15 Florence Brooks,0,0,0,0,0.52916664,0.40555555
2024-05-05 19:03:03,21,07 Kami Groom,0,0,0,0,0.1319444,0.7987654
2024-05-05 19:11:00,22,01 Ashleigh Jentilet,1,0,0,0,0.1652778,0.8777778
2024-05-05 19:16:15,22,24 Jamie Eriksson,0,0,0,0,0.29583332,0.65246916
2024-05-05 19:18:30,22,66 Jackie Wang,0,0,0,0,0.25138894,0.6401235
