Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-05 15:12:32,1,1,23 Lisa Dang,16 Margaret Walker,0,0,0,0,0,0,0,0,0,0,0,14.999529,4.3349357,-14.359464,0.23333333,0.67530864,0.52777773,0.63580245
2024-05-05 15:12:35,1,1,16 Margaret Walker,37 Claire Trop,0,0,0,0,0,0,0,0,0,0,0,15.046713,7.450662,-13.072536,0.52777773,0.63580245,0.79583335,0.56790125
2024-05-05 15:13:19,1,1,37 Claire Trop,36 Carolyn Normile,1,1,0,0,0,0,1,0,0,0,0,40.91564,40.64,4.741336,0.79583335,0.56790125,0.6986111,0.19753085
2024-05-05 15:14:23,1,2,23 Lisa Dang,37 Claire Trop,0,0,0,0,0,1,0,0,1,0,0,6.7332535,-6.705601,0.6095994,0.3222222,0.18950617,0.30972221,0.2506173
2024-05-05 15:17:05,1,2,37 Claire Trop,08 Kathryn Ritzman,0,0,0,1,1,0,0,0,0,0,0,19.420698,19.03307,3.8608007,0.30972221,0.2506173,0.23055553,0.077160485
2024-05-05 15:21:27,2,1,09 Annalise Peters,,1,1,0,0,0,0,0,0,0,0,0,32.588745,32.512,2.235201,0.7875,0.71790123,0.7416667,0.42160493
2024-05-05 15:22:07,2,2,01 Ashleigh Jentilet,21 Jess Oh,0,0,0,0,0,0,0,0,0,0,0,10.039627,4.9445376,-8.7376,0.31527779,0.5814815,0.49444446,0.53641975
2024-05-05 15:22:14,2,2,21 Jess Oh,26 Jessica Sourbeer,0,0,0,0,0,0,0,0,1,0,0,11.309643,-7.7216005,-8.263468,0.49444446,0.53641975,0.66388893,0.6067901
2024-05-05 15:22:27,2,2,26 Jessica Sourbeer,24 Jamie Eriksson,0,0,0,0,0,0,0,0,0,0,1,12.757258,7.2474613,-10.498665,0.66388893,0.6067901,0.87916666,0.5407408
2024-05-05 15:22:34,2,2,24 Jamie Eriksson,04 Ellen Mueller,0,0,0,0,0,0,0,0,0,1,1,13.887981,13.885338,0.27093115,0.87916666,0.5407408,0.87361115,0.41419753
