Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
37 Claire Trop,10,"1,4,8,9,10,12,13,14,18,21,22",6,4,5,3,19,9,18,18,1,4,0,1,2,1,1,1,0,0,254.11,143.80,16.94,9.59,251.42,131.33,13.97,7.30
05 Marie Perivier,10,"4,6,8,9,10,12,13,14,18,21,22",5,5,4,3,9,5,8,9,0,1,1,1,2,0,2,0,0,0,104.78,25.74,13.10,3.22,144.23,52.22,16.03,5.80
36 Carolyn Normile,8,"1,4,8,9,10,12,18,21,22",6,2,5,2,28,7,27,23,5,0,1,1,2,2,0,1,0,0,292.68,64.96,11.71,2.60,276.36,74.37,12.02,3.23
07 Kami Groom,8,"3,6,10,13,14,16,19,21,22",0,8,0,4,19,7,17,16,3,1,1,2,1,0,1,3,0,0,182.49,67.12,11.41,4.20,261.21,158.02,16.33,9.88
21 Jess Oh,8,"2,5,11,13,14,15,17,20",1,7,1,4,16,4,16,15,1,0,1,0,0,0,0,0,0,0,230.33,66.79,14.40,4.17,167.00,10.91,11.13,0.73
01 Ashleigh Jentilet,8,"2,5,7,11,13,14,15,17",1,7,1,3,10,6,10,8,2,2,0,0,2,1,1,3,0,0,125.53,79.99,15.69,10.00,115.31,52.09,14.41,6.51
16 Margaret Walker,7,"1,4,8,9,10,18,21,22",5,2,4,2,28,9,27,25,3,1,1,0,1,1,0,0,0,0,343.52,97.67,13.21,3.76,279.92,43.89,11.20,1.76
19 Allie Wallace,6,"3,6,10,13,14,16,22",0,6,0,3,4,3,4,4,0,0,1,0,0,0,0,0,0,0,57.26,43.55,19.09,14.52,44.34,14.22,11.08,3.56
08 Kathryn Ritzman,6,"1,4,9,10,12,21,22",4,2,4,2,21,7,19,21,0,1,2,2,0,0,0,0,0,0,206.19,52.56,11.46,2.92,267.85,141.09,12.75,6.72
04 Ellen Mueller,7,"2,5,7,11,15,17,20",1,6,1,3,10,5,8,10,0,0,0,2,1,0,1,0,0,0,80.45,12.53,10.06,1.57,160.55,107.49,16.06,10.75
24 Jamie Eriksson,7,"2,5,7,11,15,17,20",1,6,1,3,7,5,6,6,1,1,0,1,2,0,2,1,0,0,58.24,39.08,11.65,7.82,83.29,48.23,13.88,8.04
26 Jessica Sourbeer,6,"2,5,11,15,17,20",1,5,1,3,18,6,18,13,5,1,1,0,0,0,0,0,0,0,208.68,80.06,13.04,5.00,151.02,31.50,11.62,2.42
09 Annalise Peters,6,"2,5,7,11,17,20",0,6,0,3,8,5,7,5,3,0,2,1,1,1,0,0,0,0,66.18,54.19,13.24,10.84,66.71,19.37,13.34,3.87
66 Jackie Wang,6,"3,6,13,14,16,19",0,6,0,2,15,6,15,12,3,0,1,0,2,1,1,2,0,0,191.39,77.28,14.72,5.94,145.77,47.75,12.15,3.98
22 Erin McCann,5,"2,7,15,17,20",1,4,1,2,4,3,4,4,0,0,0,0,1,0,1,1,0,0,48.93,-14.90,12.23,-3.73,52.77,30.68,13.19,7.67
23 Lisa Dang,5,"1,4,8,12,18",5,0,4,0,33,6,33,27,6,1,1,0,0,0,0,1,0,0,365.20,118.74,11.41,3.71,284.48,-1.22,10.54,-0.05
18 Caroline Tornquist,5,"4,8,9,12,18",5,0,4,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,38.85,20.39,12.95,6.80,45.92,26.55,15.31,8.85
42 Lisi Lohre,5,"3,6,7,16,19",0,5,0,1,6,4,6,5,1,0,0,0,0,0,0,1,0,0,60.72,1.63,12.14,0.33,71.68,7.11,14.34,1.42
13 Sami Smalling,4,"3,6,16,19",0,4,0,1,7,4,7,5,2,0,0,0,1,0,1,0,0,0,85.66,40.78,14.28,6.80,51.31,-13.75,10.26,-2.75
15 Florence Brooks,4,"5,7,15,20",1,3,1,2,4,3,4,4,0,0,0,0,1,1,0,1,0,0,42.37,-5.89,14.12,-1.96,66.90,39.35,16.72,9.84
12 Clare Frantz,4,"1,9,12,18",4,0,4,0,5,3,4,5,0,0,0,1,2,1,1,0,0,0,37.40,-5.28,12.47,-1.76,98.21,61.50,19.64,12.30
46 Graham Cunningham,3,"3,16,19",0,3,0,1,7,3,6,6,1,0,0,1,1,0,1,1,0,0,84.15,41.93,14.02,6.99,79.03,32.78,13.17,5.46
00 Emma Jones,3,"3,6,19",0,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,29.75,14.02,14.87,7.01,29.57,1.22,14.78,0.61
06 Laureen Johnson,2,"16,19",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
