Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-05 15:10:23,1,0,0,1,1,2,5,1,1,0,0,1,23 Lisa Dang,37 Claire Trop,08 Kathryn Ritzman
2024-05-05 15:17:25,2,1,0,0,1,2,17,1,1,0,1,1,21 Jess Oh,01 Ashleigh Jentilet,04 Ellen Mueller
2024-05-05 15:24:18,3,2,0,0,0,0,0,0,0,0,0,0,,,
2024-05-05 15:27:28,4,2,1,1,1,2,8,1,1,0,0,1,36 Carolyn Normile,37 Claire Trop,08 Kathryn Ritzman
2024-05-05 15:34:23,5,3,1,0,1,3,25,2,1,1,2,1,09 Annalise Peters,24 Jamie Eriksson,09 Annalise Peters
2024-05-05 15:44:45,6,4,1,0,0,2,7,2,0,2,2,0,,,
2024-05-05 15:53:34,7,4,2,0,0,2,4,2,0,2,1,1,,,
2024-05-05 15:59:29,8,4,3,1,0,2,5,2,1,1,1,0,,,
2024-05-05 16:07:45,9,4,4,1,1,2,11,1,0,1,1,0,08 Kathryn Ritzman,16 Margaret Walker,12 Clare Frantz
2024-05-05 16:11:03,10,5,4,0,1,2,16,1,1,0,2,0,07 Kami Groom,08 Kathryn Ritzman,36 Carolyn Normile
2024-05-05 16:21:14,11,6,4,0,0,0,0,0,0,0,0,0,,,
2024-05-05 16:22:57,12,6,5,1,1,1,28,0,0,0,0,0,08 Kathryn Ritzman,37 Claire Trop,05 Marie Perivier
2024-05-05 16:30:20,13,7,5,0,1,1,4,0,0,0,0,1,66 Jackie Wang,05 Marie Perivier,07 Kami Groom
2024-05-05 16:32:38,14,8,5,0,0,0,0,0,0,0,0,0,,,
2024-05-05 16:36:06,15,8,6,1,1,3,26,2,1,1,0,2,26 Jessica Sourbeer,01 Ashleigh Jentilet,04 Ellen Mueller
2024-05-05 16:45:38,16,9,6,0,1,1,9,0,0,0,0,1,19 Allie Wallace,07 Kami Groom,46 Graham Cunningham
2024-05-05 16:48:57,17,10,6,0,0,1,4,1,0,1,0,1,,,
2024-05-05 16:51:36,18,10,7,1,1,1,12,0,0,0,0,0,16 Margaret Walker,23 Lisa Dang,37 Claire Trop
2024-05-05 16:55:24,19,11,7,0,0,2,15,2,1,1,2,0,,,
2024-05-05 17:02:58,20,11,8,0,1,1,9,0,0,0,1,0,09 Annalise Peters,26 Jessica Sourbeer,24 Jamie Eriksson
2024-05-05 18:59:53,21,12,8,0,1,2,23,1,0,1,1,1,05 Marie Perivier,37 Claire Trop,07 Kami Groom
2024-05-05 19:07:10,22,13,8,0,0,5,41,4,1,3,3,2,,,
