Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-05 15:12:27,1,1,1,0,0.23333333,0.67530864,23 Lisa Dang,3,,,,37 Claire Trop,,
2024-05-05 15:14:10,1,2,1,1,0.3222222,0.18950617,23 Lisa Dang,2,23 Lisa Dang,37 Claire Trop,08 Kathryn Ritzman,,,
2024-05-05 15:21:15,2,1,0,0,0.7875,0.71790123,09 Annalise Peters,1,,,,09 Annalise Peters,,
2024-05-05 15:22:05,2,2,0,1,0.31527779,0.5814815,01 Ashleigh Jentilet,16,21 Jess Oh,01 Ashleigh Jentilet,04 Ellen Mueller,,,
2024-05-05 15:30:04,4,1,1,0,0.24166666,0.7092593,23 Lisa Dang,2,,,,16 Margaret Walker,,
2024-05-05 15:33:06,4,2,1,1,0.26388893,0.7308642,16 Margaret Walker,6,36 Carolyn Normile,37 Claire Trop,08 Kathryn Ritzman,,,
2024-05-05 15:38:51,5,1,0,0,0.1875,0.77839506,26 Jessica Sourbeer,11,,,,01 Ashleigh Jentilet,,
2024-05-05 15:41:37,5,2,0,0,0.16666667,0.74382716,26 Jessica Sourbeer,1,,,,,24 Jamie Eriksson,
2024-05-05 15:43:02,5,3,0,1,0.80833334,0.65555555,01 Ashleigh Jentilet,13,09 Annalise Peters,24 Jamie Eriksson,09 Annalise Peters,,,
2024-05-05 15:46:58,6,1,0,0,0.48472226,0.48580247,66 Jackie Wang,6,,,,,66 Jackie Wang,
2024-05-05 15:51:25,6,2,0,0,0.39166668,0.5555556,07 Kami Groom,1,,,,,,
2024-05-05 15:56:25,7,1,0,0,0.4694444,0.5919753,42 Lisi Lohre,3,,,,,22 Erin McCann,
2024-05-05 15:58:06,7,2,0,0,0.87638885,0.7611111,09 Annalise Peters,1,,,,,24 Jamie Eriksson,
2024-05-05 16:05:35,8,1,1,0,0.42916667,0.7191358,16 Margaret Walker,4,,,,36 Carolyn Normile,,
2024-05-05 16:07:07,8,2,1,0,0.325,0.5777778,23 Lisa Dang,1,,,,,37 Claire Trop,
2024-05-05 16:08:44,9,1,1,0,0.5208333,0.6759259,36 Carolyn Normile,6,,,,,05 Marie Perivier,
2024-05-05 16:09:47,9,2,1,1,0.3569444,0.43765432,36 Carolyn Normile,5,08 Kathryn Ritzman,16 Margaret Walker,12 Clare Frantz,,,
2024-05-05 16:15:43,10,1,0,0,0.7777778,0.4777778,66 Jackie Wang,10,,,,36 Carolyn Normile,,
2024-05-05 16:20:10,10,2,0,1,0.6680556,0.48024693,37 Claire Trop,6,07 Kami Groom,08 Kathryn Ritzman,36 Carolyn Normile,,,
2024-05-05 16:24:39,12,1,1,1,0.54722226,0.6549383,36 Carolyn Normile,28,08 Kathryn Ritzman,37 Claire Trop,05 Marie Perivier,,,
2024-05-05 16:31:55,13,1,0,1,0.29166666,0.5296296,66 Jackie Wang,4,66 Jackie Wang,05 Marie Perivier,07 Kami Groom,,,
2024-05-05 16:38:28,15,1,1,0,0.59722227,0.66728395,23 Lisa Dang,20,,,,12 Clare Frantz,,
2024-05-05 16:42:14,15,2,1,0,0.7722223,0.6333333,16 Margaret Walker,4,,,,,05 Marie Perivier,
2024-05-05 16:45:14,15,3,1,1,0.53888893,0.5345679,26 Jessica Sourbeer,2,26 Jessica Sourbeer,01 Ashleigh Jentilet,04 Ellen Mueller,,,
2024-05-05 16:47:20,16,1,0,1,0.47638887,0.7728395,13 Sami Smalling,9,19 Allie Wallace,07 Kami Groom,46 Graham Cunningham,,,
2024-05-05 16:50:10,17,1,0,0,0.16388893,0.45925927,26 Jessica Sourbeer,4,,,,,04 Ellen Mueller,
2024-05-05 16:53:55,18,1,1,1,0.54583335,0.73518515,23 Lisa Dang,12,16 Margaret Walker,23 Lisa Dang,37 Claire Trop,,,
2024-05-05 16:57:32,19,1,0,0,0.1027778,0.79691356,07 Kami Groom,13,,,,66 Jackie Wang,,
2024-05-05 17:01:06,19,2,0,0,0.34722227,0.5407408,46 Graham Cunningham,2,,,,,13 Sami Smalling,
2024-05-05 18:58:45,20,1,0,1,0.53333336,0.46358025,21 Jess Oh,9,09 Annalise Peters,26 Jessica Sourbeer,24 Jamie Eriksson,,,
2024-05-05 19:02:24,21,1,0,0,0.1,0.77716047,13 Sami Smalling,1,,,,,46 Graham Cunningham,
2024-05-05 19:03:05,21,2,0,1,0.1319444,0.7987654,07 Kami Groom,22,05 Marie Perivier,37 Claire Trop,07 Kami Groom,,,
2024-05-05 19:11:23,22,1,0,0,0.1680556,0.8191358,09 Annalise Peters,5,,,,,01 Ashleigh Jentilet,
2024-05-05 19:13:41,22,2,0,0,0.7097223,0.8135803,26 Jessica Sourbeer,5,,,,,12 Clare Frantz,
2024-05-05 19:16:43,22,3,0,0,0.29583332,0.7259259,24 Jamie Eriksson,7,,,,15 Florence Brooks,,
2024-05-05 19:19:57,22,4,0,0,0.16111113,0.6518519,36 Carolyn Normile,9,,,,,07 Kami Groom,
2024-05-05 19:21:48,22,5,0,0,0.1625,0.45000002,36 Carolyn Normile,15,,,,,,
