Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
13 Tyler Smith,12,"2,3,5,6,7,11,13,14,16,17,19,20",12,0,6,0,64,14,61,56,8,0,3,3,10,10,0,1,0,0,841.76,349.31,16.51,6.85,675.75,155.51,12.07,2.78
02 Claire Bidigaire-Curtis,12,"2,3,5,6,7,11,13,14,16,17,19,20",12,0,6,0,15,8,14,15,0,1,0,1,0,0,0,1,0,0,194.93,83.30,13.92,5.95,287.36,150.99,19.16,10.07
34 Alex Barnett,11,"3,5,6,7,11,13,14,16,17,19,20",11,0,6,0,47,12,47,34,13,0,0,0,5,5,0,0,0,0,535.57,188.93,12.75,4.50,347.45,-45.02,10.22,-1.32
45 Caitlin Gross,11,"2,5,6,7,11,13,14,16,17,19,20",11,0,5,0,14,7,14,14,0,1,0,0,0,0,0,1,0,0,185.31,52.52,13.24,3.75,211.80,64.29,15.13,4.59
32 Annie Bocko,10,"2,3,5,6,7,13,16,17,19,20",10,0,4,0,5,4,5,2,3,0,0,0,0,0,0,0,0,0,65.43,24.30,13.09,4.86,31.22,2.22,15.61,1.11
12 Katie Backus Meilstrup,10,"2,3,5,6,11,13,14,16,17,19",10,0,5,0,15,8,14,14,1,0,2,1,2,2,0,2,0,0,160.54,15.26,13.38,1.27,228.59,162.59,16.33,11.61
06 Jenny Wei,10,"2,3,5,7,11,14,15,17,19,20",9,1,6,0,21,7,21,21,0,3,1,0,2,2,0,0,0,0,254.74,92.34,13.41,4.86,355.14,171.03,16.91,8.14
01 Lindsay Soo,9,"2,3,6,7,11,13,14,16,20",9,0,4,0,10,7,9,10,0,1,0,1,0,0,0,2,0,0,100.96,-0.85,11.22,-0.09,201.93,143.49,20.19,14.35
59 Audrey Lyman,6,"1,9,10,15,18,21,22",2,4,0,0,17,7,17,10,7,0,0,0,4,3,1,0,0,0,160.91,76.39,13.41,6.37,114.25,1.88,11.43,0.19
15 Justine Neville,6,"4,8,10,12,18,21,22",2,4,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,7.69,-4.95,7.69,-4.95,13.90,13.39,13.90,13.39
20 Bridget Mizener,6,"4,8,10,12,15,18,22",1,5,0,1,16,6,16,11,5,0,1,0,1,1,0,0,0,0,201.23,77.76,13.42,5.18,97.78,16.11,8.89,1.46
22 Julia Zwierzynski,5,"4,8,10,12,18,22",1,4,0,1,2,2,1,2,0,0,0,1,2,1,1,1,0,0,0.00,0.00,0.00,0.00,63.96,55.33,31.98,27.67
09 Jinny Riedel,4,"1,9,18,21,22",1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10 Paige Carver,4,"4,8,12,18,22",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16 Tania Proksch,5,"4,8,12,18,21",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03 Grace Conerly,5,"4,8,12,15,21",1,4,0,1,9,5,9,9,0,1,0,0,3,3,0,0,0,0,98.94,64.29,16.49,10.71,106.72,5.97,11.86,0.66
99 Carmen Tormey,4,"1,9,15,21",1,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,25.11,8.61,12.56,4.31,40.16,21.40,20.08,10.70
24 Hannah Boettcher,4,"1,9,10,15",1,3,0,0,4,2,4,4,0,0,0,0,2,1,1,0,0,0,37.19,12.79,12.40,4.26,61.91,43.82,15.48,10.96
18 Sarah McKee,4,"1,9,10,15",1,3,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,26.60,2.05,8.87,0.68,39.46,33.25,13.15,11.08
77 Anna Tortorici,3,"4,8,12,22",0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.11,-10.15,11.11,-10.15,18.99,13.64,18.99,13.64
25 Meg Manning,3,"1,9,10",1,2,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,12.39,12.36,12.39,12.36,18.72,15.94,18.72,15.94
19 Sydney Kelley,2,"9,21",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88 Maddie Pletzke,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.19,-4.01,9.19,-4.01,14.49,14.41,14.49,14.41
