Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-12 15:45:32,1,0,0,0,0,1,1,1,0,1,0,1,,,
2024-05-12 15:57:59,2,0,1,1,0,2,17,2,2,0,1,0,,,
2024-05-12 16:07:28,3,0,2,1,1,1,3,0,0,0,0,0,13 Tyler Smith,02 Claire Bidigaire-Curtis,01 Lindsay Soo
2024-05-17 13:17:44,4,1,2,0,0,1,6,1,1,0,1,0,,,
2024-05-17 13:21:15,5,1,3,1,0,3,26,3,3,0,2,0,,,
2024-05-17 14:19:34,6,1,4,1,0,2,15,2,2,0,0,1,,,
2024-05-17 14:24:52,7,1,5,1,1,3,22,2,2,0,2,0,06 Jenny Wei,45 Caitlin Gross,13 Tyler Smith
2024-05-17 14:35:10,8,2,5,0,1,2,8,1,1,0,1,1,20 Bridget Mizener,03 Grace Conerly,22 Julia Zwierzynski
2024-05-17 14:37:31,9,3,5,0,0,1,1,1,1,1,0,1,,,
2024-05-17 14:39:40,10,3,6,1,0,2,9,2,2,0,0,1,,,
2024-05-17 14:52:21,11,3,7,1,1,1,7,0,0,0,0,0,13 Tyler Smith,01 Lindsay Soo,12 Katie Backus Meilstrup
2024-05-17 14:54:11,12,4,7,0,0,0,0,0,0,0,0,0,,,
2024-05-17 15:00:26,13,4,8,1,0,1,6,1,1,0,0,0,,,
2024-05-17 15:03:33,14,4,9,1,1,1,20,0,0,0,0,0,13 Tyler Smith,06 Jenny Wei,13 Tyler Smith
2024-05-17 15:08:55,15,5,9,0,0,2,15,2,2,1,0,2,,,
2024-05-17 15:14:38,16,5,10,1,0,1,4,1,1,0,0,0,,,
2024-05-17 15:16:49,17,5,11,1,1,2,9,1,1,0,1,0,12 Katie Backus Meilstrup,06 Jenny Wei,02 Claire Bidigaire-Curtis
2024-05-17 15:21:34,18,6,11,0,0,0,0,0,0,0,0,0,,,
2024-05-17 15:22:38,19,6,12,1,1,3,25,2,2,0,0,2,12 Katie Backus Meilstrup,06 Jenny Wei,13 Tyler Smith
2024-05-17 15:28:13,20,7,12,1,0,1,3,1,1,0,0,0,,,
2024-05-17 15:30:19,21,7,13,1,0,2,16,2,1,2,0,1,,,
2024-05-17 15:34:54,22,7,14,1,0,5,28,5,5,1,1,3,,,
