Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-12 15:57:33,1,1,0,0,0.3505245,0.8348873,59 Audrey Lyman,1,,,,,09 Jinny Riedel,
2024-05-12 16:02:38,2,1,1,0,0.72115386,0.7097902,32 Annie Bocko,15,,,,13 Tyler Smith,,
2024-05-12 16:06:23,2,2,1,0,0.4798951,0.75718725,13 Tyler Smith,2,,,,12 Katie Backus Meilstrup,,
2024-05-17 13:17:21,3,1,1,1,0.43269232,0.74242425,32 Annie Bocko,3,13 Tyler Smith,02 Claire Bidigaire-Curtis,01 Lindsay Soo,,,
2024-05-17 13:20:19,4,1,0,0,0.7071678,0.487568,20 Bridget Mizener,6,,,,22 Julia Zwierzynski,,
2024-05-17 13:22:12,5,1,1,0,0.26136363,0.6724942,32 Annie Bocko,10,,,,34 Alex Barnett,,
2024-05-17 14:15:00,5,2,1,0,0.49737763,0.8038073,12 Katie Backus Meilstrup,6,,,,12 Katie Backus Meilstrup,,
2024-05-17 14:17:05,5,3,1,0,0.5183566,0.1969697,13 Tyler Smith,10,,,,06 Jenny Wei,,
2024-05-17 14:21:05,6,1,1,0,0.40297204,0.67948717,59 Audrey Lyman,4,,,,03 Grace Conerly,,
2024-05-17 14:23:35,6,2,1,0,0.14248252,0.83100235,13 Tyler Smith,11,,,,13 Tyler Smith,,
2024-05-17 14:31:17,7,1,1,0,0.4589161,0.75174826,34 Alex Barnett,6,,,,13 Tyler Smith,,
2024-05-17 14:32:42,7,2,1,0,1.0,0.7859363,13 Tyler Smith,9,,,,13 Tyler Smith,,
2024-05-17 14:34:09,7,3,1,1,0.19143356,0.42229992,34 Alex Barnett,7,06 Jenny Wei,45 Caitlin Gross,13 Tyler Smith,,,
2024-05-17 14:36:03,8,1,0,0,0.5270979,0.5621601,20 Bridget Mizener,6,,,,03 Grace Conerly,,
2024-05-17 14:37:07,8,2,0,1,0.7561189,0.5955711,20 Bridget Mizener,2,20 Bridget Mizener,03 Grace Conerly,22 Julia Zwierzynski,,,
2024-05-17 14:38:44,9,1,0,0,0.638986,0.54351205,59 Audrey Lyman,1,,,,59 Audrey Lyman,09 Jinny Riedel,
2024-05-17 14:44:28,10,1,1,0,0.36451048,0.68648016,34 Alex Barnett,8,,,,34 Alex Barnett,,
2024-05-17 14:46:44,10,2,1,0,0.028846154,0.83877236,59 Audrey Lyman,1,,,,59 Audrey Lyman,,
2024-05-17 14:53:10,11,1,1,1,0.37325174,0.63209015,34 Alex Barnett,7,13 Tyler Smith,01 Lindsay Soo,12 Katie Backus Meilstrup,,,
2024-05-17 15:01:15,13,1,1,0,0.35402098,0.66161615,34 Alex Barnett,6,,,,34 Alex Barnett,,
2024-05-17 15:05:08,14,1,1,1,0.2805944,0.67715615,34 Alex Barnett,20,13 Tyler Smith,06 Jenny Wei,13 Tyler Smith,,,
2024-05-17 15:10:12,15,1,0,0,0.9117133,0.83721834,20 Bridget Mizener,9,,,,59 Audrey Lyman,25 Meg Manning,
2024-05-17 15:13:46,15,2,0,0,0.10751748,0.8255633,59 Audrey Lyman,6,,,,24 Hannah Boettcher,,
2024-05-17 15:15:39,16,1,1,0,0.5008741,0.7128982,34 Alex Barnett,4,,,,13 Tyler Smith,,
2024-05-17 15:17:52,17,1,1,0,0.48863637,0.64685315,34 Alex Barnett,3,,,,34 Alex Barnett,,
2024-05-17 15:18:56,17,2,1,1,0.0,0.7711733,13 Tyler Smith,6,12 Katie Backus Meilstrup,06 Jenny Wei,02 Claire Bidigaire-Curtis,,,
2024-05-17 15:23:46,19,1,1,0,0.6372378,0.66161615,34 Alex Barnett,9,,,,13 Tyler Smith,,
2024-05-17 15:25:25,19,2,1,0,0.2298951,0.83177936,13 Tyler Smith,9,,,,13 Tyler Smith,,
2024-05-17 15:27:11,19,3,1,1,0.0,0.57536906,34 Alex Barnett,7,12 Katie Backus Meilstrup,06 Jenny Wei,13 Tyler Smith,,,
2024-05-17 15:29:52,20,1,1,0,0.7229021,0.71911424,34 Alex Barnett,3,,,,34 Alex Barnett,,
2024-05-17 15:30:59,21,1,1,0,0.7246503,0.6266511,20 Bridget Mizener,12,,,,,24 Hannah Boettcher,
2024-05-17 15:32:48,21,2,1,0,0.19667833,0.2808858,59 Audrey Lyman,4,,,,03 Grace Conerly,59 Audrey Lyman,
2024-05-17 15:35:55,22,1,1,0,0.47814685,0.6359751,34 Alex Barnett,9,,,,13 Tyler Smith,,
2024-05-17 15:37:38,22,2,1,0,0.44143358,0.84032637,13 Tyler Smith,7,,,,06 Jenny Wei,,
2024-05-17 15:39:13,22,3,1,0,0.2736014,0.82944834,13 Tyler Smith,6,,,,13 Tyler Smith,,
2024-05-17 15:41:34,22,4,1,0,0.5323427,0.6289821,34 Alex Barnett,2,,,,13 Tyler Smith,,
2024-05-17 15:43:04,22,5,1,0,0.10052448,0.82789433,59 Audrey Lyman,4,,,,20 Bridget Mizener,22 Julia Zwierzynski,
