Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-22 17:45:23,4,18 Caroline Tornquist,0,0,0,0,0.26111114,0.48580247
2024-05-22 17:47:51,5,22 Erin McCann,1,0,0,0,0.27083334,0.9030864
2024-05-22 17:51:00,6,66 Jackie Wang,0,0,0,0,0.5,0.53641975
2024-05-22 18:05:10,9,13 Sami Smalling,0,0,0,0,0.8319444,0.7290123
2024-05-22 18:08:38,10,08 Kathryn Ritzman,0,0,0,0,0.14861113,0.53765434
2024-05-22 18:12:51,11,22 Erin McCann,0,0,0,0,0.2375,0.54691356
2024-05-22 18:21:58,12,07 Kami Groom,0,0,0,0,0.45972225,0.78271604
2024-05-22 18:46:16,18,22 Erin McCann,0,0,0,0,0.7513889,0.6462963
2024-05-22 18:47:47,18,22 Erin McCann,0,0,0,0,0.8555556,0.5462963
2024-05-22 18:51:30,20,08 Kathryn Ritzman,0,0,0,0,0.37916666,0.7166667
2024-05-22 19:44:00,24,33 Amanda Murphy,0,0,0,0,0.67638886,0.47407407
2024-05-22 19:53:52,27,22 Erin McCann,0,0,0,0,0.18472226,0.52592593
2024-05-22 20:00:59,30,15 Florence Brooks,0,0,0,0,0.49305552,0.5388889
