Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-22 17:29:49,1,1,23 Lisa Dang,26 Jessica Sourbeer,0,0,0,0,0,0,0,0,0,1,0,7.4801683,6.0960026,4.334936,0.8625,0.77592593,0.77361107,0.72037035
2024-05-22 17:29:51,1,1,26 Jessica Sourbeer,23 Lisa Dang,0,0,0,0,0,0,0,0,0,0,0,7.9050903,2.6416004,7.4506645,0.77361107,0.72037035,0.62083334,0.6962963
2024-05-22 17:29:54,1,1,23 Lisa Dang,26 Jessica Sourbeer,0,0,0,0,0,0,0,0,0,0,0,6.768249,1.6255977,-6.5701313,0.62083334,0.6962963,0.7555555,0.6814815
2024-05-22 17:30:04,1,1,26 Jessica Sourbeer,05 Marie Perivier,1,0,1,0,0,0,1,0,0,0,0,44.285015,43.8912,5.8928003,0.7555555,0.6814815,0.6347222,0.28148147
2024-05-22 17:31:38,1,2,26 Jessica Sourbeer,12 Clare Frantz,0,0,0,0,0,0,0,0,0,0,0,17.268679,11.514666,-12.869334,0.56666666,0.6944444,0.83055556,0.58950615
2024-05-22 17:31:43,1,2,12 Clare Frantz,26 Jessica Sourbeer,0,0,0,0,0,0,0,0,1,0,0,10.559669,-6.028265,8.669869,0.83055556,0.58950615,0.65277773,0.6444444
2024-05-22 17:31:50,1,2,26 Jessica Sourbeer,23 Lisa Dang,0,0,0,0,0,0,0,1,0,0,0,22.448772,3.6575963,22.1488,0.65277773,0.6444444,0.19861107,0.6111111
2024-05-22 17:31:56,1,2,23 Lisa Dang,05 Marie Perivier,0,0,0,0,0,0,0,0,0,0,1,15.324058,14.359467,5.350932,0.19861107,0.6111111,0.08888887,0.4802469
2024-05-22 17:32:10,1,2,05 Marie Perivier,08 Kathryn Ritzman,1,0,1,1,0,0,1,0,0,1,0,42.53831,42.2656,-4.8090677,0.08888887,0.4802469,0.1875,0.09506173
2024-05-22 17:37:16,2,1,33 Amanda Murphy,01 Ashleigh Jentilet,1,1,0,0,0,0,1,0,0,0,0,50.87535,50.86773,-0.880532,0.49444446,0.68580246,0.5125,0.22222224
2024-05-22 17:37:36,2,2,21 Jess Oh,33 Amanda Murphy,0,0,0,0,0,0,0,0,0,1,1,15.245415,15.239997,0.40639964,0.8875,0.52592593,0.87916666,0.38703707
2024-05-22 17:37:41,2,2,33 Amanda Murphy,15 Florence Brooks,0,0,0,0,0,0,0,0,0,1,1,11.87557,11.650135,-2.3029351,0.87916666,0.38703707,0.9263889,0.2808642
2024-05-22 17:37:51,2,2,15 Florence Brooks,21 Jess Oh,0,0,0,0,0,0,0,0,1,1,0,13.199834,-1.8287982,13.072534,0.9263889,0.2808642,0.65833336,0.29753086
2024-05-22 17:38:04,2,2,21 Jess Oh,33 Amanda Murphy,0,0,0,0,0,0,0,0,0,0,0,10.29903,8.3989315,5.9605346,0.65833336,0.29753086,0.5361111,0.22098766
2024-05-22 17:38:09,2,2,33 Amanda Murphy,21 Jess Oh,0,0,0,0,0,0,0,0,0,0,0,12.2147455,0.74506754,-12.192,0.5361111,0.22098766,0.7861111,0.21419753
2024-05-22 17:38:20,2,2,21 Jess Oh,55 Molly Roy,0,0,0,0,0,0,0,1,0,0,0,24.087938,2.3029323,23.9776,0.7861111,0.21419753,0.29444447,0.19320989
2024-05-22 17:38:30,2,2,55 Molly Roy,,1,1,0,1,0,0,0,0,0,0,0,16.89115,9.618133,-13.885332,0.29444447,0.19320989,0.57916665,0.10555557
2024-05-22 17:41:21,3,1,13 Sami Smalling,66 Jackie Wang,0,0,0,0,0,0,0,0,0,0,0,11.211243,10.769595,3.1157315,0.6152777,0.7487654,0.55138886,0.6506173
2024-05-22 17:41:41,3,1,66 Jackie Wang,13 Sami Smalling,0,0,0,0,0,0,0,0,1,0,0,10.419712,-5.350932,8.940801,0.55138886,0.6506173,0.36805552,0.6993827
