Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
19 Allie Wallace,12,"1,2,4,7,10,13,14,17,20,23,26,29",6,6,3,4,10,6,9,9,1,2,0,1,0,0,0,0,0,0,150.19,110.41,16.69,12.27,115.42,83.31,12.82,9.26
05 Marie Perivier,11,"1,4,7,10,13,14,17,20,23,26,29",5,6,3,4,10,7,9,10,0,0,2,1,2,1,1,0,0,0,74.77,0.14,10.68,0.02,142.83,107.63,14.28,10.76
26 Jessica Sourbeer,11,"1,4,7,10,13,14,17,20,23,26,29",5,6,3,4,22,6,22,16,6,0,0,0,1,1,0,0,0,0,264.15,122.39,13.90,6.44,180.49,9.55,11.28,0.60
23 Lisa Dang,11,"1,4,7,10,13,14,17,20,23,26,29",5,6,3,4,28,9,28,23,5,2,1,0,0,0,0,0,0,0,360.06,199.95,12.86,7.14,274.14,66.85,11.92,2.91
18 Caroline Tornquist,11,"1,4,7,10,13,14,17,20,23,26,29",5,6,3,4,7,6,5,7,0,1,1,2,1,0,1,1,0,0,74.39,37.80,14.88,7.56,124.45,70.92,17.78,10.13
24 Jamie Eriksson,9,"2,5,8,11,15,18,21,24,27,30",4,5,3,3,18,7,15,18,0,2,2,3,3,2,1,0,0,0,206.91,129.30,15.92,9.95,259.40,206.38,14.41,11.47
22 Erin McCann,9,"2,5,8,11,15,18,21,24,27,30",4,5,3,3,11,7,11,9,2,0,0,0,0,0,0,5,0,0,104.58,43.08,10.46,4.31,98.77,67.73,10.97,7.53
21 Jess Oh,9,"2,5,8,11,15,18,21,24,27,30",4,5,3,3,28,9,28,23,5,3,2,0,0,0,0,0,0,0,353.70,204.96,12.63,7.32,246.75,14.29,10.73,0.62
66 Jackie Wang,10,"2,3,6,9,12,16,19,22,25,28",4,6,3,2,20,7,19,19,1,1,3,1,1,1,0,1,0,0,209.72,121.17,12.34,7.13,211.22,98.35,11.12,5.18
01 Ashleigh Jentilet,9,"2,5,8,11,15,18,21,24,27,30",4,5,3,3,10,6,7,10,0,0,1,3,4,3,1,0,0,0,27.36,-15.17,9.12,-5.06,182.11,155.85,18.21,15.59
08 Kathryn Ritzman,10,"1,4,7,10,14,17,20,23,26,29",4,6,2,4,11,6,10,10,1,1,1,1,3,1,2,2,0,0,99.63,29.94,12.45,3.74,162.40,117.25,16.24,11.72
12 Clare Frantz,9,"1,4,7,10,13,14,23,26,29",4,5,3,4,5,4,4,5,0,0,1,1,0,0,0,0,0,0,49.21,1.63,12.30,0.41,72.66,46.74,14.53,9.35
06 Laureen Johnson,9,"3,6,9,12,16,19,22,25,28",3,6,3,2,4,2,3,4,0,0,0,1,0,0,0,0,0,0,32.62,7.59,10.87,2.53,64.17,51.95,16.04,12.99
15 Florence Brooks,8,"2,5,8,11,18,21,24,27,30",4,4,3,3,6,5,6,6,0,0,0,0,2,0,2,1,0,0,79.28,28.85,13.21,4.81,78.78,49.11,13.13,8.18
33 Amanda Murphy,8,"5,8,11,15,18,21,24,27,30",3,5,3,3,21,9,21,12,9,1,1,0,2,2,0,1,0,0,237.47,152.20,13.97,8.95,127.42,76.40,10.62,6.37
55 Molly Roy,8,"5,8,11,15,18,21,24,27,30",3,5,3,3,8,5,8,6,2,0,0,0,1,1,0,0,0,0,81.63,42.74,11.66,6.11,97.70,16.19,16.28,2.70
13 Sami Smalling,9,"3,6,9,12,16,19,22,25,28",3,6,3,2,9,6,9,5,4,0,0,0,0,0,0,1,0,0,114.43,86.22,12.71,9.58,56.32,9.75,11.26,1.95
42 Lisi Lohre,9,"3,6,9,12,16,19,22,25,28",3,6,3,2,13,7,13,12,1,2,1,0,1,1,0,0,0,0,162.89,96.32,13.57,8.03,154.96,87.99,12.91,7.33
07 Kami Groom,9,"3,6,9,12,16,19,22,25,28",3,6,3,2,18,7,18,16,2,2,1,0,0,0,0,1,0,0,222.87,92.05,12.38,5.11,191.51,82.43,11.97,5.15
00 Emma Jones,7,"6,9,12,19,22,25,28",1,6,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12.12,1.22,12.12,1.22,0.00,0.00,0.00,0.00
04 Ellen Mueller,7,"6,9,12,16,22,25,28",2,5,2,2,5,4,2,5,0,0,0,3,2,1,1,0,0,0,10.65,-2.17,10.65,-2.17,87.11,71.93,17.42,14.39
