Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-22 17:27:02,1,0,0,1,0,2,9,2,0,2,0,1,,,
2024-05-22 17:33:13,2,0,1,1,0,2,8,2,2,0,0,1,,,
2024-05-22 17:40:47,3,0,2,1,1,1,12,0,0,0,0,0,42 Lisi Lohre,66 Jackie Wang,06 Laureen Johnson
2024-05-22 17:43:36,4,1,2,0,1,1,2,0,0,0,1,0,23 Lisa Dang,08 Kathryn Ritzman,18 Caroline Tornquist
2024-05-22 17:45:56,5,2,2,0,1,1,6,0,0,0,1,0,24 Jamie Eriksson,21 Jess Oh,24 Jamie Eriksson
2024-05-22 17:49:25,6,3,2,0,1,2,8,1,1,0,1,1,66 Jackie Wang,07 Kami Groom,04 Ellen Mueller
2024-05-22 17:52:47,7,4,2,0,1,1,6,0,0,0,0,1,18 Caroline Tornquist,19 Allie Wallace,08 Kathryn Ritzman
2024-05-22 17:57:39,8,5,2,0,1,1,7,0,0,0,0,1,01 Ashleigh Jentilet,21 Jess Oh,24 Jamie Eriksson
2024-05-22 18:01:53,9,6,2,0,1,1,7,0,0,0,1,0,07 Kami Groom,42 Lisi Lohre,04 Ellen Mueller
2024-05-22 18:06:09,10,7,2,0,1,1,13,0,0,0,1,0,05 Marie Perivier,18 Caroline Tornquist,12 Clare Frantz
2024-05-22 18:10:30,11,8,2,0,1,3,14,2,2,0,1,2,21 Jess Oh,33 Amanda Murphy,01 Ashleigh Jentilet
2024-05-22 18:15:04,12,9,2,0,0,2,13,2,2,0,1,1,,,
2024-05-22 18:32:02,14,10,3,1,1,1,13,0,0,0,0,0,12 Clare Frantz,23 Lisa Dang,18 Caroline Tornquist
2024-05-22 18:35:59,15,11,3,0,0,0,0,0,0,0,0,0,,,
2024-05-22 18:38:38,16,11,4,1,1,1,11,0,0,0,0,0,66 Jackie Wang,07 Kami Groom,66 Jackie Wang
2024-05-22 18:41:23,17,12,4,0,0,0,0,0,0,0,0,0,,,
2024-05-22 18:43:13,18,12,5,1,1,3,18,2,1,1,2,0,21 Jess Oh,24 Jamie Eriksson,01 Ashleigh Jentilet
2024-05-22 18:48:18,19,13,5,0,0,0,0,0,0,0,0,0,,,
2024-05-22 18:49:40,20,13,6,1,0,3,12,3,1,2,1,1,,,
2024-05-22 18:53:50,21,13,7,1,1,1,15,0,0,0,0,0,24 Jamie Eriksson,21 Jess Oh,24 Jamie Eriksson
2024-05-22 18:56:49,22,14,7,0,0,1,7,1,0,1,0,1,,,
2024-05-22 19:38:17,23,14,8,0,1,1,17,0,0,0,0,1,05 Marie Perivier,23 Lisa Dang,19 Allie Wallace
2024-05-22 19:41:44,24,15,8,0,0,2,3,2,1,1,1,1,,,
2024-05-22 19:45:17,25,15,9,1,1,1,7,0,0,0,0,0,66 Jackie Wang,42 Lisi Lohre,04 Ellen Mueller
2024-05-22 19:47:24,26,16,9,0,0,0,0,0,0,0,0,0,,,
2024-05-22 19:49:24,27,16,10,1,1,3,14,2,0,2,1,1,33 Amanda Murphy,24 Jamie Eriksson,01 Ashleigh Jentilet
2024-05-22 19:54:19,28,17,10,0,0,0,0,0,0,0,0,0,,,
2024-05-22 19:56:06,29,17,11,1,1,1,4,0,0,0,0,0,08 Kathryn Ritzman,19 Allie Wallace,05 Marie Perivier
2024-05-22 19:58:16,30,18,11,0,0,2,11,2,2,0,1,2,,,
