Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-22 17:29:46,1,1,1,0,0.8625,0.77592593,23 Lisa Dang,4,,,,,05 Marie Perivier,
2024-05-22 17:31:31,1,2,1,0,0.56666666,0.6944444,26 Jessica Sourbeer,5,,,,,08 Kathryn Ritzman,
2024-05-22 17:35:27,2,1,1,0,0.49444446,0.68580246,33 Amanda Murphy,1,,,,33 Amanda Murphy,,
2024-05-22 17:37:27,2,2,1,0,0.8875,0.52592593,21 Jess Oh,7,,,,55 Molly Roy,,
2024-05-22 17:41:20,3,1,1,1,0.6152777,0.7487654,13 Sami Smalling,12,42 Lisi Lohre,66 Jackie Wang,06 Laureen Johnson,,,
2024-05-22 17:45:33,4,1,0,1,0.2305556,0.4820988,23 Lisa Dang,2,23 Lisa Dang,08 Kathryn Ritzman,18 Caroline Tornquist,,,
2024-05-22 17:48:20,5,1,0,1,0.76805556,0.80246913,33 Amanda Murphy,6,24 Jamie Eriksson,21 Jess Oh,24 Jamie Eriksson,,,
2024-05-22 17:51:09,6,1,0,0,0.5069445,0.62222224,07 Kami Groom,3,,,,66 Jackie Wang,,
2024-05-22 17:52:02,6,2,0,1,0.42083332,0.3814815,42 Lisi Lohre,5,66 Jackie Wang,07 Kami Groom,04 Ellen Mueller,,,
2024-05-22 17:56:56,7,1,0,1,0.1944444,0.7858025,23 Lisa Dang,6,18 Caroline Tornquist,19 Allie Wallace,08 Kathryn Ritzman,,,
2024-05-22 17:59:57,8,1,0,1,0.88611114,0.55185187,33 Amanda Murphy,7,01 Ashleigh Jentilet,21 Jess Oh,24 Jamie Eriksson,,,
2024-05-22 18:05:14,9,1,0,1,0.8236111,0.72160494,13 Sami Smalling,7,07 Kami Groom,42 Lisi Lohre,04 Ellen Mueller,,,
2024-05-22 18:08:41,10,1,0,1,0.13888893,0.5438272,26 Jessica Sourbeer,13,05 Marie Perivier,18 Caroline Tornquist,12 Clare Frantz,,,
2024-05-22 18:12:13,11,1,0,0,0.83611107,0.5969136,33 Amanda Murphy,2,,,,01 Ashleigh Jentilet,,
2024-05-22 18:12:59,11,2,0,0,0.19583334,0.53765434,21 Jess Oh,2,,,,24 Jamie Eriksson,,
2024-05-22 18:13:36,11,3,0,1,0.1444444,0.39506173,21 Jess Oh,10,21 Jess Oh,33 Amanda Murphy,01 Ashleigh Jentilet,,,
2024-05-22 18:20:52,12,1,0,0,0.8541667,0.64876544,66 Jackie Wang,2,,,,42 Lisi Lohre,,
2024-05-22 18:22:02,12,2,0,0,0.45972225,0.78271604,07 Kami Groom,11,,,,04 Ellen Mueller,,
2024-05-22 18:25:54,13,1,1,0,0.58055556,0.74814814,26 Jessica Sourbeer,3,,,,26 Jessica Sourbeer,,
2024-05-22 18:27:29,13,2,1,0,0.7847222,0.8055555,26 Jessica Sourbeer,8,,,,05 Marie Perivier,,
2024-05-22 18:34:17,14,1,1,1,0.32638893,0.7537037,23 Lisa Dang,13,12 Clare Frantz,23 Lisa Dang,18 Caroline Tornquist,,,
2024-05-22 18:40:04,16,1,1,1,0.8611111,0.71851856,13 Sami Smalling,11,66 Jackie Wang,07 Kami Groom,66 Jackie Wang,,,
2024-05-22 18:45:01,18,1,1,0,0.66944444,0.72160494,33 Amanda Murphy,6,,,,01 Ashleigh Jentilet,,
2024-05-22 18:46:19,18,2,1,0,0.7513889,0.6462963,22 Erin McCann,7,,,,,15 Florence Brooks,
2024-05-22 18:47:49,18,3,1,1,0.8555556,0.5462963,22 Erin McCann,5,21 Jess Oh,24 Jamie Eriksson,01 Ashleigh Jentilet,,,
2024-05-22 18:50:39,20,1,1,0,0.44861114,0.65246916,26 Jessica Sourbeer,4,,,,,18 Caroline Tornquist,
2024-05-22 18:51:34,20,2,1,0,0.37916666,0.7166667,08 Kathryn Ritzman,7,,,,08 Kathryn Ritzman,,
2024-05-22 18:53:25,20,3,1,0,0.1805556,0.79012346,26 Jessica Sourbeer,1,,,,,08 Kathryn Ritzman,
2024-05-22 18:54:18,21,1,1,1,0.7277777,0.7697531,55 Molly Roy,15,24 Jamie Eriksson,21 Jess Oh,24 Jamie Eriksson,,,
2024-05-22 18:59:27,22,1,0,0,0.5083333,0.79135805,00 Emma Jones,7,,,,,04 Ellen Mueller,
2024-05-22 19:38:53,23,1,0,1,0.35833332,0.7246914,23 Lisa Dang,17,05 Marie Perivier,23 Lisa Dang,19 Allie Wallace,,,
2024-05-22 19:44:05,24,1,0,0,0.60833335,0.50864196,33 Amanda Murphy,1,,,,33 Amanda Murphy,,
2024-05-22 19:44:24,24,2,0,0,0.17777774,0.59999996,21 Jess Oh,2,,,,,15 Florence Brooks,
2024-05-22 19:46:16,25,1,1,1,0.44583333,0.66728395,13 Sami Smalling,7,66 Jackie Wang,42 Lisi Lohre,04 Ellen Mueller,,,
2024-05-22 19:50:37,27,1,1,0,0.7861111,0.73209876,55 Molly Roy,4,,,,,24 Jamie Eriksson,
2024-05-22 19:51:46,27,2,1,0,0.2777778,0.6425926,33 Amanda Murphy,8,,,,,01 Ashleigh Jentilet,
2024-05-22 19:53:59,27,3,1,1,0.15,0.5265432,33 Amanda Murphy,2,33 Amanda Murphy,24 Jamie Eriksson,01 Ashleigh Jentilet,,,
2024-05-22 19:57:52,29,1,1,1,0.6347223,0.69012344,19 Allie Wallace,4,08 Kathryn Ritzman,19 Allie Wallace,05 Marie Perivier,,,
2024-05-22 20:01:14,30,1,0,0,0.49861106,0.6006173,33 Amanda Murphy,4,,,,01 Ashleigh Jentilet,,
2024-05-22 20:02:53,30,2,0,0,0.2875,0.4185185,21 Jess Oh,7,,,,24 Jamie Eriksson,,
