Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-20 21:27:20,1,1,03 Liv Player,37 Hannah Henkin,0,0,0,0,0,0,0,0,0,0,0,14.999688,12.192005,8.7376,0.42222226,0.704321,0.2430556,0.59320986
2024-05-20 21:27:29,1,1,37 Hannah Henkin,55 Sophie Knowles,0,0,0,0,0,0,0,0,0,0,0,14.241727,7.247468,-12.259731,0.2430556,0.59320986,0.49444446,0.52716047
2024-05-20 21:27:33,1,1,55 Sophie Knowles,37 Hannah Henkin,0,0,0,0,0,0,0,0,0,0,0,12.666312,0.06773133,12.666131,0.49444446,0.52716047,0.23472227,0.5265432
2024-05-20 21:27:37,1,1,37 Hannah Henkin,55 Sophie Knowles,0,0,0,0,0,0,0,0,1,0,0,13.495772,-4.470405,-12.733866,0.23472227,0.5265432,0.49583334,0.567284
2024-05-20 21:27:40,1,1,55 Sophie Knowles,37 Hannah Henkin,0,0,0,0,0,0,0,0,0,0,0,10.851297,7.112005,8.195732,0.49583334,0.567284,0.3277778,0.5024691
2024-05-20 21:27:51,1,1,37 Hannah Henkin,03 Liv Player,0,0,0,0,0,0,0,0,0,0,0,10.323279,8.331199,6.096,0.3277778,0.5024691,0.2027778,0.4265432
2024-05-20 21:27:53,1,1,03 Liv Player,37 Hannah Henkin,0,0,0,0,0,0,0,0,1,0,0,14.334046,-11.988802,-7.857067,0.2027778,0.4265432,0.36388892,0.5358025
2024-05-20 21:28:00,1,1,37 Hannah Henkin,55 Sophie Knowles,0,0,0,0,0,0,0,0,0,0,0,17.43959,9.279467,-14.765866,0.36388892,0.5358025,0.6666667,0.45123458
2024-05-20 21:28:11,1,1,55 Sophie Knowles,04 Adelle Pitsas,0,0,0,0,0,0,0,0,0,0,0,11.355993,8.263464,-7.7893357,0.6666667,0.45123458,0.82638896,0.37592596
2024-05-20 21:28:14,1,1,04 Adelle Pitsas,55 Sophie Knowles,0,0,0,0,0,0,0,0,1,0,0,14.21077,-13.749866,3.5898683,0.82638896,0.37592596,0.7527778,0.5012346
