Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
33 Yuge Xiao,13,"2,4,6,8,10,12,14,16,18,20,22,24,26,28",12,1,8,0,25,12,22,24,1,4,0,2,3,3,0,2,0,0,316.29,155.85,16.65,8.20,397.14,256.17,16.55,10.67
36 Jaelee Cruz,12,"2,4,6,8,10,12,14,16,18,22,24,26,28",12,0,8,0,23,12,21,23,0,0,3,2,1,1,0,0,0,0,294.88,55.07,15.52,2.90,306.43,130.18,13.32,5.66
71 Shirlee Wohl,12,"2,4,6,8,10,12,14,16,18,22,24,26,28",12,0,8,0,40,14,40,34,6,3,1,0,1,1,0,0,0,0,577.47,276.83,14.81,7.10,494.21,47.89,14.54,1.41
55 Sophie Knowles,12,"1,3,5,7,9,11,13,15,19,21,23,27",5,7,0,2,14,6,13,10,4,1,0,1,2,2,0,1,0,0,146.18,79.38,14.62,7.94,162.54,44.64,16.25,4.46
37 Hannah Henkin,11,"1,3,5,7,9,11,13,15,19,23,27",4,7,0,2,13,5,13,12,1,0,0,0,1,1,0,0,0,0,163.09,77.62,13.59,6.47,162.31,45.65,13.53,3.80
23 Colette Pellegrini,10,"2,4,6,8,10,12,16,18,22,24,28",10,0,6,0,11,8,10,11,0,1,1,1,1,0,1,0,0,0,130.47,51.21,14.50,5.69,158.29,85.89,14.39,7.81
16 Erin Rea,10,"4,6,7,9,12,14,16,18,22,26,28",10,0,6,0,10,9,8,10,0,0,2,2,1,0,1,0,0,0,132.71,38.34,16.59,4.79,173.28,136.55,17.33,13.66
52 Caitlin Connell,9,"2,4,8,10,14,17,22,24,26,28",8,1,5,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,45.22,33.73,22.61,16.87
03 Liv Player,10,"1,3,5,11,13,15,19,23,25,27",2,8,0,2,12,5,11,10,2,1,0,1,3,3,0,1,0,0,100.52,29.46,16.75,4.91,150.91,89.41,15.09,8.94
17 Kelsey Devlin,8,"2,6,8,10,12,14,16,24,28",8,0,5,0,30,10,30,20,10,0,0,0,2,2,0,0,0,0,396.53,132.28,14.69,4.90,272.29,-7.79,13.61,-0.39
29 Elana Schwam,9,"2,6,7,9,12,16,18,24,26",9,0,6,0,4,4,4,3,1,0,1,0,1,0,1,1,0,0,38.82,9.41,9.70,2.35,61.86,36.58,20.62,12.19
08 Nicki Chan,8,"1,3,5,11,13,15,23,27",2,6,0,1,2,1,2,2,0,0,1,0,1,0,1,0,0,0,31.15,30.55,15.57,15.27,34.61,9.35,17.30,4.67
32 Megan Wilson,7,"1,3,11,13,19,23,27",1,6,0,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0.00,0.00,0.00,0.00,28.39,16.32,14.19,8.16
69 Tahlia Quartin,7,"4,8,10,14,18,22,26",7,0,4,0,6,4,6,3,3,0,0,0,3,2,1,0,0,0,42.97,-1.29,10.74,-0.32,37.06,-8.20,12.35,-2.73
47 Alex Rowell,7,"1,3,5,15,19,23,27",1,6,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12.58,12.46,12.58,12.46,0.00,0.00,0.00,0.00
04 Adelle Pitsas,7,"1,5,11,13,15,19,27",2,5,0,2,3,2,3,3,0,0,0,0,1,0,1,1,0,0,44.23,-9.01,14.74,-3.00,44.94,41.72,14.98,13.91
24 Annika Chan,6,"7,9,17,20,21,25",3,3,0,0,17,7,17,8,9,0,0,0,2,2,0,0,0,0,251.13,101.46,16.74,6.76,105.91,13.07,13.24,1.63
10 Lauren Baecher,6,"5,11,17,20,21,25",3,3,0,0,7,4,7,5,2,0,0,0,1,0,1,0,0,0,77.91,38.20,12.99,6.37,93.05,4.20,18.61,0.84
06 Rowse,6,"7,9,17,20,21,25",3,3,0,0,2,2,2,2,0,0,0,0,1,0,1,1,0,0,28.20,-11.11,14.10,-5.55,52.54,48.43,26.27,24.21
45 Sarah Jeung,6,"7,9,17,20,21,25",3,3,0,0,9,5,9,9,0,0,0,0,1,1,0,0,0,0,138.63,79.59,17.33,9.95,142.96,59.88,15.88,6.65
13 Samantha Munson,5,"3,13,15,19,23",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19 Olivia Hampton,4,"17,20,21,25",1,3,0,0,5,4,5,5,0,0,0,0,1,1,0,1,0,0,56.38,13.28,14.09,3.32,70.61,29.53,14.12,5.91
15 Caitlin Fitzgerald,4,"17,20,21,25",1,3,0,0,4,3,4,4,0,0,0,0,1,0,1,0,0,0,68.43,-12.67,17.11,-3.17,54.03,33.73,13.51,8.43
