Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-20 21:24:03,1,0,0,0,1,2,17,1,1,0,1,1,08 Nicki Chan,03 Liv Player,55 Sophie Knowles
2024-05-20 21:34:12,2,1,0,1,1,2,11,1,1,0,1,1,36 Jaelee Cruz,71 Shirlee Wohl,23 Colette Pellegrini
2024-05-20 21:44:01,3,2,0,0,0,0,0,0,0,0,0,0,,,
2024-05-20 21:48:22,4,2,1,1,0,1,3,1,1,0,0,0,,,
2024-05-20 21:50:15,5,2,2,1,0,1,2,1,1,1,0,0,,,
2024-05-20 21:52:51,6,2,3,1,0,2,9,2,2,0,0,1,,,
2024-05-20 21:56:02,7,2,4,1,0,1,8,1,1,0,0,0,,,
2024-05-20 21:58:43,8,2,5,1,0,1,3,1,1,0,0,0,,,
2024-05-20 22:02:40,9,2,6,1,0,1,11,1,1,0,0,0,,,
2024-05-20 22:06:58,10,2,7,1,0,1,12,1,0,1,0,0,,,
2024-05-20 22:12:18,11,2,8,1,0,3,8,3,2,1,0,2,,,
2024-05-20 22:16:56,12,2,9,1,1,3,14,2,1,1,1,1,71 Shirlee Wohl,33 Yuge Xiao,16 Erin Rea
2024-05-20 22:22:41,13,3,9,0,0,2,10,2,0,2,0,2,,,
2024-05-20 22:31:27,14,3,10,1,1,1,15,0,0,0,0,0,16 Erin Rea,71 Shirlee Wohl,33 Yuge Xiao
2024-05-20 22:35:12,15,4,10,0,0,0,0,0,0,0,0,0,,,
2024-05-20 22:36:53,16,4,11,1,1,1,5,0,0,0,0,0,16 Erin Rea,23 Colette Pellegrini,33 Yuge Xiao
2024-05-20 22:38:14,17,5,11,0,0,2,7,2,2,0,1,1,,,
2024-05-20 22:41:14,18,5,12,1,1,1,10,0,0,0,0,0,23 Colette Pellegrini,33 Yuge Xiao,16 Erin Rea
2024-05-20 22:46:06,19,6,12,0,1,3,10,2,2,0,2,1,,55 Sophie Knowles,03 Liv Player
2024-05-20 22:50:56,20,7,12,0,0,0,0,0,0,0,0,0,,,
2024-05-20 22:53:01,21,7,13,1,0,2,18,2,1,1,0,1,,,
2024-05-20 23:00:40,22,7,14,1,1,3,9,2,1,1,1,1,36 Jaelee Cruz,33 Yuge Xiao,36 Jaelee Cruz
2024-05-20 23:04:01,23,8,14,0,0,0,0,0,0,0,0,0,,,
2024-05-20 23:06:29,24,8,15,1,1,1,11,0,0,0,0,0,36 Jaelee Cruz,33 Yuge Xiao,52 Caitlin Connell
2024-05-20 23:09:52,25,9,15,0,0,2,11,2,1,1,0,2,,,
2024-05-20 23:14:06,26,9,16,1,1,1,5,0,0,0,0,0,29 Elana Schwam,71 Shirlee Wohl,36 Jaelee Cruz
2024-05-20 23:16:04,27,10,16,0,0,0,0,0,0,0,0,0,,,
2024-05-20 23:17:16,28,10,17,1,0,3,22,2,2,0,1,1,,,
