Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-20 21:27:03,1,1,0,0,0.42222226,0.704321,03 Liv Player,11,,,,55 Sophie Knowles,,
2024-05-20 21:32:37,1,2,0,1,0.89166665,0.854321,47 Alex Rowell,6,08 Nicki Chan,03 Liv Player,55 Sophie Knowles,,,
2024-05-20 21:39:19,2,1,1,0,0.4847222,0.78641975,17 Kelsey Devlin,3,,,,17 Kelsey Devlin,,
2024-05-20 21:40:39,2,2,1,1,0.49722221,0.8419753,24 Annika Chan,8,36 Jaelee Cruz,71 Shirlee Wohl,23 Colette Pellegrini,,,
2024-05-20 21:49:36,4,1,1,0,0.29027775,0.5925926,71 Shirlee Wohl,3,,,,69 Tahlia Quartin,,
2024-05-20 21:52:09,5,1,1,0,0.50555557,0.5580247,55 Sophie Knowles,2,,,,03 Liv Player,08 Nicki Chan,
2024-05-20 21:54:34,6,1,1,0,0.7430555,0.65,17 Kelsey Devlin,6,,,,17 Kelsey Devlin,,
2024-05-20 21:55:19,6,2,1,0,0.26388887,0.662963,17 Kelsey Devlin,3,,,,33 Yuge Xiao,,
2024-05-20 21:57:29,7,1,1,0,0.5208333,0.7012346,24 Annika Chan,8,,,,55 Sophie Knowles,,
2024-05-20 22:01:09,8,1,1,0,0.9277777,0.71790123,17 Kelsey Devlin,3,,,,33 Yuge Xiao,,
2024-05-20 22:04:40,9,1,1,0,0.7569445,0.7388889,24 Annika Chan,11,,,,45 Sarah Jeung,,
2024-05-20 22:09:57,10,1,1,0,0.2319444,0.7234568,17 Kelsey Devlin,12,,,,,69 Tahlia Quartin,
2024-05-20 22:13:30,11,1,1,0,0.76388896,0.7567901,10 Lauren Baecher,4,,,,32 Megan Wilson,,
2024-05-20 22:14:43,11,2,1,0,0.5361111,0.5160494,37 Hannah Henkin,3,,,,37 Hannah Henkin,,
2024-05-20 22:15:43,11,3,1,0,0.8541667,0.7191358,55 Sophie Knowles,1,,,,,04 Adelle Pitsas,
2024-05-20 22:18:44,12,1,1,0,0.27361107,0.7141975,17 Kelsey Devlin,5,,,,,16 Erin Rea,
2024-05-20 22:20:39,12,2,1,0,0.83055556,0.48395061,17 Kelsey Devlin,4,,,,36 Jaelee Cruz,,
2024-05-20 22:21:59,12,3,1,1,0.0875,0.69753087,29 Elana Schwam,5,71 Shirlee Wohl,33 Yuge Xiao,16 Erin Rea,,,
2024-05-20 22:25:42,13,1,0,0,0.8694445,0.40987656,24 Annika Chan,2,,,,,10 Lauren Baecher,
2024-05-20 22:26:34,13,2,0,0,0.16944447,0.74012345,24 Annika Chan,8,,,,,06 Rowse,
2024-05-20 22:33:54,14,1,1,1,0.50416666,0.7197531,17 Kelsey Devlin,15,16 Erin Rea,71 Shirlee Wohl,33 Yuge Xiao,,,
2024-05-20 22:37:55,16,1,1,1,0.5222223,0.7246914,71 Shirlee Wohl,5,16 Erin Rea,23 Colette Pellegrini,33 Yuge Xiao,,,
2024-05-20 22:39:29,17,1,0,0,0.7222222,0.69814813,24 Annika Chan,6,,,,24 Annika Chan,,
2024-05-20 22:40:43,17,2,0,0,0.106944405,0.8530864,24 Annika Chan,1,,,,24 Annika Chan,,
2024-05-20 22:45:21,18,1,1,1,0.72222227,0.6993827,69 Tahlia Quartin,10,23 Colette Pellegrini,33 Yuge Xiao,16 Erin Rea,,,
2024-05-20 22:47:58,19,1,0,0,0.25833333,0.57345676,03 Liv Player,2,,,,32 Megan Wilson,,
2024-05-20 22:48:52,19,2,0,0,0.71805555,0.6228395,55 Sophie Knowles,7,,,,03 Liv Player,,
2024-05-20 22:50:53,19,3,0,1,0.64166665,0.30617285,55 Sophie Knowles,1,,55 Sophie Knowles,03 Liv Player,,,
2024-05-20 22:53:57,21,1,1,0,0.73888886,0.5382716,71 Shirlee Wohl,14,,,,,29 Elana Schwam,
2024-05-20 22:57:17,21,2,1,0,0.5208333,0.75493824,10 Lauren Baecher,4,,,,19 Olivia Hampton,,
2024-05-20 23:02:08,22,1,1,0,0.39722225,0.5938272,69 Tahlia Quartin,1,,,,69 Tahlia Quartin,,
2024-05-20 23:02:55,22,2,1,0,0.24722226,0.63827163,71 Shirlee Wohl,2,,,,,23 Colette Pellegrini,
2024-05-20 23:03:28,22,3,1,1,0.225,0.5290123,33 Yuge Xiao,6,36 Jaelee Cruz,33 Yuge Xiao,36 Jaelee Cruz,,,
2024-05-20 23:08:03,24,1,1,1,0.17916666,0.7012346,71 Shirlee Wohl,11,36 Jaelee Cruz,33 Yuge Xiao,52 Caitlin Connell,,,
2024-05-20 23:11:31,25,1,0,0,0.6361111,0.8574074,24 Annika Chan,2,,,,03 Liv Player,,
2024-05-20 23:12:42,25,2,0,0,0.7,0.85493827,24 Annika Chan,9,,,,,15 Caitlin Fitzgerald,
2024-05-20 23:15:26,26,1,1,1,0.24583334,0.6358025,69 Tahlia Quartin,5,29 Elana Schwam,71 Shirlee Wohl,36 Jaelee Cruz,,,
2024-05-20 23:19:11,28,1,1,0,0.5013889,0.53333336,71 Shirlee Wohl,10,,,,71 Shirlee Wohl,,
2024-05-20 23:21:38,28,2,1,0,0.18333334,0.8382716,17 Kelsey Devlin,5,,,,33 Yuge Xiao,,
2024-05-20 23:23:03,28,3,1,0,0.33611113,0.8351852,17 Kelsey Devlin,7,,,,,,
