Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/19/24 21:30,6,02 Maketa Mattimore,0,0,0,0,0.3347902,0.27466977
5/19/24 21:32,7,08 Jamie Smets,0,0,0,0,0.7613636,0.47513598
5/19/24 21:39,7,03 Mary Timmons,0,0,0,0,0.11451049,0.64840716
5/19/24 22:14,12,29 Emily Schloneger,1,0,0,0,0.41695803,0.9273504
5/19/24 22:35,16,23 Lili Hobday,0,0,0,0,0.15646853,0.3174048
5/19/24 22:42,18,24 Abby Swensen,0,0,0,0,0.31206295,0.5769231
5/19/24 23:14,27,34 Lauren Kitten,0,0,0,0,0.25087413,0.3096348
5/19/24 23:16,28,24 Abby Swensen,0,0,0,0,0.28933567,0.74242425
5/19/24 23:56,35,14 Briana Burriss,0,0,0,0,0.03409091,0.75874126
5/20/24 0:13,37,22 Emily Wycoff,0,0,0,0,0.60402095,0.74009323
