Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
5/19/24 21:08,1,1,23 Lili Hobday,34 Lauren Kitten,0,0,0,0,0,0,0,0,0,1,0,13.995167,-0.5968153,-13.982435,0.07255245,0.8263403,0.35926574,0.83177936
5/19/24 21:08,1,1,34 Lauren Kitten,03 Mary Timmons,1,1,0,0,0,0,0,0,0,0,0,10.635155,6.991219,-8.014322,0.35926574,0.83177936,0.5236014,0.7680653
5/19/24 21:14,2,1,92 Charlotte Wilson,91 Samantha Philips,0,0,0,0,0,0,0,0,0,0,0,9.324826,9.293201,0.7673282,0.5183566,0.65384614,0.50262237,0.5691531
5/19/24 21:14,2,1,91 Samantha Philips,40 Claire Milton,0,0,0,0,0,0,0,0,0,0,0,11.936222,7.1617312,9.548979,0.50262237,0.5691531,0.3068182,0.50388503
5/19/24 21:14,2,1,40 Claire Milton,29 Emily Schloneger,0,0,0,0,0,0,0,0,0,0,1,16.483189,10.998382,12.27726,0.3068182,0.50388503,0.05506993,0.4036519
5/19/24 21:14,2,1,29 Emily Schloneger,92 Charlotte Wilson,1,1,0,0,0,0,0,0,0,1,0,13.80902,12.533033,-5.7975945,0.05506993,0.4036519,0.17395104,0.2894328
5/19/24 21:16,2,2,02 Maketa Mattimore,91 Samantha Philips,0,0,0,0,0,0,0,0,1,0,0,8.962314,-3.8366437,8.099582,0.8243007,0.3803419,0.6582168,0.41530693
5/19/24 21:16,2,2,91 Samantha Philips,29 Emily Schloneger,1,1,0,0,0,0,0,0,0,0,0,26.960373,15.943386,21.740978,0.6582168,0.41530693,0.21241258,0.27000776
5/19/24 21:18,2,3,02 Maketa Mattimore,66 Mya Hernandez,0,0,0,0,0,1,0,0,0,0,1,10.764232,6.9912157,-8.184838,0.79108393,0.38344988,0.95891607,0.31973583
5/19/24 21:18,2,3,66 Mya Hernandez,40 Claire Milton,0,0,0,1,1,0,0,0,0,1,0,29.088354,27.197538,10.316307,0.95891607,0.31973583,0.74737763,0.07187257
5/19/24 21:21,4,1,92 Charlotte Wilson,91 Samantha Philips,0,0,0,0,0,0,0,0,1,0,0,11.6243,-9.975269,-5.968111,0.28933567,0.62198913,0.41171327,0.7128982
5/19/24 21:21,4,1,91 Samantha Philips,02 Maketa Mattimore,0,0,0,0,0,0,0,1,0,0,0,15.695948,0.5115494,-15.687609,0.41171327,0.7128982,0.7333916,0.7082362
5/19/24 21:21,4,1,02 Maketa Mattimore,91 Samantha Philips,0,0,0,0,0,0,0,0,1,0,0,9.420608,-3.410347,8.781651,0.7333916,0.7082362,0.55332166,0.7393162
5/19/24 21:21,4,1,91 Samantha Philips,02 Maketa Mattimore,0,0,0,0,0,0,0,0,0,0,0,10.282432,2.8135383,-9.890016,0.55332166,0.7393162,0.7561189,0.7136752
5/19/24 21:22,4,1,02 Maketa Mattimore,40 Claire Milton,0,0,0,0,0,0,0,0,0,0,1,11.5187645,7.9290586,-8.355356,0.7561189,0.7136752,0.92744756,0.64141417
5/19/24 21:22,4,1,40 Claire Milton,02 Maketa Mattimore,0,0,0,0,0,0,0,0,1,1,0,12.863899,-11.765702,5.2007847,0.92744756,0.64141417,0.8208042,0.74864024
5/19/24 21:22,4,1,02 Maketa Mattimore,92 Charlotte Wilson,0,0,0,0,0,0,0,0,1,0,0,13.589345,-1.7904328,13.470881,0.8208042,0.74864024,0.5445804,0.76495725
5/19/24 21:22,4,1,92 Charlotte Wilson,02 Maketa Mattimore,0,0,0,0,0,0,0,0,1,0,0,6.2588315,-2.5577667,-5.7123375,0.5445804,0.76495725,0.6617133,0.7882673
5/19/24 21:22,4,1,02 Maketa Mattimore,66 Mya Hernandez,0,0,0,0,0,0,0,0,0,0,0,19.954556,8.2701025,18.160112,0.6617133,0.7882673,0.28933567,0.7128982
5/19/24 21:22,4,1,66 Mya Hernandez,02 Maketa Mattimore,0,0,0,0,0,0,0,0,0,0,0,9.033002,8.611134,2.7282798,0.28933567,0.7128982,0.23339161,0.6344211
5/19/24 21:23,4,1,02 Maketa Mattimore,24 Abby Swensen,1,1,0,0,0,0,1,0,0,0,0,41.69152,41.69152,0,0.23339161,0.6344211,0.23339161,0.25446776
5/19/24 21:26,5,1,34 Lauren Kitten,06 Risa Umeno,0,0,0,0,0,0,0,0,1,0,0,11.558143,-4.859749,10.486825,0.47814685,0.6888112,0.2631119,0.73310024
5/19/24 21:26,5,1,06 Risa Umeno,34 Lauren Kitten,0,0,0,0,0,0,0,0,0,0,0,11.870577,-0.6820681,-11.8509655,0.2631119,0.73310024,0.5061189,0.7393162
5/19/24 21:26,5,1,34 Lauren Kitten,23 Lili Hobday,0,0,0,0,0,0,0,0,0,0,0,17.19967,11.59519,12.703553,0.5061189,0.7393162,0.24562937,0.6336441
5/19/24 21:26,5,1,23 Lili Hobday,03 Mary Timmons,0,0,0,0,0,0,0,0,1,0,0,7.496955,-2.2167294,-7.1617346,0.24562937,0.6336441,0.39248252,0.65384614
5/19/24 21:27,5,1,03 Mary Timmons,34 Lauren Kitten,0,0,0,0,0,0,0,0,1,0,0,6.0863047,-1.193624,-5.9681125,0.39248252,0.65384614,0.51486015,0.6647242
5/19/24 21:27,5,1,34 Lauren Kitten,06 Risa Umeno,0,0,0,0,0,0,0,0,0,0,0,7.776793,4.77449,-6.1386285,0.51486015,0.6647242,0.64073426,0.6212121
5/19/24 21:27,5,1,06 Risa Umeno,23 Lili Hobday,0,0,0,0,0,0,0,0,0,0,0,19.141489,9.634238,16.540195,0.64073426,0.6212121,0.30157343,0.533411
5/19/24 21:27,5,1,23 Lili Hobday,14 Briana Burriss,0,0,0,0,0,0,0,0,0,0,0,17.579018,16.71071,5.4565597,0.30157343,0.533411,0.18968531,0.3811189
5/19/24 21:27,5,1,14 Briana Burriss,03 Mary Timmons,0,0,0,0,0,0,0,0,0,0,0,7.916219,5.968114,-5.200783,0.18968531,0.3811189,0.29632866,0.32672882
5/19/24 21:28,5,1,03 Mary Timmons,34 Lauren Kitten,0,0,0,0,0,1,0,0,1,0,0,9.233565,-8.099581,-4.433455,0.29632866,0.32672882,0.38723776,0.4005439
5/19/24 21:28,5,1,34 Lauren Kitten,03 Mary Timmons,0,0,0,1,1,0,0,0,0,0,0,35.287025,33.847717,-9.975274,0.38723776,0.4005439,0.5917832,0.092074595
5/19/24 21:30,6,1,02 Maketa Mattimore,40 Claire Milton,0,0,0,1,1,0,0,0,0,0,0,28.352215,24.21348,-14.749762,0.38723776,0.28710178,0.6896853,0.066433564
5/19/24 21:32,7,1,34 Lauren Kitten,22 Emily Wycoff,0,0,0,0,0,0,0,1,0,1,0,22.785788,7.5880246,21.485205,0.9379371,0.513986,0.49737763,0.44483295
5/19/24 21:33,7,1,22 Emily Wycoff,08 Jamie Smets,0,0,0,0,0,0,0,0,0,0,0,24.682367,18.84218,15.943385,0.49737763,0.44483295,0.17045455,0.27311578
5/19/24 21:33,7,1,08 Jamie Smets,03 Mary Timmons,1,1,0,0,0,0,0,0,0,0,1,7.97477,6.9912176,3.8366435,0.17045455,0.27311578,0.09178322,0.20940171
5/19/24 21:34,7,2,34 Lauren Kitten,06 Risa Umeno,0,0,0,0,0,0,0,0,1,0,0,9.516191,-3.666125,-8.7816515,0.35227272,0.8076923,0.5323427,0.8411033
5/19/24 21:34,7,2,06 Risa Umeno,23 Lili Hobday,0,0,0,0,0,0,0,0,0,0,0,8.924518,2.8987975,-8.440616,0.5323427,0.8411033,0.7054196,0.8146853
5/19/24 21:34,7,2,23 Lili Hobday,34 Lauren Kitten,0,0,0,0,0,0,0,0,0,0,0,10.137547,3.154569,9.634238,0.7054196,0.8146853,0.50786716,0.7859363
