Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
02 Maketa Mattimore,20,"2,4,6,7,9,12,13,15,17,18,20,22,24,26,28,30,32,34,35,36",13,7,11,4,66,18,66,56,9,6,1,0,3,3,0,1,0,0,852.91,312.39,13.76,5.04,582.18,-20.97,10.34,-0.37
91 Samantha Philips,20,"2,4,6,7,9,12,13,15,17,18,20,22,24,26,28,30,32,34,35,36",13,7,11,4,49,15,48,46,3,1,5,1,1,1,0,0,0,0,586.52,180.49,12.48,3.84,537.74,23.02,11.69,0.5
92 Charlotte Wilson,19,"2,4,6,7,9,12,13,15,17,18,20,22,24,26,30,32,34,35,36",13,6,11,4,43,15,43,33,9,1,1,0,1,0,1,0,0,0,499.19,140.76,11.61,3.27,350.44,20.72,10.52,0.61
29 Emily Schloneger,18,"2,4,6,7,9,12,13,17,20,22,24,26,28,30,32,34,35,36",12,6,10,3,22,12,21,21,1,1,1,1,2,1,1,1,0,0,230.55,50.13,11.53,2.51,303.81,125.84,14.47,5.99
23 Lili Hobday,17,"1,3,5,8,10,11,14,16,19,21,23,25,27,29,31,33,37",3,14,1,3,21,10,20,19,2,0,0,1,1,1,0,1,0,0,209.62,36.32,11.03,1.91,258.67,114.5,13.61,6.03
08 Jamie Smets,17,"1,3,8,10,11,14,16,19,21,23,25,27,28,31,32,33,37",2,15,1,3,8,6,6,8,0,0,0,2,1,1,0,1,0,0,33.22,-0.09,8.3,-0.02,201.75,185.18,25.22,23.15
24 Abby Swensen,16,"2,4,7,9,12,13,15,17,18,20,24,26,28,34,35,36",10,6,8,3,14,9,10,14,0,2,3,4,0,0,0,2,0,0,151.91,72.98,15.19,7.3,231.91,204.96,17,14.64
22 Emily Wycoff,16,"1,5,8,10,11,14,16,19,21,23,25,27,29,31,33,37",3,13,1,3,5,4,5,5,0,0,0,0,2,2,0,1,0,0,56.1,45.53,18.7,15.18,78.54,53.37,15.71,10.67
40 Claire Milton,16,"2,4,6,7,9,13,15,17,18,20,22,24,26,28,30,36",10,6,9,3,27,14,22,27,0,2,1,5,1,1,0,0,0,0,306.16,161.82,14.58,7.71,441.65,277.69,16.36,10.28
20 Shirley Saunders,15,"6,7,9,12,15,17,18,22,24,26,30,32,34,35,36",9,6,8,4,7,6,7,7,0,1,1,0,1,1,0,0,0,0,88.84,35.55,14.81,5.93,88.9,74.52,12.7,10.65
06 Risa Umeno,15,"1,3,5,8,11,14,16,19,21,23,25,27,29,31,33",3,12,1,2,28,9,26,20,8,1,1,1,0,0,0,0,0,0,292.72,74.26,11.12,2.75,187.82,-3.24,9.39,-0.16
34 Lauren Kitten,15,"1,3,5,8,10,14,16,19,21,25,27,29,31,33,37",3,12,1,3,34,11,33,27,7,3,1,0,7,7,0,1,0,0,369.33,181.17,13.95,6.71,264.89,27.37,9.81,1.01
33 Jalyn Baumgartner,14,"3,5,8,10,11,16,19,21,23,27,29,31,33,37",3,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03 Mary Timmons,14,"1,3,5,10,11,14,16,19,23,25,27,29,33,37",2,12,1,3,9,6,8,9,0,0,1,1,0,0,0,1,0,0,105.95,39.9,13.24,4.99,130.23,67.95,14.47,7.55
66 Mya Hernandez,14,"2,4,6,12,13,15,18,20,22,28,30,32,34,35",10,4,8,3,21,13,17,21,0,1,1,3,0,0,0,0,0,0,208.48,81.08,11.92,4.5,314.92,256.37,15,12.21
14 Briana Burriss,13,"1,3,5,8,10,11,14,21,23,25,29,31,37",3,10,1,1,3,3,3,3,0,0,0,0,0,0,0,1,0,0,26.48,19.95,8.83,6.65,44.52,24.98,14.84,8.33
