Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
5/19/24 20:31,1,0,0,0,0,1,2,1,1,0,0,1,,,
5/19/24 21:10,2,0,1,1,1,3,8,2,2,0,0,2,02 Maketa Mattimore,66 Mya Hernandez,40 Claire Milton
5/19/24 21:18,3,1,1,0,0,0,0,0,0,0,0,0,,,
5/19/24 21:20,4,1,2,1,0,1,11,1,1,0,0,0,,,
5/19/24 21:23,5,1,3,1,1,1,11,0,0,0,0,0,03 Mary Timmons,34 Lauren Kitten,03 Mary Timmons
5/19/24 21:28,6,2,3,0,1,1,1,0,0,0,1,0,,02 Maketa Mattimore,40 Claire Milton
5/19/24 21:30,7,3,3,0,0,4,60,4,4,0,2,2,,,
5/19/24 21:54,8,3,4,1,0,1,2,1,1,0,0,0,,,
5/19/24 21:58,9,3,5,1,1,1,10,0,0,0,0,0,29 Emily Schloneger,02 Maketa Mattimore,24 Abby Swensen
5/19/24 22:03,10,4,5,0,1,1,1,0,0,0,0,1,,34 Lauren Kitten,08 Jamie Smets
5/19/24 22:05,11,5,5,0,0,1,3,1,1,0,0,1,,,
5/19/24 22:09,12,5,6,1,0,2,11,2,2,0,1,0,,,
5/19/24 22:17,13,5,7,1,1,1,6,0,0,0,0,0,24 Abby Swensen,29 Emily Schloneger,66 Mya Hernandez
5/19/24 22:21,14,6,7,0,0,0,0,0,0,0,0,0,,,
5/19/24 22:22,15,6,8,1,1,1,30,0,0,0,0,0,66 Mya Hernandez,02 Maketa Mattimore,24 Abby Swensen
5/19/24 22:30,16,7,8,0,1,2,16,1,1,0,1,1,34 Lauren Kitten,06 Risa Umeno,23 Lili Hobday
5/19/24 22:36,17,8,8,0,0,0,0,0,0,0,0,0,,,
5/19/24 22:39,18,8,9,0,1,1,6,0,0,0,1,0,40 Claire Milton,24 Abby Swensen,66 Mya Hernandez
5/19/24 22:44,19,9,9,0,0,1,4,1,1,0,0,1,,,
5/19/24 22:47,20,9,10,1,1,1,8,0,0,0,0,0,91 Samantha Philips,40 Claire Milton,24 Abby Swensen
5/19/24 22:50,21,10,10,0,0,0,0,0,0,0,0,0,,,
5/19/24 22:53,22,10,11,1,1,1,28,0,0,0,0,0,91 Samantha Philips,40 Claire Milton,66 Mya Hernandez
5/19/24 22:58,23,11,11,0,0,0,0,0,0,0,0,0,,,
5/19/24 22:59,24,11,12,1,1,1,8,0,0,0,0,0,91 Samantha Philips,24 Abby Swensen,40 Claire Milton
5/19/24 23:01,25,12,12,0,0,0,0,0,0,0,0,0,,,
5/19/24 23:02,26,12,13,1,1,1,6,0,0,0,0,0,24 Abby Swensen,02 Maketa Mattimore,40 Claire Milton
5/19/24 23:09,27,13,13,0,1,2,12,1,1,0,1,1,06 Risa Umeno,34 Lauren Kitten,06 Risa Umeno
5/19/24 23:14,28,14,13,0,0,2,8,2,1,1,1,1,,,
5/19/24 23:21,29,14,14,1,0,1,0,0,0,0,0,0,,,
5/19/24 23:30,30,14,15,1,1,1,17,0,0,0,0,0,91 Samantha Philips,02 Maketa Mattimore,29 Emily Schloneger
5/19/24 23:36,31,15,15,0,0,0,0,0,0,0,0,0,,,
5/19/24 23:38,32,15,16,1,1,2,22,1,0,1,0,1,91 Samantha Philips,20 Shirley Saunders,08 Jamie Smets
5/19/24 23:46,33,16,16,0,0,1,11,1,1,0,0,1,,,
5/19/24 23:51,34,16,17,1,1,1,11,0,0,0,0,0,24 Abby Swensen,92 Charlotte Wilson,24 Abby Swensen
5/19/24 23:54,35,17,17,0,1,1,7,0,0,0,1,0,20 Shirley Saunders,02 Maketa Mattimore,91 Samantha Philips
5/20/24 0:02,36,18,17,0,1,1,11,0,0,0,0,1,92 Charlotte Wilson,91 Samantha Philips,40 Claire Milton
5/20/24 0:11,37,19,17,0,0,1,7,1,1,0,1,0,,,
5/20/24 0:15,38,19,18,1,0,0,0,0,0,0,0,0,,,
