Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
5/19/24 21:08,1,1,0,0,0.07255245,0.8263403,23 Lili Hobday,2,,,,34 Lauren Kitten,,
5/19/24 21:13,2,1,1,0,0.5183566,0.65384614,92 Charlotte Wilson,4,,,,29 Emily Schloneger,,
5/19/24 21:15,2,2,1,0,0.8243007,0.3803419,02 Maketa Mattimore,2,,,,91 Samantha Philips,,
5/19/24 21:17,2,3,1,1,0.79108393,0.38344988,02 Maketa Mattimore,2,02 Maketa Mattimore,66 Mya Hernandez,40 Claire Milton,,,
5/19/24 21:21,4,1,1,0,0.28933567,0.62198913,92 Charlotte Wilson,11,,,,02 Maketa Mattimore,,
5/19/24 21:26,5,1,1,1,0.47814685,0.6888112,34 Lauren Kitten,11,03 Mary Timmons,34 Lauren Kitten,03 Mary Timmons,,,
5/19/24 21:30,6,1,0,1,0.38723776,0.28710178,02 Maketa Mattimore,1,,02 Maketa Mattimore,40 Claire Milton,,,
5/19/24 21:32,7,1,0,0,0.9379371,0.513986,34 Lauren Kitten,3,,,,08 Jamie Smets,,
5/19/24 21:34,7,2,0,0,0.35227272,0.8076923,34 Lauren Kitten,10,,,,34 Lauren Kitten,,
5/19/24 21:37,7,3,0,0,0.3784965,0.82090133,06 Risa Umeno,7,,,,34 Lauren Kitten,,
5/19/24 21:39,7,4,0,0,0,0.6274281,06 Risa Umeno,40,,,,40 Claire Milton,,
5/19/24 21:57,8,1,1,0,0.46066433,0.8426573,06 Risa Umeno,2,,,,34 Lauren Kitten,,
5/19/24 21:58,9,1,1,1,0.2298951,0.65229213,92 Charlotte Wilson,10,29 Emily Schloneger,02 Maketa Mattimore,24 Abby Swensen,,,
5/19/24 22:05,10,1,0,1,0.6442308,0.524864,34 Lauren Kitten,1,,34 Lauren Kitten,08 Jamie Smets,,,
5/19/24 22:07,11,1,0,0,0.92045456,0.47047397,06 Risa Umeno,3,,,,23 Lili Hobday,,
5/19/24 22:11,12,1,1,0,0.5061189,0.9079254,92 Charlotte Wilson,6,,,,20 Shirley Saunders,,
5/19/24 22:14,12,2,1,0,0.41695803,0.9273504,29 Emily Schloneger,5,,,,02 Maketa Mattimore,,
5/19/24 22:18,13,1,1,1,0.5270979,0.58313906,91 Samantha Philips,6,24 Abby Swensen,29 Emily Schloneger,66 Mya Hernandez,,,
5/19/24 22:23,15,1,1,1,0.72115386,0.66161615,92 Charlotte Wilson,30,66 Mya Hernandez,02 Maketa Mattimore,24 Abby Swensen,,,
5/19/24 22:32,16,1,0,0,0.50961536,0.83100235,06 Risa Umeno,11,,,,34 Lauren Kitten,,
5/19/24 22:35,16,2,0,1,0.16695805,0.30730382,06 Risa Umeno,5,34 Lauren Kitten,06 Risa Umeno,23 Lili Hobday,,,
5/19/24 22:43,18,1,0,1,0.3277972,0.66394717,02 Maketa Mattimore,6,40 Claire Milton,24 Abby Swensen,66 Mya Hernandez,,,
5/19/24 22:46,19,1,0,0,0.21241258,0.72688425,23 Lili Hobday,4,,,,22 Emily Wycoff,,
5/19/24 22:48,20,1,1,1,0.53583914,0.5777001,02 Maketa Mattimore,8,91 Samantha Philips,40 Claire Milton,24 Abby Swensen,,,
5/19/24 22:54,22,1,1,1,0.97814685,0.6934732,92 Charlotte Wilson,28,91 Samantha Philips,40 Claire Milton,66 Mya Hernandez,,,
5/19/24 23:00,24,1,1,1,0.6005245,0.7090132,92 Charlotte Wilson,8,91 Samantha Philips,24 Abby Swensen,40 Claire Milton,,,
5/19/24 23:03,26,1,1,1,0.6896853,0.76651126,92 Charlotte Wilson,6,24 Abby Swensen,02 Maketa Mattimore,40 Claire Milton,,,
5/19/24 23:10,27,1,0,0,0.25262237,0.6367521,06 Risa Umeno,9,,,,22 Emily Wycoff,,
5/19/24 23:14,27,2,0,1,0.29632866,0.31118882,34 Lauren Kitten,3,06 Risa Umeno,34 Lauren Kitten,06 Risa Umeno,,,
5/19/24 23:17,28,1,0,0,0.64597905,0.7229992,91 Samantha Philips,2,,,,02 Maketa Mattimore,,
5/19/24 23:19,28,2,0,0,0.27534965,0.75951827,02 Maketa Mattimore,6,,,,,29 Emily Schloneger,
5/19/24 23:27,29,1,1,0,0.4694056,0.18997669,,0,,,,,,
5/19/24 23:33,30,1,1,1,0.618007,0.73543125,92 Charlotte Wilson,17,91 Samantha Philips,02 Maketa Mattimore,29 Emily Schloneger,,,
5/19/24 23:39,32,1,1,0,0.38898602,0.6258741,91 Samantha Philips,13,,,,,92 Charlotte Wilson,
5/19/24 23:44,32,2,1,1,0.9064685,0.8123543,02 Maketa Mattimore,9,91 Samantha Philips,20 Shirley Saunders,08 Jamie Smets,,,
5/19/24 23:47,33,1,0,0,0.24562937,0.7066822,06 Risa Umeno,11,,,,34 Lauren Kitten,,
5/19/24 23:52,34,1,1,1,0.5270979,0.6134421,02 Maketa Mattimore,11,24 Abby Swensen,92 Charlotte Wilson,24 Abby Swensen,,,
5/19/24 23:56,35,1,0,1,0.027097901,0.75563323,02 Maketa Mattimore,7,20 Shirley Saunders,02 Maketa Mattimore,91 Samantha Philips,,,
5/20/24 0:04,36,1,0,1,0.7229021,0.82245535,34 Lauren Kitten,11,92 Charlotte Wilson,91 Samantha Philips,40 Claire Milton,,,
5/20/24 0:13,37,1,0,0,0.611014,0.74164724,34 Lauren Kitten,7,,,,34 Lauren Kitten,,
