Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-25 12:36:26,1,1,96 Nina Finley,33 Valeria Cardenas,0,0,0,0,0,0,0,1,0,0,0,16.99081,-4.698498,16.328249,0.7185185,0.5487483,0.38370368,0.5915678
2024-05-25 12:36:28,1,1,33 Valeria Cardenas,96 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,19.44839,0.7228403,-19.434952,0.38370368,0.5915678,0.7822222,0.58498025
2024-05-25 12:36:32,1,1,96 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,1,18.158876,15.541187,-9.392354,0.7822222,0.58498025,0.9748148,0.4433465
2024-05-25 12:36:37,1,1,24 Jolie Krebs,00 Genny De Jesus,0,0,0,0,0,0,0,1,0,1,0,16.490042,-4.120221,15.967006,0.9748148,0.4433465,0.64740735,0.4808959
2024-05-25 12:36:45,1,1,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,0,0,1,0,0,0,20.067444,-2.8191006,19.868443,0.64740735,0.4808959,0.24,0.5065876
2024-05-25 12:36:48,1,1,33 Valeria Cardenas,20 Yina Cartagena,0,0,0,0,0,0,0,1,0,0,0,16.652931,-3.6142278,-16.255999,0.24,0.5065876,0.5733333,0.5395257
2024-05-25 12:36:50,1,1,20 Yina Cartagena,21 Montana Roberts,0,0,0,0,0,0,0,1,0,0,1,17.92552,6.722465,-16.617243,0.5733333,0.5395257,0.914074,0.47826087
2024-05-25 12:36:52,1,1,21 Montana Roberts,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,1,18.520853,18.432568,-1.806227,0.914074,0.47826087,0.95111114,0.3102767
2024-05-25 12:36:59,1,1,00 Genny De Jesus,33 Valeria Cardenas,0,0,0,0,0,0,0,0,1,1,0,21.553368,-9.613846,19.290455,0.95111114,0.3102767,0.5555556,0.39789194
2024-05-25 12:37:04,1,1,33 Valeria Cardenas,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,1,21.294807,10.55355,-18.495714,0.5555556,0.39789194,0.9348148,0.30171275
