Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
08 Manuela Cardenas,24,"2,4,6,7,9,10,12,14,16,18,19,21,22,24,26,27,29,30,31,33,34,35,37,38",3,21,2,8,37,12,36,37,0,2,5,1,3,3,0,0,0,0,583.98,99.54,18.25,3.11,584.5,215.19,15.8,5.82
33 Valeria Cardenas,24,"1,3,4,5,7,8,9,11,12,13,15,17,18,20,21,23,24,25,26,28,29,31,32,36",14,10,13,5,68,21,65,54,14,0,7,3,0,0,0,1,0,0,"1,144.37",491.9,17.61,7.57,909.25,175.94,16.84,3.26
31 Eli Presberg,21,"2,4,6,7,9,10,12,14,16,19,21,24,26,27,29,30,31,33,35,37,38",2,19,1,7,25,12,23,22,3,2,0,2,1,0,1,0,0,0,314.8,128.96,13.69,5.61,350.01,132.21,15.91,6.01
24 Jolie Krebs,20,"1,3,5,8,9,11,13,15,17,18,20,23,25,26,28,29,32,34,35,36",15,5,14,4,27,16,24,27,0,1,2,3,2,2,0,1,0,0,328.88,28.12,14.95,1.28,435.39,214.03,16.13,7.93
00 Genny De Jesus,20,"1,3,5,8,9,11,13,15,17,18,20,23,25,26,28,29,32,34,35,36",15,5,14,4,24,16,22,24,0,1,2,2,0,0,0,0,0,0,357.31,13.52,16.24,0.61,389.74,71.63,16.24,2.98
96 Nina Finley,19,"1,3,5,8,11,13,15,17,18,20,22,23,25,28,32,34,35,36,37",15,4,14,1,28,15,24,23,5,1,0,4,0,0,0,1,0,0,346.58,50.38,14.44,2.1,389.3,143.27,16.93,6.23
21 Montana Roberts,18,"1,3,5,8,9,11,13,15,17,20,23,25,28,29,32,34,35,36",15,3,14,2,7,6,6,7,0,1,0,1,1,1,0,0,0,0,81.99,22.7,16.4,4.54,107.89,71.56,15.41,10.22
09 Cassandra Brown,18,"2,4,6,7,10,12,14,16,19,21,22,24,27,30,31,33,37,38",2,16,1,4,19,8,19,14,5,1,1,0,0,0,0,1,0,0,350.11,151.8,18.43,7.99,232.98,11.35,16.64,0.81
20 Yina Cartagena,16,"1,3,5,8,11,13,15,17,18,20,23,25,28,32,34,36",15,1,14,1,48,17,48,44,4,9,3,0,0,0,0,0,0,0,809.77,457.27,17.23,9.73,728.93,288.2,16.57,6.55
02 Jolene Zheng,16,"1,3,5,8,11,13,15,17,18,20,23,25,28,32,34,36",15,1,14,1,10,8,7,10,0,1,0,3,2,1,1,0,0,0,71.68,26.31,11.95,4.39,149.51,95.7,14.95,9.57
88 Nikki Hair,15,"2,6,9,10,14,16,19,22,26,27,29,30,33,35,38",2,13,1,6,2,2,1,2,0,0,0,1,0,0,0,0,0,0,18.04,-3.47,18.04,-3.47,47.13,22.84,23.57,11.42
19 Estelle Ding,12,"2,6,10,14,16,19,22,26,27,30,33,38",2,10,1,4,6,4,6,6,0,1,1,0,1,1,0,0,0,0,59.47,32.31,11.89,6.46,97.16,28.19,16.19,4.7
26 Mariabelen Restrepo,11,"2,6,10,14,16,19,22,27,30,33,38",2,9,1,3,3,3,3,3,0,1,0,0,0,0,0,1,0,0,48.11,23.85,16.04,7.95,47.07,28.05,15.69,9.35
62 Casey Banta-Ryan,11,"2,6,10,14,16,19,22,27,30,33,38",2,9,1,3,2,2,2,1,1,0,0,0,0,0,0,2,0,0,15.6,10.91,7.8,5.46,12.54,12.43,12.54,12.43
97 Hannah Glick,7,"4,7,12,21,24,31,37",0,7,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16.44,16.34,16.44,16.34
65 Anna Lieberman,7,"4,7,12,21,24,31,37",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 Kylie Sterling,6,"4,7,12,21,24,31",0,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.15,-4.77,9.15,-4.77,20.15,-19.44,20.15,-19.44
23 Linnea Soo,1,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
