Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2024-05-25 12:33:19,1,0,0,1,1,1,12,0,0,0,0,0,24 Jolie Krebs,20 Yina Cartagena,02 Jolene Zheng
2024-05-25 12:37:17,2,1,0,0,0,0,0,0,0,0,0,0,,,
2024-05-25 12:38:45,3,1,1,1,1,2,9,1,0,1,1,0,33 Valeria Cardenas,20 Yina Cartagena,24 Jolie Krebs
2024-05-25 12:40:54,4,2,1,0,0,0,0,0,0,0,0,0,,,
2024-05-25 12:42:42,5,2,2,1,1,1,12,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,24 Jolie Krebs
2024-05-25 12:45:13,6,3,2,0,1,1,10,0,0,0,0,1,19 Estelle Ding,08 Manuela Cardenas,31 Eli Presberg
2024-05-25 12:47:40,7,4,2,0,0,0,0,0,0,0,0,0,,,
2024-05-25 12:48:46,8,4,3,1,1,1,7,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,02 Jolene Zheng
2024-05-25 12:50:11,9,5,3,0,1,1,5,0,0,0,0,1,08 Manuela Cardenas,31 Eli Presberg,00 Genny De Jesus
2024-05-25 12:51:25,10,6,3,0,0,1,7,1,1,0,1,0,,,
2024-05-25 12:53:38,11,6,4,1,1,1,8,0,0,0,0,0,24 Jolie Krebs,20 Yina Cartagena,33 Valeria Cardenas
2024-05-25 12:54:51,12,7,4,0,0,0,0,0,0,0,0,0,,,
2024-05-25 12:55:42,13,7,5,1,1,1,14,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,33 Valeria Cardenas
2024-05-25 12:57:35,14,8,5,0,0,0,0,0,0,0,0,0,,,
2024-05-25 12:59:11,15,8,6,1,0,1,10,1,1,0,0,0,,,
2024-05-25 13:03:13,16,8,7,1,0,1,3,1,0,1,0,0,,,
2024-05-25 13:06:12,17,8,8,1,1,1,12,0,0,0,0,0,00 Genny De Jesus,24 Jolie Krebs,33 Valeria Cardenas
2024-05-25 13:07:42,18,9,8,0,1,3,18,2,2,0,1,2,33 Valeria Cardenas,08 Manuela Cardenas,02 Jolene Zheng
2024-05-25 13:20:42,20,11,8,1,1,1,10,0,0,0,0,0,20 Yina Cartagena,02 Jolene Zheng,21 Montana Roberts
2024-05-25 13:21:54,21,12,8,0,1,1,11,0,0,0,1,0,08 Manuela Cardenas,09 Cassandra Brown,08 Manuela Cardenas
2024-05-25 13:24:24,22,13,8,0,0,0,0,0,0,0,0,0,,,
2024-05-25 13:26:31,23,13,9,1,1,1,4,0,0,0,0,0,33 Valeria Cardenas,00 Genny De Jesus,96 Nina Finley
2024-05-25 13:27:39,24,14,9,0,0,0,0,0,0,0,0,0,,,
2024-05-25 13:28:32,25,14,10,1,1,2,15,1,1,0,0,1,20 Yina Cartagena,96 Nina Finley,00 Genny De Jesus
2024-05-25 13:30:41,26,15,10,0,1,1,12,0,0,0,1,0,08 Manuela Cardenas,19 Estelle Ding,31 Eli Presberg
2024-05-25 13:32:58,27,16,10,0,0,0,0,0,0,0,0,0,,,
2024-05-25 13:34:19,28,16,11,1,1,1,13,0,0,0,0,0,20 Yina Cartagena,21 Montana Roberts,96 Nina Finley
2024-05-25 13:42:58,30,18,11,0,1,1,4,0,0,0,1,0,09 Cassandra Brown,31 Eli Presberg,88 Nikki Hair
2024-05-25 13:44:51,31,19,11,0,0,0,0,0,0,0,0,0,,,
2024-05-25 13:45:41,32,19,12,1,1,1,10,0,0,0,0,0,00 Genny De Jesus,20 Yina Cartagena,24 Jolie Krebs
2024-05-25 13:47:47,33,20,12,0,0,1,7,1,1,0,0,1,,,
2024-05-25 13:52:48,34,20,13,1,1,1,15,0,0,0,0,0,08 Manuela Cardenas,20 Yina Cartagena,96 Nina Finley
2024-05-25 13:55:54,35,21,13,0,0,0,0,0,0,0,0,0,,,
2024-05-25 13:57:37,36,21,14,1,1,1,10,0,0,0,0,0,33 Valeria Cardenas,20 Yina Cartagena,96 Nina Finley
2024-05-25 13:59:21,37,22,14,0,0,0,0,0,0,0,0,0,,,
2024-05-25 14:01:06,38,22,15,1,0,2,15,1,1,0,1,0,08 Manuela Cardenas,26 Mariabelen Restrepo,
2024-05-25 14:04:11,39,23,15,0,0,0,0,0,0,0,0,0,,,
