Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-05-25 12:36:21,1,1,1,1,0.7185185,0.5487483,96 Nina Finley,12,24 Jolie Krebs,20 Yina Cartagena,02 Jolene Zheng,,,
2024-05-25 12:39:22,3,1,1,0,0.6933333,0.77470356,33 Valeria Cardenas,5,,,,,02 Jolene Zheng,
2024-05-25 12:40:21,3,2,1,1,0.5348148,0.6113307,33 Valeria Cardenas,4,33 Valeria Cardenas,20 Yina Cartagena,24 Jolie Krebs,,,
2024-05-25 12:44:09,5,1,1,1,0.5777778,0.6166008,20 Yina Cartagena,12,33 Valeria Cardenas,20 Yina Cartagena,24 Jolie Krebs,,,
2024-05-25 12:46:57,6,1,0,1,0.20740736,0.76811594,31 Eli Presberg,10,19 Estelle Ding,08 Manuela Cardenas,31 Eli Presberg,,,
2024-05-25 12:49:18,8,1,1,1,0.5851851,0.6561265,96 Nina Finley,7,33 Valeria Cardenas,20 Yina Cartagena,02 Jolene Zheng,,,
2024-05-25 12:51:06,9,1,0,1,0.6,0.4624506,33 Valeria Cardenas,5,08 Manuela Cardenas,31 Eli Presberg,00 Genny De Jesus,,,
2024-05-25 12:52:31,10,1,0,0,0.29185182,0.66007906,31 Eli Presberg,7,,,,19 Estelle Ding,,
2024-05-25 12:54:17,11,1,1,1,0.4311111,0.6699605,20 Yina Cartagena,8,24 Jolie Krebs,20 Yina Cartagena,33 Valeria Cardenas,,,
2024-05-25 12:56:08,13,1,1,1,0.8696297,0.627141,33 Valeria Cardenas,14,33 Valeria Cardenas,20 Yina Cartagena,33 Valeria Cardenas,,,
2024-05-25 12:59:55,15,1,1,0,0.5837037,0.66864294,20 Yina Cartagena,10,,,,24 Jolie Krebs,,
2024-05-25 13:04:40,16,1,1,0,0.48740742,0.6765481,31 Eli Presberg,3,,,,,31 Eli Presberg,
2024-05-25 13:06:46,17,1,1,1,0.20740736,0.6482214,33 Valeria Cardenas,12,00 Genny De Jesus,24 Jolie Krebs,33 Valeria Cardenas,,,
2024-05-25 13:10:07,18,1,0,0,0.91259265,0.85375494,09 Cassandra Brown,10,,,,97 Hannah Glick,,
2024-05-25 13:12:22,18,2,0,0,0.54370373,0.6192359,20 Yina Cartagena,2,,,,24 Jolie Krebs,,
2024-05-25 13:14:18,18,3,0,1,0.46370375,0.71014494,96 Nina Finley,6,33 Valeria Cardenas,08 Manuela Cardenas,02 Jolene Zheng,,,
2024-05-25 13:18:35,19,1,0,0,0.09777778,0.84914356,09 Cassandra Brown,9,,,,08 Manuela Cardenas,,
2024-05-25 13:21:10,20,1,1,1,0.91555554,0.6422925,33 Valeria Cardenas,10,20 Yina Cartagena,02 Jolene Zheng,21 Montana Roberts,,,
2024-05-25 13:23:36,21,1,0,1,0.44740742,0.7615284,09 Cassandra Brown,11,08 Manuela Cardenas,09 Cassandra Brown,08 Manuela Cardenas,,,
2024-05-25 13:26:57,23,1,1,1,0.07111111,0.6488801,33 Valeria Cardenas,4,33 Valeria Cardenas,00 Genny De Jesus,96 Nina Finley,,,
2024-05-25 13:28:58,25,1,1,0,0.04888889,0.5632411,96 Nina Finley,10,,,,02 Jolene Zheng,,
2024-05-25 13:30:12,25,2,1,1,0.023703748,0.65217394,33 Valeria Cardenas,5,20 Yina Cartagena,96 Nina Finley,00 Genny De Jesus,,,
2024-05-25 13:31:48,26,1,0,1,0.4888889,0.43544137,33 Valeria Cardenas,12,08 Manuela Cardenas,19 Estelle Ding,31 Eli Presberg,,,
2024-05-25 13:34:58,28,1,1,1,0.2118518,0.6508564,33 Valeria Cardenas,13,20 Yina Cartagena,21 Montana Roberts,96 Nina Finley,,,
2024-05-25 13:38:08,29,1,0,0,0.53481483,0.58168644,33 Valeria Cardenas,26,,,,08 Manuela Cardenas,,
2024-05-25 13:44:25,30,1,0,1,0.20740736,0.5500659,09 Cassandra Brown,4,09 Cassandra Brown,31 Eli Presberg,88 Nikki Hair,,,
2024-05-25 13:46:13,32,1,1,1,0.8385185,0.59222656,96 Nina Finley,10,00 Genny De Jesus,20 Yina Cartagena,24 Jolie Krebs,,,
2024-05-25 13:49:20,33,1,0,0,0.33037043,0.83860344,09 Cassandra Brown,7,,,,08 Manuela Cardenas,,
2024-05-25 13:53:09,34,1,1,1,0.29629624,0.65942025,33 Valeria Cardenas,15,08 Manuela Cardenas,20 Yina Cartagena,96 Nina Finley,,,
2024-05-25 13:58:17,36,1,1,1,0.5288889,0.5902503,33 Valeria Cardenas,10,33 Valeria Cardenas,20 Yina Cartagena,96 Nina Finley,,,
2024-05-25 14:01:25,38,1,1,0,0.8162963,0.5566535,33 Valeria Cardenas,7,,,,21 Montana Roberts,,
2024-05-25 14:03:18,38,2,1,0,0.96444446,0.38932806,62 Casey Banta-Ryan,8,08 Manuela Cardenas,26 Mariabelen Restrepo,,,,
