Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-05-20 13:45:31,2,1,23 Natalie Bova,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,12.155459,5.8040504,-10.680271,0.25925925,0.7312366,0.47826087,0.6783417
2024-05-20 13:45:40,2,1,20 Danielle Walsh,01 Emily Shields,0,0,0,0,0,0,0,0,0,0,0,11.358663,11.059075,2.5915368,0.47826087,0.6783417,0.42512077,0.5775554
2024-05-20 13:45:54,2,1,01 Emily Shields,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,0,12.384523,10.431612,6.67517,0.42512077,0.5775554,0.28824475,0.4824875
2024-05-20 13:46:25,2,1,03 Rachel Alfano,23 Natalie Bova,0,0,0,0,0,1,0,0,0,0,0,9.405524,7.137418,-6.1254506,0.28824475,0.4824875,0.41384864,0.41744104
2024-05-20 13:46:27,2,1,23 Natalie Bova,09 Sarah Hirannet,0,0,0,1,1,0,0,0,0,0,0,36.01321,34.90276,8.874049,0.41384864,0.41744104,0.23188406,0.09935668
2024-05-20 13:48:55,3,1,04 Raha Mozaffari,11 Sara Liang,0,0,0,0,0,0,0,1,0,0,0,16.648659,-7.8433185,-14.685373,0.19484702,0.46247318,0.49597424,0.53395283
2024-05-20 13:49:02,3,1,11 Sara Liang,24 Casey Gorman,0,0,0,0,0,0,0,0,0,0,0,16.039366,13.804238,8.167266,0.49597424,0.53395283,0.32850242,0.40814868
2024-05-20 13:49:24,3,1,24 Casey Gorman,13 Kat Harper,1,1,0,0,0,0,0,1,0,0,0,16.203863,2.9020286,-15.941876,0.32850242,0.40814868,0.65539455,0.3817012
2024-05-20 13:52:08,4,1,23 Natalie Bova,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,8.7712965,7.843322,-3.92657,0.4074074,0.7491065,0.4879227,0.67762685
2024-05-20 13:52:57,4,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,8.691103,-6.6668205,-5.5757313,0.4879227,0.67762685,0.60225445,0.73838454
2024-05-20 13:53:38,4,1,10 Andrea DeSabato,09 Sarah Hirannet,0,0,0,0,0,0,0,0,0,0,0,12.048268,8.78451,-8.245796,0.60225445,0.73838454,0.77133656,0.6583274
2024-05-20 13:53:41,4,1,09 Sarah Hirannet,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,0,9.96396,9.255117,3.6909754,0.77133656,0.6583274,0.6956522,0.5739814
2024-05-20 13:53:43,4,1,03 Rachel Alfano,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,6.9261403,-4.000092,5.6542625,0.6956522,0.5739814,0.5797101,0.610436
2024-05-20 13:53:57,4,1,10 Andrea DeSabato,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,12.354335,10.902206,5.8113227,0.5797101,0.610436,0.4605475,0.5110794
2024-05-20 13:54:03,4,1,22 Liz Hart,01 Emily Shields,0,0,0,0,0,0,0,0,0,0,0,10.168552,6.8236895,-7.539014,0.4605475,0.5110794,0.61513686,0.44889206
2024-05-20 13:54:06,4,1,01 Emily Shields,09 Sarah Hirannet,0,0,0,0,0,0,0,0,0,0,0,10.595825,9.961012,-3.6124454,0.61513686,0.44889206,0.68921095,0.35811293
2024-05-20 13:54:31,4,1,09 Sarah Hirannet,01 Emily Shields,0,0,0,0,0,1,0,0,0,0,0,15.706465,15.372899,-3.2197862,0.68921095,0.35811293,0.75523347,0.21801287
2024-05-20 13:54:45,4,1,01 Emily Shields,03 Rachel Alfano,0,0,0,1,1,0,0,0,0,0,0,17.100971,13.098339,10.994396,0.75523347,0.21801287,0.52979064,0.09864189
2024-05-20 13:57:54,6,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,12.59461,-0.86276996,-12.565024,0.28180355,0.7069335,0.5394525,0.7147963
2024-05-20 13:57:55,6,1,10 Andrea DeSabato,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,0,14.612042,6.9021206,-12.87915,0.5394525,0.7147963,0.8035427,0.6518942
2024-05-20 13:58:20,6,1,03 Rachel Alfano,23 Natalie Bova,0,0,0,0,0,0,0,0,0,0,0,16.629501,16.627832,-0.23559318,0.8035427,0.6518942,0.8083736,0.5003574
2024-05-20 13:58:23,6,1,23 Natalie Bova,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,11.484544,-5.9609194,9.816424,0.8083736,0.5003574,0.60708535,0.5546819
2024-05-20 13:58:27,6,1,10 Andrea DeSabato,09 Sarah Hirannet,0,0,0,0,0,0,0,0,0,0,0,14.455911,12.863037,6.596638,0.60708535,0.5546819,0.47181964,0.43745533
2024-05-20 13:59:10,6,1,09 Sarah Hirannet,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,10.183425,3.4510603,-9.580832,0.47181964,0.43745533,0.66827697,0.40600428
2024-05-20 13:59:22,6,1,22 Liz Hart,10 Andrea DeSabato,0,0,0,0,0,0,0,0,1,0,0,8.880092,-6.19622,-6.361045,0.66827697,0.40600428,0.7987118,0.46247318
2024-05-20 13:59:23,6,1,10 Andrea DeSabato,22 Liz Hart,1,1,0,0,0,0,0,0,0,0,0,18.343098,17.882761,4.0836344,0.7987118,0.46247318,0.71497583,0.29949963
2024-05-20 14:01:22,7,1,23 Natalie Bova,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,7.7667923,7.137421,-3.0627246,0.47342995,0.66404575,0.5362319,0.59899926
2024-05-20 14:01:26,7,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,11.205392,1.0980637,-11.15146,0.5362319,0.59899926,0.7648953,0.5889921
2024-05-20 14:01:40,7,1,10 Andrea DeSabato,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,1,13.27073,12.314005,-4.94748,0.7648953,0.5889921,0.86634463,0.47676912
2024-05-20 14:01:44,7,1,03 Rachel Alfano,01 Emily Shields,0,0,0,0,0,0,0,0,0,1,0,24.895372,23.137783,9.188175,0.86634463,0.47676912,0.6779388,0.26590422
2024-05-20 14:01:47,7,1,01 Emily Shields,16 Grace Maroon,0,0,0,0,0,0,0,0,0,0,0,8.895913,3.1373272,8.324329,0.6779388,0.26590422,0.5072464,0.23731236
2024-05-20 14:02:29,7,1,16 Grace Maroon,03 Rachel Alfano,0,0,0,0,0,1,0,0,0,0,0,6.8890595,5.098156,4.6333523,0.5072464,0.23731236,0.41223833,0.1908506
2024-05-20 14:02:31,7,1,03 Rachel Alfano,20 Danielle Walsh,0,0,0,1,1,0,0,0,0,0,0,6.732865,5.0981545,-4.3977594,0.41223833,0.1908506,0.5024155,0.14438885
2024-05-20 14:05:36,9,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,14.854363,4.3138237,-14.214185,0.25442833,0.72051466,0.5458937,0.68120086
2024-05-20 14:05:41,9,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,1,0,0,0,17.311768,-1.0980637,17.276909,0.5458937,0.68120086,0.19162641,0.691208
2024-05-20 14:05:44,9,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,1,0,0,0,15.915993,2.039265,-15.78481,0.19162641,0.691208,0.5152979,0.6726233
2024-05-20 14:05:49,9,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,1,0,0,0,16.182219,0.39216283,16.177467,0.5152979,0.6726233,0.18357489,0.6690493
2024-05-20 14:05:53,9,1,20 Danielle Walsh,10 Andrea DeSabato,0,0,0,0,0,0,0,1,0,0,0,16.136343,-1.0980637,-16.098938,0.18357489,0.6690493,0.5136876,0.67905647
2024-05-20 14:05:59,9,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,1,0,0,0,15.629521,0.23530032,15.62775,0.5136876,0.67905647,0.19323671,0.67691207
2024-05-20 14:06:10,9,1,20 Danielle Walsh,16 Grace Maroon,0,0,0,0,0,0,0,0,0,0,0,13.278678,2.9020286,-12.957682,0.19323671,0.67691207,0.4589372,0.6504646
2024-05-20 14:07:05,9,1,16 Grace Maroon,20 Danielle Walsh,1,0,1,0,0,0,0,0,0,0,0,6.7985196,4.000086,5.497198,0.4589372,0.6504646,0.34621578,0.61401004
2024-05-20 14:09:06,10,1,23 Natalie Bova,10 Andrea DeSabato,0,0,0,0,0,0,0,0,0,0,0,9.528934,1.4117954,-9.423768,0.2657005,0.7133667,0.4589372,0.70050037
2024-05-20 14:09:08,10,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,14.420466,5.255025,-13.428871,0.4589372,0.70050037,0.73429954,0.652609
2024-05-20 14:09:15,10,1,20 Danielle Walsh,03 Rachel Alfano,0,0,0,0,0,0,0,0,0,0,0,14.883509,14.117967,-4.711884,0.73429954,0.652609,0.8309179,0.5239457
2024-05-20 14:09:17,10,1,03 Rachel Alfano,20 Danielle Walsh,0,0,0,0,0,0,0,0,1,0,0,12.246944,-11.059075,5.261606,0.8309179,0.5239457,0.72302735,0.62473196
2024-05-20 14:09:22,10,1,20 Danielle Walsh,03 Rachel Alfano,1,1,0,0,0,0,0,0,0,0,0,27.9232,27.922207,0.23559318,0.72302735,0.62473196,0.71819645,0.37026447
2024-05-20 14:10:36,10,2,20 Danielle Walsh,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,17.614702,10.510043,14.1356535,0.60225445,0.6897784,0.31239936,0.5939957
2024-05-20 14:10:42,10,2,22 Liz Hart,09 Sarah Hirannet,0,0,0,0,0,0,0,0,0,0,0,16.907541,16.627829,-3.0627246,0.31239936,0.5939957,0.37520128,0.4424589
2024-05-20 14:10:46,10,2,09 Sarah Hirannet,20 Danielle Walsh,0,0,0,0,0,0,0,0,1,0,0,8.447526,-5.6471877,-6.282512,0.37520128,0.4424589,0.50402576,0.49392423
2024-05-20 14:10:55,10,2,20 Danielle Walsh,23 Natalie Bova,0,0,0,0,0,1,0,0,0,0,0,13.107431,7.372718,10.837333,0.50402576,0.49392423,0.28180355,0.42673337
2024-05-20 14:10:56,10,2,23 Natalie Bova,01 Emily Shields,0,0,0,1,1,0,0,0,0,0,1,38.951054,38.118515,8.010203,0.28180355,0.42673337,0.11755233,0.07934239
2024-05-20 14:14:19,12,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,12.991266,5.804057,-11.622647,0.2979066,0.72265905,0.5362319,0.6697641
2024-05-20 14:14:26,12,1,20 Danielle Walsh,23 Natalie Bova,0,0,0,0,0,1,0,0,0,0,0,9.812003,9.804143,-0.39265627,0.5362319,0.6697641,0.5442834,0.5804146
2024-05-20 14:14:31,12,1,23 Natalie Bova,03 Rachel Alfano,0,0,0,1,1,0,1,0,0,0,0,53.956497,52.707085,11.544115,0.5442834,0.5804146,0.30756843,0.10007148
2024-05-20 14:18:56,14,1,10 Andrea DeSabato,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,9.678298,7.2942834,6.3610435,0.589372,0.69907075,0.4589372,0.6325947
2024-05-20 14:19:02,14,1,20 Danielle Walsh,23 Natalie Bova,0,0,0,0,0,0,0,0,0,0,0,12.23413,10.353174,6.518107,0.4589372,0.6325947,0.3252818,0.5382416
2024-05-20 14:19:14,14,1,23 Natalie Bova,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,12.289037,5.4903255,-10.994396,0.3252818,0.5382416,0.5507246,0.48820585
2024-05-20 14:19:31,14,1,22 Liz Hart,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,9.565148,2.0392618,-9.345238,0.5507246,0.48820585,0.74235106,0.46962115
2024-05-20 14:19:32,14,1,20 Danielle Walsh,22 Liz Hart,0,0,0,0,0,0,0,0,0,0,0,9.227016,7.6864495,5.1045403,0.74235106,0.46962115,0.6376812,0.39957112
2024-05-20 14:19:34,14,1,22 Liz Hart,20 Danielle Walsh,0,0,0,0,0,0,0,0,0,0,0,9.303699,4.8628554,7.931673,0.6376812,0.39957112,0.47504026,0.35525376
2024-05-20 14:19:42,14,1,20 Danielle Walsh,23 Natalie Bova,0,0,0,0,0,0,0,0,0,0,0,8.56757,3.764792,7.696077,0.47504026,0.35525376,0.31723028,0.32094353
