Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Andrea DeSabato,20,"2,4,6,7,9,10,12,14,15,19,21,22,24,26,27,30,31,33,35,37,38",19,1,13,1,50,20,48,43,7,0,1,2,3,2,1,0,0,0,622.07,271.85,13.52,5.91,530.14,-24.71,12.33,-0.57
03 Rachel Alfano,20,"2,4,6,7,9,10,12,14,15,19,21,22,24,26,27,30,31,33,35,37,38",19,1,13,1,18,13,15,18,0,1,1,3,2,1,1,0,0,0,177.55,48.71,12.68,3.48,308.44,237.73,17.14,13.21
09 Sarah Hirannet,20,"2,4,6,7,9,10,12,14,15,19,21,22,24,26,27,30,31,33,35,37,38",19,1,13,1,16,13,12,16,0,1,1,4,1,0,1,0,0,0,132.96,14.12,11.08,1.18,270.42,248.40,16.90,15.52
20 Danielle Walsh,20,"2,4,6,7,9,10,12,14,15,19,21,22,24,26,27,30,31,33,35,37,38",19,1,13,1,69,23,68,58,11,2,6,1,3,2,1,1,0,0,881.77,402.75,13.57,6.20,688.11,33.65,11.86,0.58
23 Natalie Bova,19,"2,4,6,7,9,10,12,14,15,19,21,22,25,26,27,30,33,35,37,38",17,2,11,1,34,18,33,26,8,5,0,1,2,2,0,0,0,0,477.91,224.01,15.42,7.23,350.89,183.77,13.50,7.07
01 Emily Shields,18,"2,4,6,7,10,12,14,15,19,21,24,26,27,30,31,33,35,37,38",17,1,12,1,18,13,16,18,0,3,1,2,2,2,0,0,0,0,163.70,85.57,12.59,6.58,304.00,248.08,16.89,13.78
16 Grace Maroon,17,"3,7,9,12,13,15,18,20,22,24,26,27,30,31,33,35,37,38",13,4,9,1,25,12,25,25,0,1,3,0,0,0,0,0,0,0,343.21,39.14,14.30,1.63,337.94,130.51,13.52,5.22
11 Sara Liang,16,"1,3,5,8,11,13,16,17,18,20,23,28,29,32,34,36",2,14,0,1,10,5,10,7,3,1,0,0,1,1,0,0,0,0,120.16,73.49,13.35,8.17,74.35,-31.37,10.62,-4.48
04 Raha Mozaffari,12,"1,3,5,8,11,16,18,23,28,29,32,34",2,10,0,1,6,4,6,4,2,0,0,0,1,1,0,0,0,0,59.71,-34.43,11.94,-6.89,39.97,13.10,9.99,3.27
21 Linda Morse,12,"1,5,8,11,13,16,17,20,22,29,32,34",2,10,1,1,3,2,2,3,0,0,1,1,0,0,0,0,0,0,19.45,9.26,9.72,4.63,60.96,52.55,20.32,17.52
08 Emma Soiles,11,"1,8,17,18,20,23,28,29,32,34,36",2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Liz Hart,10,"2,4,6,9,10,14,19,21,24,31",10,0,6,0,10,9,10,10,0,1,1,0,1,0,1,1,0,0,141.93,65.10,14.19,6.51,119.87,66.67,11.99,6.67
18 Sumi Onoe,10,"1,5,11,17,18,20,28,29,34,36",2,8,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,31.01,10.82,10.34,3.61,39.76,24.16,13.25,8.05
15 Layne Dodge,9,"1,5,13,16,18,23,29,32,36",2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13 Kat Harper,9,"3,8,13,16,18,23,25,28,36",1,8,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,11.50,11.45,11.50,11.45
05 Lindsay McKenna,9,"1,5,8,11,13,16,23,28,36",0,9,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.58,3.45,7.58,3.45,10.61,0.47,10.61,0.47
33 Jana Graham,9,"3,5,11,16,20,25,28,32,34",0,9,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 Casey Gorman,8,"3,8,17,20,25,29,32,34",1,7,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,16.04,13.80,16.04,13.80
66 Jess Brand,6,"3,11,17,23,25,36",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17 Allie Milligan,2,"17,25",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36 Adi Malave,2,"13,25",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,16.00,5.57,16.00,5.57
